,beam,OSL Margin,OSL weight,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,100,0.0001,0.8,9361,34.142,0.0,5.04,2.332,12.031,0.359,17463.147,0.359,0.991,1.109,1.109,1.074,6869.009,1.258,-0.02,-19.352
2,100,0.0001,0.1,2804,33.948,0.0,5.02,2.328,12.192,0.438,20261.737,0.251,0.944,1.122,1.122,1.077,3061.847,1.023,-0.015,-14.632
3,100,0.0001,0.3,2421,33.793,0.0,4.97,2.313,12.18,0.426,19785.812,0.259,0.947,1.12,1.12,1.077,3890.086,1.275,-0.015,-15.225
4,100,0.0001,0.5,2804,33.991,0.0,5.02,2.328,12.18,0.419,19601.842,0.274,0.96,1.117,1.117,1.077,4531.451,1.038,-0.016,-15.7
5,100,0.0001,0.8,2421,33.942,0.0,4.98,2.315,12.155,0.337,16718.212,0.385,0.993,1.116,1.116,1.077,7036.909,1.922,-0.016,-20.682
6,100,0.0001,0.8500000000000001,2421,33.974,0.0,4.99,2.318,12.093,0.296,15217.662,0.447,0.998,1.116,1.116,1.077,7212.324,1.93,-0.016,-23.708
7,100,0.0001,0.1,6765,33.997,0.0,4.99,2.319,12.254,0.437,20195.341,0.248,0.94,1.124,1.124,1.071,3289.174,1.033,-0.014,-14.695
8,100,0.0001,0.05,9361,33.792,0.0,5.03,2.331,12.056,0.438,20161.736,0.251,0.947,1.14,1.14,1.079,3334.084,1.021,-0.015,-14.699
9,100,0.0001,0.6000000000000001,2804,34.003,0.0,5.02,2.328,12.167,0.408,19247.617,0.288,0.966,1.117,1.117,1.077,5236.18,1.057,-0.016,-16.29
10,100,0.0001,0.95,9361,33.971,0.0,5.06,2.339,12.006,0.149,8914.059,0.729,1.0,1.115,1.115,1.08,7310.206,4.702,-0.024,-39.793
11,100,0.0001,0.5,9361,33.82,0.0,5.03,2.331,12.019,0.422,19627.019,0.271,0.96,1.123,1.123,1.079,4557.63,1.031,-0.015,-15.569
12,100,0.0001,1.0,2804,33.186,0.0,5.7,2.511,12.192,0.03,3323.375,0.933,1.0,1.042,1.042,1.026,7333.042,182.504,-0.91,-78.507
13,100,0.0001,0.05,6765,34.002,0.0,4.99,2.319,12.229,0.438,20234.812,0.246,0.939,1.124,1.124,1.071,3205.286,1.032,-0.014,-14.635
14,100,0.0001,0.3,9361,33.779,0.0,5.03,2.331,12.044,0.432,19946.96,0.259,0.952,1.141,1.141,1.079,3832.902,1.025,-0.015,-15.048
15,100,0.0001,0.0,4872,33.746,0.0,4.97,2.315,12.279,0.442,20237.253,0.231,0.92,1.142,1.142,1.085,2520.53,1.019,-0.015,-14.349
16,100,0.0001,0.35,4872,33.603,0.0,4.98,2.318,12.229,0.441,20157.391,0.233,0.919,1.151,1.151,1.087,3185.685,1.018,-0.014,-14.451
17,100,0.0001,0.05,2421,33.785,0.0,4.97,2.313,12.217,0.434,20046.756,0.249,0.937,1.122,1.122,1.077,3287.787,1.176,-0.015,-14.801
18,100,0.0001,0.6000000000000001,4872,33.84,0.0,4.98,2.315,12.242,0.404,18979.341,0.274,0.956,1.126,1.126,1.083,5151.66,1.029,-0.015,-16.42
19,100,0.0001,0.9,4872,33.921,0.0,4.99,2.32,12.204,0.228,12478.888,0.553,0.999,1.118,1.118,1.083,7279.811,3.41,-0.02,-29.716
20,100,0.0001,0.55,2421,33.815,0.0,4.97,2.313,12.192,0.41,19242.368,0.281,0.962,1.117,1.117,1.077,5064.242,1.549,-0.015,-16.12
21,100,0.0001,0.1,4872,33.613,0.0,4.98,2.317,12.204,0.448,20387.051,0.225,0.909,1.151,1.151,1.088,2667.358,1.017,-0.014,-14.086
