,OSL Margin,seed,beam,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,0.0001,9361,1000,0.8,33.973,0.0,5.04,2.332,11.994,0.359,17463.147,0.359,0.992,1.117,1.117,1.077,6869.009,1.258,-0.02,-19.352
2,0.0001,2804,1000,0.1,33.216,0.0,5.02,2.328,12.7,0.438,20261.737,0.251,0.953,1.313,1.313,1.083,3061.847,1.023,-0.015,-14.632
3,0.0001,2421,1000,0.3,33.434,0.0,4.97,2.313,12.192,0.426,19785.812,0.259,0.951,1.151,1.151,1.083,3890.086,1.275,-0.015,-15.225
4,0.0001,2804,1000,0.5,33.681,0.0,5.02,2.328,12.229,0.419,19601.842,0.274,0.963,1.16,1.16,1.083,4531.451,1.038,-0.016,-15.7
5,0.0001,2421,1000,0.8,33.776,0.0,4.98,2.315,12.167,0.337,16718.212,0.385,0.994,1.124,1.124,1.08,7036.909,1.922,-0.016,-20.682
6,0.0001,2421,1000,0.8500000000000001,33.799,0.0,4.99,2.318,12.019,0.296,15217.662,0.447,0.999,1.123,1.123,1.08,7212.324,1.93,-0.016,-23.708
7,0.0001,6765,1000,0.1,32.958,0.0,4.99,2.319,13.108,0.437,20195.341,0.248,0.949,1.415,1.415,1.077,3289.174,1.033,-0.014,-14.695
8,0.0001,9361,1000,0.05,33.041,0.0,5.03,2.331,12.464,0.438,20161.736,0.251,0.953,1.273,1.273,1.083,3334.084,1.021,-0.015,-14.699
9,0.0001,2804,1000,0.6000000000000001,33.742,0.0,5.02,2.328,12.204,0.408,19247.617,0.288,0.968,1.148,1.148,1.083,5236.18,1.057,-0.016,-16.29
10,0.0001,9361,1000,0.95,33.81,0.0,5.06,2.339,12.031,0.149,8914.059,0.729,1.0,1.121,1.121,1.083,7310.206,4.702,-0.024,-39.793
11,0.0001,9361,1000,0.5,33.417,0.0,5.03,2.331,12.13,0.422,19627.019,0.271,0.964,1.166,1.166,1.083,4557.63,1.031,-0.015,-15.569
12,0.0001,2804,1000,1.0,33.047,0.0,5.7,2.511,12.192,0.03,3323.375,0.933,1.0,1.054,1.054,1.038,7333.042,182.504,-0.91,-78.507
13,0.0001,6765,1000,0.05,32.872,0.0,4.99,2.319,13.195,0.438,20234.812,0.246,0.948,1.439,1.439,1.077,3205.286,1.032,-0.014,-14.635
14,0.0001,9361,1000,0.3,33.337,0.0,5.03,2.331,12.229,0.432,19946.96,0.259,0.956,1.2,1.2,1.083,3832.902,1.025,-0.015,-15.048
15,0.0001,4872,1000,0.0,32.858,0.0,4.97,2.315,12.873,0.442,20237.253,0.231,0.925,1.35,1.35,1.091,2520.53,1.019,-0.015,-14.349
16,0.0001,4872,1000,0.35,32.854,0.0,4.98,2.318,12.613,0.441,20157.391,0.233,0.925,1.296,1.296,1.095,3185.685,1.018,-0.014,-14.451
17,0.0001,2421,1000,0.05,33.337,0.0,4.97,2.313,12.304,0.434,20046.756,0.249,0.941,1.181,1.181,1.083,3287.787,1.176,-0.015,-14.801
18,0.0001,4872,1000,0.6000000000000001,33.525,0.0,4.98,2.315,12.266,0.404,18979.341,0.274,0.96,1.154,1.154,1.091,5151.66,1.029,-0.015,-16.42
19,0.0001,4872,1000,0.9,33.813,0.0,4.99,2.32,12.204,0.228,12478.888,0.553,1.0,1.123,1.123,1.091,7279.811,3.41,-0.02,-29.716
20,0.0001,2421,1000,0.55,33.496,0.0,4.97,2.313,12.204,0.41,19242.368,0.281,0.964,1.141,1.141,1.083,5064.242,1.549,-0.015,-16.12
21,0.0001,4872,1000,0.1,32.591,0.0,4.98,2.317,12.861,0.448,20387.051,0.225,0.916,1.376,1.376,1.095,2667.358,1.017,-0.014,-14.086
22,0.0001,6765,1000,0.95,34.104,0.0,5.05,2.335,12.167,0.146,8916.107,0.735,1.0,1.115,1.115,1.077,7314.344,4.582,-0.023,-40.125
23,0.0001,9361,1000,0.35,33.333,0.0,5.03,2.331,12.18,0.43,19883.417,0.262,0.959,1.186,1.186,1.083,3977.063,1.026,-0.015,-15.149
24,0.0001,6765,1000,0.8500000000000001,33.991,0.0,5.03,2.331,12.093,0.301,15513.533,0.451,0.998,1.12,1.12,1.077,7222.054,1.941,-0.017,-23.434
25,0.0001,2804,1000,0.75,33.885,0.0,5.02,2.328,12.192,0.361,17586.803,0.35,0.987,1.131,1.131,1.08,6719.917,1.639,-0.016,-19.219
26,0.0001,4872,1000,0.65,33.55,0.0,4.98,2.315,12.229,0.396,18695.645,0.286,0.965,1.148,1.148,1.091,5608.301,1.034,-0.016,-16.906
27,0.0001,4872,1000,0.45,33.461,0.0,4.98,2.315,12.279,0.421,19538.03,0.254,0.946,1.164,1.164,1.091,4059.98,1.022,-0.015,-15.485
28,0.0001,4872,1000,0.05,32.923,0.0,4.98,2.315,12.786,0.441,20191.012,0.232,0.928,1.326,1.326,1.091,2616.2,1.019,-0.015,-14.423
29,0.0001,6765,1000,1.0,32.561,0.0,6.39,2.677,12.242,0.022,2721.909,0.952,1.0,1.007,1.007,1.0,7334.567,811.94,-3.632,-87.768
30,0.0001,2421,1000,0.25,33.458,0.0,4.97,2.313,12.242,0.428,19850.026,0.257,0.948,1.157,1.157,1.083,3738.989,1.243,-0.015,-15.118
31,0.0001,2804,1000,0.8500000000000001,33.954,0.0,5.03,2.331,12.192,0.286,14885.399,0.461,0.998,1.125,1.125,1.079,7194.381,2.375,-0.019,-24.603
32,0.0001,2804,1000,0.8,33.978,0.0,5.02,2.329,12.192,0.343,16933.487,0.376,0.992,1.128,1.128,1.081,6961.028,1.879,-0.017,-20.421
33,0.0001,6765,1000,0.55,33.721,0.0,4.99,2.32,12.304,0.416,19504.028,0.275,0.964,1.157,1.157,1.077,4859.944,1.087,-0.014,-15.82
34,0.0001,4872,1000,0.75,33.645,0.0,4.98,2.316,12.217,0.37,17826.673,0.321,0.979,1.136,1.136,1.091,6532.208,1.062,-0.016,-18.433
35,0.0001,2804,1000,0.0,33.092,0.0,5.02,2.328,12.873,0.44,20344.243,0.248,0.95,1.361,1.361,1.083,2883.312,1.022,-0.015,-14.499
36,0.0001,2421,1000,0.0,33.311,0.0,4.97,2.313,12.341,0.435,20085.968,0.248,0.941,1.187,1.187,1.083,3200.689,1.169,-0.015,-14.739
37,0.0001,2804,1000,0.7000000000000001,33.914,0.0,5.02,2.328,12.18,0.379,18224.868,0.325,0.981,1.134,1.134,1.083,6326.601,1.303,-0.016,-18.078
38,0.0001,9361,1000,0.2,33.184,0.0,5.03,2.331,12.316,0.435,20047.7,0.255,0.954,1.232,1.232,1.083,3596.728,1.023,-0.015,-14.883
39,0.0001,9361,1000,0.1,33.044,0.0,5.03,2.331,12.415,0.437,20130.312,0.252,0.953,1.256,1.256,1.083,3407.483,1.022,-0.015,-14.751
40,0.0001,6765,1000,0.75,33.951,0.0,5.01,2.325,12.118,0.371,18004.469,0.339,0.987,1.117,1.117,1.074,6706.455,1.664,-0.017,-18.533
41,0.0001,2804,1000,0.25,33.386,0.0,5.02,2.328,12.539,0.433,20093.502,0.257,0.955,1.258,1.258,1.083,3432.009,1.026,-0.015,-14.899
42,0.0001,4872,1000,0.55,33.497,0.0,4.98,2.315,12.242,0.411,19204.72,0.265,0.955,1.155,1.155,1.091,4740.007,1.027,-0.015,-16.039
43,0.0001,9361,1000,0.65,33.483,0.0,5.03,2.331,12.093,0.409,19168.879,0.29,0.975,1.154,1.154,1.083,5469.965,1.042,-0.015,-16.332
44,0.0001,2804,1000,0.45,33.617,0.0,5.02,2.328,12.266,0.423,19733.519,0.269,0.961,1.174,1.174,1.083,4243.016,1.036,-0.016,-15.483
45,0.0001,4872,1000,0.4,33.397,0.0,4.98,2.315,12.316,0.425,19664.922,0.25,0.942,1.178,1.178,1.091,3780.251,1.021,-0.015,-15.275
46,0.0001,4872,1000,0.8,33.794,0.0,4.98,2.316,12.13,0.33,16372.646,0.374,0.991,1.129,1.129,1.088,7013.543,1.223,-0.017,-21.159
