,OSL weight,seed,beam,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,0.1,2804,250,0.0001,33.843,0.0,5.02,2.328,12.266,0.438,20261.737,0.251,0.946,1.146,1.146,1.08,3061.847,1.023,-0.015,-14.632
2,0.3,2421,250,0.0001,33.679,0.0,4.97,2.313,12.18,0.426,19785.812,0.259,0.949,1.133,1.133,1.08,3890.086,1.275,-0.015,-15.225
3,0.5,2804,250,0.0001,33.885,0.0,5.02,2.328,12.18,0.419,19601.842,0.274,0.961,1.128,1.128,1.08,4531.451,1.038,-0.016,-15.7
4,0.8,2421,250,0.0001,33.883,0.0,4.98,2.315,12.155,0.337,16718.212,0.385,0.994,1.118,1.118,1.077,7036.909,1.922,-0.016,-20.682
5,0.8500000000000001,2421,250,0.0001,33.899,0.0,4.99,2.318,12.056,0.296,15217.662,0.447,0.998,1.119,1.119,1.077,7212.324,1.93,-0.016,-23.708
6,0.1,6765,250,0.0001,33.88,0.0,4.99,2.319,12.291,0.437,20195.341,0.248,0.942,1.149,1.149,1.077,3289.174,1.033,-0.014,-14.695
7,0.05,9361,250,0.0001,33.623,0.0,5.03,2.331,12.081,0.438,20161.736,0.251,0.948,1.149,1.149,1.081,3334.084,1.021,-0.015,-14.699
8,0.6000000000000001,2804,250,0.0001,33.914,0.0,5.02,2.328,12.155,0.408,19247.617,0.288,0.966,1.126,1.126,1.08,5236.18,1.057,-0.016,-16.29
9,0.95,9361,250,0.0001,33.92,0.0,5.06,2.339,12.056,0.149,8914.059,0.729,1.0,1.118,1.118,1.083,7310.206,4.702,-0.024,-39.793
10,0.5,9361,250,0.0001,33.662,0.0,5.03,2.331,12.031,0.422,19627.019,0.271,0.962,1.137,1.137,1.081,4557.63,1.031,-0.015,-15.569
11,1.0,2804,250,0.0001,33.111,0.0,5.7,2.511,12.192,0.03,3323.375,0.933,1.0,1.048,1.048,1.033,7333.042,182.504,-0.91,-78.507
12,0.05,6765,250,0.0001,33.872,0.0,4.99,2.319,12.279,0.438,20234.812,0.246,0.941,1.15,1.15,1.077,3205.286,1.032,-0.014,-14.635
13,0.3,9361,250,0.0001,33.638,0.0,5.03,2.331,12.044,0.432,19946.96,0.259,0.953,1.145,1.145,1.081,3832.902,1.025,-0.015,-15.048
14,0.0,4872,250,0.0001,33.598,0.0,4.97,2.315,12.279,0.442,20237.253,0.231,0.921,1.15,1.15,1.091,2520.53,1.019,-0.015,-14.349
15,0.35,4872,250,0.0001,33.435,0.0,4.98,2.318,12.229,0.441,20157.391,0.233,0.921,1.158,1.158,1.091,3185.685,1.018,-0.014,-14.451
16,0.05,2421,250,0.0001,33.641,0.0,4.97,2.313,12.217,0.434,20046.756,0.249,0.938,1.141,1.141,1.08,3287.787,1.176,-0.015,-14.801
17,0.6000000000000001,4872,250,0.0001,33.703,0.0,4.98,2.315,12.217,0.404,18979.341,0.274,0.958,1.132,1.132,1.088,5151.66,1.029,-0.015,-16.42
18,0.9,4872,250,0.0001,33.875,0.0,4.99,2.32,12.204,0.228,12478.888,0.553,0.999,1.121,1.121,1.087,7279.811,3.41,-0.02,-29.716
19,0.55,2421,250,0.0001,33.712,0.0,4.97,2.313,12.204,0.41,19242.368,0.281,0.962,1.126,1.126,1.08,5064.242,1.549,-0.015,-16.12
20,0.1,4872,250,0.0001,33.447,0.0,4.98,2.317,12.204,0.448,20387.051,0.225,0.911,1.159,1.159,1.091,2667.358,1.017,-0.014,-14.086
21,0.95,6765,250,0.0001,34.165,0.0,5.05,2.335,12.167,0.146,8916.107,0.735,1.0,1.112,1.112,1.074,7314.344,4.582,-0.023,-40.125
22,0.35,9361,250,0.0001,33.626,0.0,5.03,2.331,12.044,0.43,19883.417,0.262,0.956,1.145,1.145,1.08,3977.063,1.026,-0.015,-15.149
23,0.8500000000000001,6765,250,0.0001,34.073,0.0,5.03,2.331,12.093,0.301,15513.533,0.451,0.998,1.116,1.116,1.077,7222.054,1.941,-0.017,-23.434
24,0.75,2804,250,0.0001,34.063,0.0,5.02,2.328,12.192,0.361,17586.803,0.35,0.986,1.115,1.115,1.077,6719.917,1.639,-0.016,-19.219
25,0.65,4872,250,0.0001,33.704,0.0,4.98,2.315,12.204,0.396,18695.645,0.286,0.964,1.132,1.132,1.091,5608.301,1.034,-0.016,-16.906
26,0.45,4872,250,0.0001,33.649,0.0,4.98,2.315,12.242,0.421,19538.03,0.254,0.944,1.145,1.145,1.091,4059.98,1.022,-0.015,-15.485
27,0.05,4872,250,0.0001,33.579,0.0,4.98,2.315,12.279,0.441,20191.012,0.232,0.924,1.15,1.15,1.089,2616.2,1.019,-0.015,-14.423
28,1.0,6765,250,0.0001,32.626,0.0,6.39,2.677,12.279,0.022,2721.909,0.952,1.0,1.001,1.001,1.0,7334.567,811.94,-3.632,-87.768
29,0.25,2421,250,0.0001,33.694,0.0,4.97,2.313,12.217,0.428,19850.026,0.257,0.946,1.137,1.137,1.08,3738.989,1.243,-0.015,-15.118
30,0.8500000000000001,2804,250,0.0001,34.05,0.0,5.03,2.331,12.217,0.286,14885.399,0.461,0.998,1.115,1.115,1.077,7194.381,2.375,-0.019,-24.603
31,0.8,2804,250,0.0001,34.129,0.0,5.02,2.329,12.18,0.343,16933.487,0.376,0.991,1.116,1.116,1.077,6961.028,1.879,-0.017,-20.421
32,0.55,6765,250,0.0001,33.9,0.0,4.99,2.32,12.229,0.416,19504.028,0.275,0.962,1.129,1.129,1.075,4859.944,1.087,-0.014,-15.82
33,0.75,4872,250,0.0001,33.728,0.0,4.98,2.316,12.217,0.37,17826.673,0.321,0.978,1.129,1.129,1.088,6532.208,1.062,-0.016,-18.433
34,0.0,2804,250,0.0001,33.839,0.0,5.02,2.328,12.266,0.44,20344.243,0.248,0.943,1.146,1.146,1.08,2883.312,1.022,-0.015,-14.499
35,0.0,2421,250,0.0001,33.598,0.0,4.97,2.313,12.217,0.435,20085.968,0.248,0.938,1.144,1.144,1.08,3200.689,1.169,-0.015,-14.739
36,0.7000000000000001,2804,250,0.0001,34.091,0.0,5.02,2.328,12.18,0.379,18224.868,0.325,0.98,1.12,1.12,1.077,6326.601,1.303,-0.016,-18.078
37,0.2,9361,250,0.0001,33.616,0.0,5.03,2.331,12.031,0.435,20047.7,0.255,0.951,1.145,1.145,1.08,3596.728,1.023,-0.015,-14.883
