,seed,OSL Margin,beam,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,9361,0.0001,5,0.8,34.427,0.0,5.04,2.332,12.217,0.359,17463.147,0.359,0.988,1.087,1.087,1.059,6869.009,1.258,-0.02,-19.352
2,2804,0.0001,5,0.1,34.312,0.0,5.02,2.328,12.118,0.438,20261.737,0.251,0.932,1.09,1.09,1.059,3061.847,1.023,-0.015,-14.632
3,2421,0.0001,5,0.3,34.019,0.0,4.97,2.313,12.167,0.426,19785.812,0.259,0.936,1.093,1.093,1.059,3890.086,1.275,-0.015,-15.225
4,2804,0.0001,5,0.5,34.271,0.0,5.02,2.328,12.143,0.419,19601.842,0.274,0.949,1.091,1.091,1.06,4531.451,1.038,-0.016,-15.7
5,2421,0.0001,5,0.8,34.223,0.0,4.98,2.315,12.167,0.337,16718.212,0.385,0.99,1.092,1.092,1.059,7036.909,1.922,-0.016,-20.682
6,2421,0.0001,5,0.8500000000000001,34.211,0.0,4.99,2.318,12.068,0.296,15217.662,0.447,0.997,1.093,1.093,1.059,7212.324,1.93,-0.016,-23.708
7,6765,0.0001,5,0.1,34.323,0.0,4.99,2.319,12.353,0.437,20195.341,0.248,0.931,1.088,1.088,1.056,3289.174,1.033,-0.014,-14.695
8,9361,0.0001,5,0.05,34.2,0.0,5.03,2.331,12.118,0.438,20161.736,0.251,0.935,1.091,1.091,1.062,3334.084,1.021,-0.015,-14.699
9,2804,0.0001,5,0.6000000000000001,34.311,0.0,5.02,2.328,12.143,0.408,19247.617,0.288,0.958,1.09,1.09,1.061,5236.18,1.057,-0.016,-16.29
10,9361,0.0001,5,0.95,34.278,0.0,5.06,2.339,12.155,0.149,8914.059,0.729,1.0,1.095,1.095,1.062,7310.206,4.702,-0.024,-39.793
11,9361,0.0001,5,0.5,34.19,0.0,5.03,2.331,12.118,0.422,19627.019,0.271,0.949,1.091,1.091,1.061,4557.63,1.031,-0.015,-15.569
