,beam,seed,OSL weight,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,500,2804,0.1,0.0001,33.657,0.0,5.02,2.328,12.353,0.438,20261.737,0.251,0.948,1.186,1.186,1.083,3061.847,1.023,-0.015,-14.632
2,500,2421,0.3,0.0001,33.551,0.0,4.97,2.313,12.217,0.426,19785.812,0.259,0.95,1.143,1.143,1.083,3890.086,1.275,-0.015,-15.225
3,500,2804,0.5,0.0001,33.826,0.0,5.02,2.328,12.192,0.419,19601.842,0.274,0.962,1.136,1.136,1.083,4531.451,1.038,-0.016,-15.7
4,500,2421,0.8,0.0001,33.837,0.0,4.98,2.315,12.155,0.337,16718.212,0.385,0.994,1.121,1.121,1.08,7036.909,1.922,-0.016,-20.682
5,500,2421,0.8500000000000001,0.0001,33.84,0.0,4.99,2.318,12.056,0.296,15217.662,0.447,0.999,1.121,1.121,1.079,7212.324,1.93,-0.016,-23.708
6,500,6765,0.1,0.0001,33.552,0.0,4.99,2.319,12.551,0.437,20195.341,0.248,0.945,1.245,1.245,1.077,3289.174,1.033,-0.014,-14.695
7,500,9361,0.05,0.0001,33.472,0.0,5.03,2.331,12.192,0.438,20161.736,0.251,0.95,1.178,1.178,1.083,3334.084,1.021,-0.015,-14.699
8,500,2804,0.6000000000000001,0.0001,33.84,0.0,5.02,2.328,12.155,0.408,19247.617,0.288,0.967,1.134,1.134,1.083,5236.18,1.057,-0.016,-16.29
9,500,9361,0.95,0.0001,33.854,0.0,5.06,2.339,12.056,0.149,8914.059,0.729,1.0,1.119,1.119,1.083,7310.206,4.702,-0.024,-39.793
10,500,9361,0.5,0.0001,33.544,0.0,5.03,2.331,12.068,0.422,19627.019,0.271,0.963,1.147,1.147,1.083,4557.63,1.031,-0.015,-15.569
11,500,2804,1.0,0.0001,33.096,0.0,5.7,2.511,12.217,0.03,3323.375,0.933,1.0,1.051,1.051,1.036,7333.042,182.504,-0.91,-78.507
12,500,6765,0.05,0.0001,33.502,0.0,4.99,2.319,12.601,0.438,20234.812,0.246,0.944,1.261,1.261,1.077,3205.286,1.032,-0.014,-14.635
13,500,9361,0.3,0.0001,33.504,0.0,5.03,2.331,12.13,0.432,19946.96,0.259,0.954,1.164,1.164,1.083,3832.902,1.025,-0.015,-15.048
14,500,4872,0.0,0.0001,33.318,0.0,4.97,2.315,12.526,0.442,20237.253,0.231,0.923,1.229,1.229,1.091,2520.53,1.019,-0.015,-14.349
15,500,4872,0.35,0.0001,33.25,0.0,4.98,2.318,12.328,0.441,20157.391,0.233,0.922,1.195,1.195,1.091,3185.685,1.018,-0.014,-14.451
16,500,2421,0.05,0.0001,33.535,0.0,4.97,2.313,12.242,0.434,20046.756,0.249,0.94,1.151,1.151,1.083,3287.787,1.176,-0.015,-14.801
17,500,4872,0.6000000000000001,0.0001,33.663,0.0,4.98,2.315,12.217,0.404,18979.341,0.274,0.959,1.139,1.139,1.091,5151.66,1.029,-0.015,-16.42
18,500,4872,0.9,0.0001,33.85,0.0,4.99,2.32,12.204,0.228,12478.888,0.553,1.0,1.122,1.122,1.088,7279.811,3.41,-0.02,-29.716
19,500,2421,0.55,0.0001,33.62,0.0,4.97,2.313,12.217,0.41,19242.368,0.281,0.963,1.133,1.133,1.083,5064.242,1.549,-0.015,-16.12
20,500,4872,0.1,0.0001,33.062,0.0,4.98,2.317,12.452,0.448,20387.051,0.225,0.914,1.249,1.249,1.094,2667.358,1.017,-0.014,-14.086
21,500,6765,0.95,0.0001,34.14,0.0,5.05,2.335,12.167,0.146,8916.107,0.735,1.0,1.113,1.113,1.075,7314.344,4.582,-0.023,-40.125
22,500,9361,0.35,0.0001,33.486,0.0,5.03,2.331,12.118,0.43,19883.417,0.262,0.957,1.161,1.161,1.083,3977.063,1.026,-0.015,-15.149
23,500,6765,0.8500000000000001,0.0001,34.037,0.0,5.03,2.331,12.105,0.301,15513.533,0.451,0.998,1.119,1.119,1.077,7222.054,1.941,-0.017,-23.434
24,500,2804,0.75,0.0001,33.988,0.0,5.02,2.328,12.167,0.361,17586.803,0.35,0.986,1.121,1.121,1.079,6719.917,1.639,-0.016,-19.219
25,500,4872,0.65,0.0001,33.682,0.0,4.98,2.315,12.192,0.396,18695.645,0.286,0.964,1.135,1.135,1.091,5608.301,1.034,-0.016,-16.906
26,500,4872,0.45,0.0001,33.604,0.0,4.98,2.315,12.254,0.421,19538.03,0.254,0.945,1.152,1.152,1.091,4059.98,1.022,-0.015,-15.485
27,500,4872,0.05,0.0001,33.308,0.0,4.98,2.315,12.514,0.441,20191.012,0.232,0.925,1.223,1.223,1.091,2616.2,1.019,-0.015,-14.423
28,500,6765,1.0,0.0001,32.601,0.0,6.39,2.677,12.254,0.022,2721.909,0.952,1.0,1.005,1.005,1.0,7334.567,811.94,-3.632,-87.768
29,500,2421,0.25,0.0001,33.582,0.0,4.97,2.313,12.242,0.428,19850.026,0.257,0.947,1.146,1.146,1.083,3738.989,1.243,-0.015,-15.118
30,500,2804,0.8500000000000001,0.0001,34.006,0.0,5.03,2.331,12.242,0.286,14885.399,0.461,0.998,1.119,1.119,1.077,7194.381,2.375,-0.019,-24.603
31,500,2804,0.8,0.0001,34.108,0.0,5.02,2.329,12.18,0.343,16933.487,0.376,0.992,1.121,1.121,1.079,6961.028,1.879,-0.017,-20.421
32,500,6765,0.55,0.0001,33.817,0.0,4.99,2.32,12.279,0.416,19504.028,0.275,0.963,1.142,1.142,1.077,4859.944,1.087,-0.014,-15.82
33,500,4872,0.75,0.0001,33.701,0.0,4.98,2.316,12.204,0.37,17826.673,0.321,0.979,1.133,1.133,1.091,6532.208,1.062,-0.016,-18.433
34,500,2804,0.0,0.0001,33.592,0.0,5.02,2.328,12.452,0.44,20344.243,0.248,0.946,1.21,1.21,1.083,2883.312,1.022,-0.015,-14.499
35,500,2421,0.0,0.0001,33.506,0.0,4.97,2.313,12.229,0.435,20085.968,0.248,0.939,1.151,1.151,1.083,3200.689,1.169,-0.015,-14.739
36,500,2804,0.7000000000000001,0.0001,34.026,0.0,5.02,2.328,12.18,0.379,18224.868,0.325,0.98,1.127,1.127,1.08,6326.601,1.303,-0.016,-18.078
