,OSL weight,beam,OSL Margin,seed,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,0.1,750,0.0001,2804,33.395,0.0,5.02,2.328,12.526,0.438,20261.737,0.251,0.951,1.252,1.252,1.083,3061.847,1.023,-0.015,-14.632
2,0.3,750,0.0001,2421,33.508,0.0,4.97,2.313,12.204,0.426,19785.812,0.259,0.95,1.145,1.145,1.083,3890.086,1.275,-0.015,-15.225
3,0.5,750,0.0001,2804,33.737,0.0,5.02,2.328,12.229,0.419,19601.842,0.274,0.963,1.148,1.148,1.083,4531.451,1.038,-0.016,-15.7
4,0.8,750,0.0001,2421,33.799,0.0,4.98,2.315,12.155,0.337,16718.212,0.385,0.994,1.123,1.123,1.08,7036.909,1.922,-0.016,-20.682
5,0.8500000000000001,750,0.0001,2421,33.81,0.0,4.99,2.318,12.019,0.296,15217.662,0.447,0.999,1.122,1.122,1.08,7212.324,1.93,-0.016,-23.708
6,0.1,750,0.0001,6765,33.214,0.0,4.99,2.319,12.848,0.437,20195.341,0.248,0.948,1.343,1.343,1.077,3289.174,1.033,-0.014,-14.695
7,0.05,750,0.0001,9361,33.275,0.0,5.03,2.331,12.328,0.438,20161.736,0.251,0.951,1.23,1.23,1.083,3334.084,1.021,-0.015,-14.699
8,0.6000000000000001,750,0.0001,2804,33.774,0.0,5.02,2.328,12.192,0.408,19247.617,0.288,0.968,1.14,1.14,1.083,5236.18,1.057,-0.016,-16.29
9,0.95,750,0.0001,9361,33.825,0.0,5.06,2.339,12.031,0.149,8914.059,0.729,1.0,1.12,1.12,1.083,7310.206,4.702,-0.024,-39.793
10,0.5,750,0.0001,9361,33.462,0.0,5.03,2.331,12.118,0.422,19627.019,0.271,0.964,1.161,1.161,1.083,4557.63,1.031,-0.015,-15.569
11,1.0,750,0.0001,2804,33.065,0.0,5.7,2.511,12.192,0.03,3323.375,0.933,1.0,1.053,1.053,1.037,7333.042,182.504,-0.91,-78.507
12,0.05,750,0.0001,6765,33.115,0.0,4.99,2.319,12.91,0.438,20234.812,0.246,0.947,1.361,1.361,1.077,3205.286,1.032,-0.014,-14.635
