,seed,beam,OSL Margin,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,9361,100,0.0001,0.8,39.599,0.0,3.94,1.979,12.097,0.305,14586.323,0.432,0.996,1.085,1.085,1.053,6985.542,1.012,-0.013,-20.053
2,2804,100,0.0001,0.1,39.451,0.0,3.96,1.984,11.981,0.396,17783.619,0.288,0.955,1.101,1.101,1.05,2923.689,1.009,-0.013,-14.754
3,2421,100,0.0001,0.3,39.82,0.0,4.09,2.033,12.179,0.385,17998.437,0.304,0.978,1.087,1.087,1.05,4048.252,1.015,-0.017,-15.63
4,2804,100,0.0001,0.5,39.516,0.0,3.96,1.984,11.958,0.371,16925.876,0.317,0.97,1.088,1.088,1.05,4800.453,1.01,-0.014,-16.14
5,2421,100,0.0001,0.8,39.812,0.0,4.1,2.036,12.144,0.298,14851.342,0.44,0.999,1.087,1.087,1.05,7067.749,1.028,-0.019,-21.194
6,2421,100,0.0001,0.8500000000000001,39.897,0.0,4.1,2.037,12.167,0.257,13247.63,0.509,1.0,1.085,1.085,1.048,7224.712,1.045,-0.022,-24.43
7,6765,100,0.0001,0.1,39.504,0.0,3.98,1.991,12.062,0.396,17806.293,0.281,0.953,1.086,1.086,1.05,3157.463,1.017,-0.012,-14.811
8,9361,100,0.0001,0.05,39.463,0.0,3.94,1.978,12.167,0.401,17914.299,0.295,0.961,1.098,1.098,1.053,2309.044,1.008,-0.012,-14.325
9,2804,100,0.0001,0.6000000000000001,39.549,0.0,3.96,1.984,11.958,0.357,16461.38,0.334,0.979,1.086,1.086,1.05,5601.526,1.011,-0.014,-16.916
10,9361,100,0.0001,0.95,39.587,0.0,3.96,1.984,12.225,0.1,5951.73,0.816,1.0,1.089,1.089,1.056,7342.726,2.12,-0.018,-43.39
