,OSL Margin,beam,seed,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,0.0001,1000,9361,0.8,39.395,0.0,3.94,1.979,12.097,0.305,14586.323,0.432,0.996,1.099,1.099,1.053,6985.542,1.012,-0.013,-20.053
2,0.0001,1000,2804,0.1,38.92,0.0,3.96,1.984,12.202,0.396,17783.619,0.288,0.959,1.201,1.201,1.054,2923.689,1.009,-0.013,-14.754
3,0.0001,1000,2421,0.3,39.539,0.0,4.09,2.033,12.248,0.385,17998.437,0.304,0.979,1.129,1.129,1.05,4048.252,1.015,-0.017,-15.63
4,0.0001,1000,2804,0.5,39.221,0.0,3.96,1.984,12.051,0.371,16925.876,0.317,0.973,1.125,1.125,1.053,4800.453,1.01,-0.014,-16.14
5,0.0001,1000,2421,0.8,39.706,0.0,4.1,2.036,12.144,0.298,14851.342,0.44,0.999,1.094,1.094,1.053,7067.749,1.028,-0.019,-21.194
6,0.0001,1000,2421,0.8500000000000001,39.845,0.0,4.1,2.037,12.179,0.257,13247.63,0.509,1.0,1.089,1.089,1.05,7224.712,1.045,-0.022,-24.43
7,0.0001,1000,6765,0.1,39.127,0.0,3.98,1.991,12.144,0.396,17806.293,0.281,0.956,1.128,1.128,1.053,3157.463,1.017,-0.012,-14.811
8,0.0001,1000,9361,0.05,38.805,0.0,3.94,1.978,12.435,0.401,17914.299,0.295,0.966,1.225,1.225,1.056,2309.044,1.008,-0.012,-14.325
9,0.0001,1000,2804,0.6000000000000001,39.277,0.0,3.96,1.984,12.027,0.357,16461.38,0.334,0.98,1.118,1.118,1.053,5601.526,1.011,-0.014,-16.916
10,0.0001,1000,9361,0.95,39.546,0.0,3.96,1.984,12.19,0.1,5951.73,0.816,1.0,1.092,1.092,1.059,7342.726,2.12,-0.018,-43.39
11,0.0001,1000,9361,0.5,39.205,0.0,3.94,1.978,12.167,0.378,17134.391,0.328,0.977,1.118,1.118,1.056,4193.182,1.008,-0.012,-15.564
12,0.0001,1000,2804,1.0,37.881,0.0,4.88,2.286,11.993,0.014,1667.338,0.963,1.0,1.028,1.028,1.0,7366.666,262.287,-1.615,-89.843
13,0.0001,1000,6765,0.05,39.1,0.0,3.98,1.991,12.121,0.398,17855.927,0.28,0.955,1.129,1.129,1.053,3047.167,1.018,-0.012,-14.734
14,0.0001,1000,9361,0.3,39.123,0.0,3.94,1.978,12.225,0.391,17600.715,0.309,0.971,1.139,1.139,1.056,3026.273,1.008,-0.012,-14.816
15,0.0001,1000,4872,0.0,38.771,0.0,3.97,1.988,12.807,0.399,17989.013,0.29,0.964,1.3,1.3,1.051,2845.874,1.009,-0.013,-14.596
16,0.0001,1000,4872,0.35,39.355,0.0,3.97,1.988,12.318,0.385,17540.232,0.308,0.97,1.15,1.15,1.05,3851.586,1.009,-0.013,-15.304
17,0.0001,1000,2421,0.05,39.356,0.0,4.09,2.033,12.376,0.395,18344.282,0.291,0.975,1.183,1.183,1.051,3279.557,1.014,-0.017,-15.088
18,0.0001,1000,4872,0.6000000000000001,39.556,0.0,3.97,1.988,12.19,0.363,16783.72,0.34,0.981,1.097,1.097,1.05,5440.132,1.01,-0.013,-16.535
19,0.0001,1000,4872,0.9,39.75,0.0,3.98,1.992,12.144,0.206,10960.885,0.616,1.0,1.09,1.09,1.05,7318.601,1.043,-0.017,-28.333
20,0.0001,1000,2421,0.55,39.684,0.0,4.09,2.033,12.214,0.366,17300.672,0.331,0.988,1.102,1.102,1.05,5431.143,1.018,-0.018,-16.762
21,0.0001,1000,4872,0.1,38.917,0.0,3.97,1.988,12.667,0.396,17895.438,0.294,0.965,1.258,1.258,1.05,3047.5,1.009,-0.013,-14.742
22,0.0001,1000,6765,0.95,39.542,0.0,3.99,1.996,12.167,0.107,6293.342,0.783,1.0,1.085,1.085,1.053,7340.16,3.595,-0.018,-42.133
23,0.0001,1000,9361,0.35,39.143,0.0,3.94,1.978,12.225,0.389,17510.326,0.312,0.972,1.133,1.133,1.056,3249.322,1.007,-0.012,-14.96
24,0.0001,1000,6765,0.8500000000000001,39.558,0.0,3.98,1.992,12.097,0.256,12829.626,0.488,0.999,1.086,1.086,1.053,7248.769,1.153,-0.015,-23.883
25,0.0001,1000,2804,0.75,39.245,0.0,3.96,1.985,12.027,0.313,14896.621,0.404,0.993,1.1,1.1,1.056,6874.385,1.014,-0.014,-19.712
26,0.0001,1000,4872,0.65,39.563,0.0,3.97,1.988,12.167,0.356,16518.104,0.351,0.985,1.096,1.096,1.05,5866.519,1.01,-0.013,-16.978
27,0.0001,1000,4872,0.45,39.473,0.0,3.97,1.988,12.248,0.379,17312.954,0.318,0.973,1.113,1.113,1.05,4363.76,1.01,-0.013,-15.669
