,beam,OSL weight,seed,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,5,0.8,9361,0.0001,39.86,0.0,3.94,1.979,12.19,0.305,14586.323,0.432,0.995,1.071,1.071,1.04,6985.542,1.012,-0.013,-20.053
2,5,0.1,2804,0.0001,39.776,0.0,3.96,1.984,12.097,0.396,17783.619,0.288,0.947,1.069,1.069,1.038,2923.689,1.009,-0.013,-14.754
3,5,0.3,2421,0.0001,40.024,0.0,4.09,2.033,12.19,0.385,17998.437,0.304,0.973,1.068,1.068,1.038,4048.252,1.015,-0.017,-15.63
4,5,0.5,2804,0.0001,39.795,0.0,3.96,1.984,12.132,0.371,16925.876,0.317,0.965,1.069,1.069,1.038,4800.453,1.01,-0.014,-16.14
5,5,0.8,2421,0.0001,40.026,0.0,4.1,2.036,12.167,0.298,14851.342,0.44,0.998,1.07,1.07,1.04,7067.749,1.028,-0.019,-21.194
6,5,0.8500000000000001,2421,0.0001,40.07,0.0,4.1,2.037,12.237,0.257,13247.63,0.509,1.0,1.068,1.068,1.038,7224.712,1.045,-0.022,-24.43
7,5,0.1,6765,0.0001,39.802,0.0,3.98,1.991,12.167,0.396,17806.293,0.281,0.948,1.069,1.069,1.038,3157.463,1.017,-0.012,-14.811
8,5,0.05,9361,0.0001,39.859,0.0,3.94,1.978,12.214,0.401,17914.299,0.295,0.955,1.073,1.073,1.043,2309.044,1.008,-0.012,-14.325
9,5,0.6000000000000001,2804,0.0001,39.76,0.0,3.96,1.984,12.132,0.357,16461.38,0.334,0.972,1.069,1.069,1.038,5601.526,1.011,-0.014,-16.916
10,5,0.95,9361,0.0001,39.818,0.0,3.96,1.984,12.248,0.1,5951.73,0.816,1.0,1.077,1.077,1.045,7342.726,2.12,-0.018,-43.39
11,5,0.5,9361,0.0001,39.815,0.0,3.94,1.978,12.214,0.378,17134.391,0.328,0.971,1.073,1.073,1.043,4193.182,1.008,-0.012,-15.564
12,5,1.0,2804,0.0001,36.692,0.0,4.88,2.286,12.214,0.014,1667.338,0.963,1.0,0.973,0.973,1.0,7366.666,262.287,-1.615,-89.843
13,5,0.05,6765,0.0001,39.798,0.0,3.98,1.991,12.155,0.398,17855.927,0.28,0.947,1.069,1.069,1.038,3047.167,1.018,-0.012,-14.734
14,5,0.3,9361,0.0001,39.853,0.0,3.94,1.978,12.225,0.391,17600.715,0.309,0.963,1.073,1.073,1.043,3026.273,1.008,-0.012,-14.816
15,5,0.0,4872,0.0001,39.939,0.0,3.97,1.988,12.237,0.399,17989.013,0.29,0.954,1.07,1.07,1.036,2845.874,1.009,-0.013,-14.596
16,5,0.35,4872,0.0001,39.937,0.0,3.97,1.988,12.214,0.385,17540.232,0.308,0.964,1.07,1.07,1.037,3851.586,1.009,-0.013,-15.304
17,5,0.05,2421,0.0001,40.025,0.0,4.09,2.033,12.179,0.395,18344.282,0.291,0.967,1.068,1.068,1.038,3279.557,1.014,-0.017,-15.088
18,5,0.6000000000000001,4872,0.0001,39.924,0.0,3.97,1.988,12.237,0.363,16783.72,0.34,0.976,1.069,1.069,1.036,5440.132,1.01,-0.013,-16.535
19,5,0.9,4872,0.0001,40.016,0.0,3.98,1.992,12.214,0.206,10960.885,0.616,1.0,1.07,1.07,1.037,7318.601,1.043,-0.017,-28.333
20,5,0.55,2421,0.0001,40.014,0.0,4.09,2.033,12.167,0.366,17300.672,0.331,0.983,1.068,1.068,1.038,5431.143,1.018,-0.018,-16.762
21,5,0.1,4872,0.0001,39.946,0.0,3.97,1.988,12.202,0.396,17895.438,0.294,0.956,1.07,1.07,1.036,3047.5,1.009,-0.013,-14.742
22,5,0.95,6765,0.0001,39.834,0.0,3.99,1.996,12.272,0.107,6293.342,0.783,1.0,1.07,1.07,1.04,7340.16,3.595,-0.018,-42.133
23,5,0.35,9361,0.0001,39.866,0.0,3.94,1.978,12.225,0.389,17510.326,0.312,0.965,1.073,1.073,1.043,3249.322,1.007,-0.012,-14.96
24,5,0.8500000000000001,6765,0.0001,39.833,0.0,3.98,1.992,12.179,0.256,12829.626,0.488,0.998,1.069,1.069,1.04,7248.769,1.153,-0.015,-23.883
25,5,0.75,2804,0.0001,39.752,0.0,3.96,1.985,12.109,0.313,14896.621,0.404,0.991,1.073,1.073,1.043,6874.385,1.014,-0.014,-19.712
26,5,0.65,4872,0.0001,39.939,0.0,3.97,1.988,12.225,0.356,16518.104,0.351,0.979,1.07,1.07,1.036,5866.519,1.01,-0.013,-16.978
27,5,0.45,4872,0.0001,39.958,0.0,3.97,1.988,12.214,0.379,17312.954,0.318,0.969,1.07,1.07,1.036,4363.76,1.01,-0.013,-15.669
28,5,0.05,4872,0.0001,39.951,0.0,3.97,1.988,12.237,0.397,17946.145,0.292,0.955,1.07,1.07,1.036,2938.37,1.009,-0.013,-14.664
29,5,1.0,6765,0.0001,35.232,0.0,5.57,2.477,12.214,0.014,1580.384,0.966,1.0,0.912,0.912,0.955,7366.972,1361.521,-5.424,-89.736
