,seed,beam,OSL weight,OSL Margin,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,9361,1000,0.8,0.0001,17.972,0.0,8.66,3.115,11.51,0.488,27131.436,0.183,0.927,1.229,1.229,1.158,6528.376,1.125,-0.055,-17.976
2,2804,1000,0.1,0.0001,17.137,0.0,8.23,3.041,11.873,0.56,29132.717,0.126,0.794,1.389,1.389,1.194,2673.207,1.04,-0.036,-13.678
3,2421,1000,0.3,0.0001,16.7,0.0,8.36,3.063,12.329,0.557,29250.497,0.125,0.776,1.449,1.449,1.188,2788.754,1.065,-0.04,-13.924
4,2804,1000,0.5,0.0001,17.339,0.0,8.23,3.042,11.545,0.546,28628.733,0.137,0.824,1.305,1.305,1.192,3638.293,1.042,-0.037,-14.37
5,2421,1000,0.8,0.0001,16.861,0.0,8.38,3.067,11.604,0.475,26208.38,0.199,0.928,1.303,1.303,1.2,6657.396,1.111,-0.038,-18.383
6,2421,1000,0.8500000000000001,0.0001,16.89,0.0,8.39,3.068,11.627,0.44,24811.993,0.242,0.961,1.291,1.291,1.2,7067.749,1.176,-0.04,-20.537
7,6765,1000,0.1,0.0001,17.007,0.0,8.4,3.07,11.99,0.565,29599.089,0.125,0.788,1.407,1.407,1.174,2408.915,1.065,-0.05,-13.515
8,9361,1000,0.05,0.0001,17.365,0.0,8.65,3.113,12.762,0.557,29876.391,0.12,0.818,1.519,1.519,1.167,2742.031,1.068,-0.049,-14.038
9,2804,1000,0.6000000000000001,0.0001,17.346,0.0,8.23,3.042,11.522,0.539,28355.28,0.142,0.837,1.302,1.302,1.19,4166.532,1.045,-0.037,-14.751
10,9361,1000,0.95,0.0001,17.9,0.0,8.77,3.132,11.463,0.161,11893.637,0.676,1.0,1.232,1.232,1.167,7332.433,13.446,-0.09,-49.295
11,9361,1000,0.5,0.0001,17.775,0.0,8.65,3.113,11.803,0.54,29191.351,0.135,0.85,1.291,1.291,1.158,4035.756,1.077,-0.05,-14.991
12,2804,1000,1.0,0.0001,17.768,0.0,11.16,3.48,11.346,0.028,3859.18,0.936,1.0,1.04,1.04,1.034,7355.241,772.701,-4.079,-101.845
