,OSL weight,seed,OSL Margin,beam,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,0.8,9361,0.0001,250,18.19,0.0,8.66,3.115,11.534,0.488,27131.436,0.183,0.921,1.203,1.203,1.143,6528.376,1.125,-0.055,-17.976
2,0.1,2804,0.0001,250,17.757,0.0,8.23,3.041,11.452,0.56,29132.717,0.126,0.783,1.262,1.262,1.167,2673.207,1.04,-0.036,-13.678
3,0.3,2421,0.0001,250,17.444,0.0,8.36,3.063,11.791,0.557,29250.497,0.125,0.764,1.263,1.263,1.167,2788.754,1.065,-0.04,-13.924
4,0.5,2804,0.0001,250,17.818,0.0,8.23,3.042,11.393,0.546,28628.733,0.137,0.813,1.254,1.254,1.167,3638.293,1.042,-0.037,-14.37
5,0.8,2421,0.0001,250,17.344,0.0,8.38,3.067,11.522,0.475,26208.38,0.199,0.92,1.255,1.255,1.182,6657.396,1.111,-0.038,-18.383
6,0.8500000000000001,2421,0.0001,250,17.323,0.0,8.39,3.068,11.545,0.44,24811.993,0.242,0.955,1.252,1.252,1.182,7067.749,1.176,-0.04,-20.537
7,0.1,6765,0.0001,250,17.663,0.0,8.4,3.07,11.545,0.565,29599.089,0.125,0.775,1.251,1.251,1.156,2408.915,1.065,-0.05,-13.515
8,0.05,9361,0.0001,250,18.071,0.0,8.65,3.113,11.756,0.557,29876.391,0.12,0.807,1.25,1.25,1.143,2742.031,1.068,-0.049,-14.038
9,0.6000000000000001,2804,0.0001,250,17.825,0.0,8.23,3.042,11.358,0.539,28355.28,0.142,0.827,1.251,1.251,1.167,4166.532,1.045,-0.037,-14.751
10,0.95,9361,0.0001,250,18.133,0.0,8.77,3.132,11.569,0.161,11893.637,0.676,1.0,1.21,1.21,1.154,7332.433,13.446,-0.09,-49.295
11,0.5,9361,0.0001,250,18.133,0.0,8.65,3.113,11.592,0.54,29191.351,0.135,0.842,1.216,1.216,1.143,4035.756,1.077,-0.05,-14.991
12,1.0,2804,0.0001,250,17.846,0.0,11.16,3.48,11.428,0.028,3859.18,0.936,1.0,1.018,1.018,1.0,7355.241,772.701,-4.079,-101.845
13,0.05,6765,0.0001,250,17.671,0.0,8.4,3.07,11.534,0.566,29629.342,0.124,0.774,1.251,1.251,1.156,2356.116,1.064,-0.05,-13.473
14,0.3,9361,0.0001,250,18.123,0.0,8.65,3.113,11.662,0.55,29603.519,0.125,0.82,1.227,1.227,1.143,3252.848,1.071,-0.049,-14.415
15,0.0,4872,0.0001,250,17.567,0.0,8.49,3.085,11.662,0.567,29611.571,0.112,0.749,1.258,1.258,1.167,2635.988,1.055,-0.042,-13.632
16,0.35,4872,0.0001,250,17.619,0.0,8.49,3.086,11.662,0.559,29321.582,0.12,0.769,1.248,1.248,1.167,3165.79,1.058,-0.043,-14.029
17,0.05,2421,0.0001,250,17.428,0.0,8.36,3.063,11.814,0.563,29506.249,0.119,0.75,1.27,1.27,1.167,2360.074,1.062,-0.04,-13.576
