,seed,beam,OSL Margin,OSL weight,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,9361,500,0.0001,0.8,18.103,0.0,8.66,3.115,11.569,0.488,27131.436,0.183,0.924,1.216,1.216,1.154,6528.376,1.125,-0.055,-17.976
2,2804,500,0.0001,0.1,17.444,0.0,8.23,3.041,11.557,0.56,29132.717,0.126,0.788,1.302,1.302,1.182,2673.207,1.04,-0.036,-13.678
3,2421,500,0.0001,0.3,17.134,0.0,8.36,3.063,11.908,0.557,29250.497,0.125,0.771,1.314,1.314,1.176,2788.754,1.065,-0.04,-13.924
4,2804,500,0.0001,0.5,17.511,0.0,8.23,3.042,11.475,0.546,28628.733,0.137,0.819,1.281,1.281,1.182,3638.293,1.042,-0.037,-14.37
5,2421,500,0.0001,0.8,17.129,0.0,8.38,3.067,11.604,0.475,26208.38,0.199,0.925,1.277,1.277,1.188,6657.396,1.111,-0.038,-18.383
6,2421,500,0.0001,0.8500000000000001,17.157,0.0,8.39,3.068,11.604,0.44,24811.993,0.242,0.958,1.268,1.268,1.188,7067.749,1.176,-0.04,-20.537
7,6765,500,0.0001,0.1,17.407,0.0,8.4,3.07,11.686,0.565,29599.089,0.125,0.783,1.302,1.302,1.167,2408.915,1.065,-0.05,-13.515
8,9361,500,0.0001,0.05,17.864,0.0,8.65,3.113,11.978,0.557,29876.391,0.12,0.811,1.314,1.314,1.154,2742.031,1.068,-0.049,-14.038
9,2804,500,0.0001,0.6000000000000001,17.531,0.0,8.23,3.042,11.487,0.539,28355.28,0.142,0.833,1.279,1.279,1.182,4166.532,1.045,-0.037,-14.751
10,9361,500,0.0001,0.95,18.011,0.0,8.77,3.132,11.51,0.161,11893.637,0.676,1.0,1.222,1.222,1.158,7332.433,13.446,-0.09,-49.295
11,9361,500,0.0001,0.5,17.992,0.0,8.65,3.113,11.674,0.54,29191.351,0.135,0.846,1.246,1.246,1.154,4035.756,1.077,-0.05,-14.991
12,2804,500,0.0001,1.0,17.81,0.0,11.16,3.48,11.311,0.028,3859.18,0.936,1.0,1.03,1.03,1.0,7355.241,772.701,-4.079,-101.845
13,6765,500,0.0001,0.05,17.376,0.0,8.4,3.07,11.732,0.566,29629.342,0.124,0.781,1.307,1.307,1.167,2356.116,1.064,-0.05,-13.473
14,9361,500,0.0001,0.3,17.929,0.0,8.65,3.113,11.814,0.55,29603.519,0.125,0.824,1.278,1.278,1.154,3252.848,1.071,-0.049,-14.415
15,4872,500,0.0001,0.0,17.221,0.0,8.49,3.085,11.849,0.567,29611.571,0.112,0.754,1.345,1.345,1.18,2635.988,1.055,-0.042,-13.632
16,4872,500,0.0001,0.35,17.316,0.0,8.49,3.086,11.791,0.559,29321.582,0.12,0.774,1.303,1.303,1.179,3165.79,1.058,-0.043,-14.029
17,2421,500,0.0001,0.05,17.065,0.0,8.36,3.063,12.048,0.563,29506.249,0.119,0.756,1.348,1.348,1.176,2360.074,1.062,-0.04,-13.576
18,4872,500,0.0001,0.6000000000000001,17.405,0.0,8.49,3.086,11.662,0.546,28809.634,0.131,0.807,1.272,1.272,1.176,4136.383,1.066,-0.044,-14.737
19,4872,500,0.0001,0.9,17.618,0.0,8.52,3.09,11.452,0.343,20624.25,0.377,0.993,1.242,1.242,1.172,7286.864,3.669,-0.06,-27.774
20,2421,500,0.0001,0.55,17.203,0.0,8.36,3.063,11.732,0.542,28716.539,0.137,0.804,1.287,1.287,1.176,3767.432,1.071,-0.04,-14.663
21,4872,500,0.0001,0.1,17.302,0.0,8.49,3.086,11.814,0.566,29552.657,0.114,0.759,1.33,1.33,1.182,2741.403,1.055,-0.042,-13.714
22,6765,500,0.0001,0.95,17.613,0.0,8.49,3.085,11.346,0.147,10929.725,0.71,1.0,1.241,1.241,1.167,7332.502,8.48,-0.076,-51.029
23,9361,500,0.0001,0.35,17.961,0.0,8.65,3.113,11.791,0.548,29525.398,0.127,0.829,1.267,1.267,1.154,3405.047,1.072,-0.049,-14.525
24,6765,500,0.0001,0.8500000000000001,17.636,0.0,8.43,3.076,11.264,0.442,24928.352,0.246,0.959,1.24,1.24,1.167,7028.394,1.143,-0.055,-20.476
25,2804,500,0.0001,0.75,17.585,0.0,8.24,3.042,11.417,0.519,27563.846,0.165,0.871,1.268,1.268,1.182,5482.606,1.051,-0.038,-15.868
26,4872,500,0.0001,0.65,17.447,0.0,8.49,3.086,11.639,0.542,28622.74,0.134,0.818,1.266,1.266,1.176,4480.178,1.069,-0.044,-14.999
27,4872,500,0.0001,0.45,17.346,0.0,8.49,3.086,11.697,0.556,29172.135,0.122,0.783,1.285,1.285,1.178,3448.604,1.06,-0.043,-14.234
28,4872,500,0.0001,0.05,17.221,0.0,8.49,3.085,11.861,0.566,29584.37,0.113,0.756,1.337,1.337,1.179,2686.568,1.055,-0.042,-13.672
29,6765,500,0.0001,1.0,17.655,0.0,10.79,3.432,11.639,0.031,4276.161,0.929,1.0,1.063,1.063,1.053,7355.658,540.76,-2.926,-99.4
30,2421,500,0.0001,0.25,17.09,0.0,8.36,3.063,11.92,0.558,29317.805,0.123,0.767,1.323,1.323,1.176,2673.484,1.064,-0.04,-13.833
31,2804,500,0.0001,0.8500000000000001,17.823,0.0,8.25,3.044,11.288,0.432,24138.718,0.249,0.962,1.25,1.25,1.171,7101.374,1.12,-0.041,-21.091
32,2804,500,0.0001,0.8,17.764,0.0,8.24,3.043,11.358,0.467,25547.332,0.211,0.932,1.257,1.257,1.174,6769.392,1.078,-0.039,-18.897
33,6765,500,0.0001,0.55,17.483,0.0,8.4,3.071,11.522,0.55,29020.618,0.137,0.817,1.266,1.266,1.167,3489.831,1.071,-0.051,-14.315
34,4872,500,0.0001,0.75,17.441,0.0,8.5,3.087,11.592,0.526,28026.891,0.149,0.853,1.261,1.261,1.176,5433.137,1.081,-0.045,-15.84
35,2804,500,0.0001,0.0,17.455,0.0,8.23,3.041,11.58,0.562,29192.223,0.125,0.785,1.305,1.305,1.182,2561.266,1.04,-0.036,-13.593
36,2421,500,0.0001,0.0,17.041,0.0,8.36,3.063,12.165,0.564,29540.62,0.119,0.754,1.365,1.365,1.176,2303.442,1.062,-0.04,-13.528
37,2804,500,0.0001,0.7000000000000001,17.574,0.0,8.24,3.042,11.393,0.528,27913.63,0.156,0.855,1.269,1.269,1.182,4956.148,1.048,-0.038,-15.375
38,9361,500,0.0001,0.2,17.867,0.0,8.65,3.113,11.896,0.553,29732.9,0.123,0.818,1.298,1.298,1.154,3006.238,1.069,-0.049,-14.234
39,9361,500,0.0001,0.1,17.875,0.0,8.65,3.113,11.931,0.556,29833.566,0.12,0.812,1.308,1.308,1.154,2818.153,1.068,-0.049,-14.094
40,6765,500,0.0001,0.75,17.545,0.0,8.41,3.071,11.393,0.525,28116.86,0.159,0.863,1.244,1.244,1.167,5128.238,1.083,-0.053,-15.589
41,2804,500,0.0001,0.25,17.458,0.0,8.23,3.041,11.498,0.556,29004.099,0.129,0.797,1.292,1.292,1.182,2909.063,1.041,-0.036,-13.852
42,4872,500,0.0001,0.55,17.367,0.0,8.49,3.086,11.697,0.55,28957.069,0.126,0.798,1.277,1.277,1.176,3860.189,1.064,-0.043,-14.532
43,9361,500,0.0001,0.65,18.037,0.0,8.66,3.114,11.639,0.525,28586.534,0.147,0.874,1.232,1.232,1.154,5055.781,1.086,-0.051,-15.85
44,2804,500,0.0001,0.45,17.511,0.0,8.23,3.042,11.475,0.549,28729.378,0.134,0.813,1.28,1.28,1.182,3439.08,1.042,-0.037,-14.23
45,4872,500,0.0001,0.4,17.316,0.0,8.49,3.086,11.744,0.558,29254.31,0.121,0.778,1.297,1.297,1.179,3293.511,1.058,-0.043,-14.122
46,4872,500,0.0001,0.8,17.478,0.0,8.5,3.087,11.615,0.513,27517.04,0.162,0.877,1.257,1.257,1.176,6048.052,1.092,-0.046,-16.566
47,2804,500,0.0001,0.9,17.759,0.0,8.26,3.047,11.276,0.313,19070.395,0.412,0.995,1.247,1.247,1.172,7300.228,3.205,-0.045,-30.083
48,6765,500,0.0001,0.3,17.42,0.0,8.4,3.07,11.662,0.561,29432.005,0.128,0.793,1.292,1.292,1.167,2703.58,1.066,-0.05,-13.743
