,seed,OSL Margin,OSL weight,beam,BLEU,BLEURT,PPL,NLL,Abrupted,OS rate,OS loss,Target Empty WR,Generated Empty WR,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T True EOS R avg,T Term LL Avg,T NTerm LL Avg
1,9361,0.0001,0.8,750,18.048,0.0,8.66,3.115,11.534,0.488,27131.436,0.183,0.926,1.222,1.222,1.154,6528.376,1.125,-0.055,-17.976
2,2804,0.0001,0.1,750,17.234,0.0,8.23,3.041,11.732,0.56,29132.717,0.126,0.792,1.358,1.358,1.188,2673.207,1.04,-0.036,-13.678
3,2421,0.0001,0.3,750,16.891,0.0,8.36,3.063,12.048,0.557,29250.497,0.125,0.773,1.361,1.361,1.182,2788.754,1.065,-0.04,-13.924
4,2804,0.0001,0.5,750,17.394,0.0,8.23,3.042,11.475,0.546,28628.733,0.137,0.822,1.292,1.292,1.186,3638.293,1.042,-0.037,-14.37
5,2421,0.0001,0.8,750,16.976,0.0,8.38,3.067,11.569,0.475,26208.38,0.199,0.927,1.291,1.291,1.2,6657.396,1.111,-0.038,-18.383
6,2421,0.0001,0.8500000000000001,750,17.019,0.0,8.39,3.068,11.615,0.44,24811.993,0.242,0.96,1.279,1.279,1.194,7067.749,1.176,-0.04,-20.537
7,6765,0.0001,0.1,750,17.225,0.0,8.4,3.07,11.803,0.565,29599.089,0.125,0.786,1.346,1.346,1.167,2408.915,1.065,-0.05,-13.515
8,9361,0.0001,0.05,750,17.603,0.0,8.65,3.113,12.376,0.557,29876.391,0.12,0.815,1.419,1.419,1.158,2742.031,1.068,-0.049,-14.038
9,2804,0.0001,0.6000000000000001,750,17.411,0.0,8.23,3.042,11.487,0.539,28355.28,0.142,0.835,1.29,1.29,1.185,4166.532,1.045,-0.037,-14.751
10,9361,0.0001,0.95,750,17.927,0.0,8.77,3.132,11.475,0.161,11893.637,0.676,1.0,1.23,1.23,1.167,7332.433,13.446,-0.09,-49.295
11,9361,0.0001,0.5,750,17.873,0.0,8.65,3.113,11.732,0.54,29191.351,0.135,0.848,1.267,1.267,1.157,4035.756,1.077,-0.05,-14.991
12,2804,0.0001,1.0,750,17.78,0.0,11.16,3.48,11.358,0.028,3859.18,0.936,1.0,1.036,1.036,1.025,7355.241,772.701,-4.079,-101.845
13,6765,0.0001,0.05,750,17.241,0.0,8.4,3.07,11.814,0.566,29629.342,0.124,0.784,1.348,1.348,1.167,2356.116,1.064,-0.05,-13.473
14,9361,0.0001,0.3,750,17.796,0.0,8.65,3.113,11.931,0.55,29603.519,0.125,0.827,1.321,1.321,1.158,3252.848,1.071,-0.049,-14.415
15,4872,0.0001,0.0,750,16.903,0.0,8.49,3.085,12.259,0.567,29611.571,0.112,0.759,1.449,1.449,1.188,2635.988,1.055,-0.042,-13.632
16,4872,0.0001,0.35,750,17.155,0.0,8.49,3.086,11.861,0.559,29321.582,0.12,0.778,1.351,1.351,1.182,3165.79,1.058,-0.043,-14.029
17,2421,0.0001,0.05,750,16.737,0.0,8.36,3.063,12.446,0.563,29506.249,0.119,0.76,1.462,1.462,1.182,2360.074,1.062,-0.04,-13.576
18,4872,0.0001,0.6000000000000001,750,17.246,0.0,8.49,3.086,11.697,0.546,28809.634,0.131,0.809,1.297,1.297,1.182,4136.383,1.066,-0.044,-14.737
19,4872,0.0001,0.9,750,17.506,0.0,8.52,3.09,11.452,0.343,20624.25,0.377,0.994,1.251,1.251,1.178,7286.864,3.669,-0.06,-27.774
20,2421,0.0001,0.55,750,17.052,0.0,8.36,3.063,11.791,0.542,28716.539,0.137,0.808,1.305,1.305,1.182,3767.432,1.071,-0.04,-14.663
21,4872,0.0001,0.1,750,16.994,0.0,8.49,3.086,12.153,0.566,29552.657,0.114,0.764,1.427,1.427,1.188,2741.403,1.055,-0.042,-13.714
22,6765,0.0001,0.95,750,17.547,0.0,8.49,3.085,11.335,0.147,10929.725,0.71,1.0,1.25,1.25,1.174,7332.502,8.48,-0.076,-51.029
23,9361,0.0001,0.35,750,17.802,0.0,8.65,3.113,11.908,0.548,29525.398,0.127,0.831,1.314,1.314,1.158,3405.047,1.072,-0.049,-14.525
24,6765,0.0001,0.8500000000000001,750,17.51,0.0,8.43,3.076,11.218,0.442,24928.352,0.246,0.961,1.25,1.25,1.167,7028.394,1.143,-0.055,-20.476
