,beam,OSL weight,OSL Margin,seed,lr,unnormalized,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,100,0.8,0.0001,9361,[0.0005],True,22.768,4.44,2.15,0.431,26414.38,1.098,1.123,1.067,22033.627,11246.317,31.961,597.256,22529.784,11208.454,1.017,0.211,-805.069,-1648107.548,-0.268,-19.548
2,100,0.1,0.0001,2804,[0.0005],True,22.648,4.43,2.146,0.546,34923.635,1.107,1.124,1.077,1703.844,3112.711,3.685,59.391,1507.694,2902.867,1.024,1.026,-865.773,-1136484.687,-0.288,-13.48
3,100,0.3,0.0001,2421,[0.0005],True,22.536,4.46,2.158,0.544,34750.189,1.142,1.182,1.095,2299.181,3671.792,4.717,78.754,2089.649,3457.737,1.042,1.563,-1108.48,-1166217.409,-0.369,-13.832
4,100,0.5,0.0001,2804,[0.0005],True,22.564,4.43,2.149,0.525,33328.998,1.12,1.141,1.077,3249.318,4383.194,6.458,134.107,3092.006,4261.684,1.012,0.132,-1220.261,-1226315.316,-0.406,-14.545
5,100,0.8,0.0001,2421,[0.0005],True,22.758,4.42,2.144,0.442,27181.063,1.116,1.136,1.083,20982.905,11247.421,55.647,893.866,21415.585,11256.416,3.067,80.086,-1391.697,-1593763.751,-0.463,-18.904
6,100,0.85,0.0001,2421,[0.0005],True,22.542,4.41,2.141,0.318,18665.567,1.134,1.167,1.091,29765.468,7650.328,220.601,2298.078,29894.575,7581.845,1.012,0.182,-1312.958,-2238366.103,-0.437,-26.549
7,100,0.1,0.0001,6765,[0.0005],True,21.159,4.49,2.165,0.544,35418.532,1.18,1.219,1.111,1844.41,3239.649,3.507,40.723,1659.783,3030.955,1.019,0.201,-989.841,-1148409.107,-0.33,-13.621
8,100,0.05,0.0001,9361,[0.0005],True,22.608,4.38,2.131,0.546,34931.358,1.119,1.154,1.077,1416.36,2617.959,2.841,54.495,1284.159,2449.855,1.069,1.948,-554.082,-1116107.06,-0.185,-13.238
9,100,0.6,0.0001,2804,[0.0005],True,22.886,4.44,2.152,0.514,32566.518,1.096,1.11,1.067,4873.712,5467.203,8.173,171.934,4739.856,5424.217,1.013,0.209,-1092.671,-1274231.187,-0.364,-15.114
10,100,0.95,0.0001,9361,[0.0005],True,22.844,4.52,2.176,0.013,614.601,1.1,1.13,1.065,32508.271,2844.295,319.311,3136.931,32497.128,2887.806,1.004,0.073,-1730.872,-7657777.516,-0.576,-90.829
11,100,0.5,0.0001,9361,[0.0005],True,22.563,4.42,2.144,0.521,33059.906,1.122,1.145,1.075,3266.846,4368.269,6.062,168.372,3111.081,4260.55,1.019,0.305,-752.528,-1231143.38,-0.251,-14.603
12,100,1.0,0.0001,2804,[0.0005],True,0.011,364030376.48,28.439,0.053,8294.023,0.666,0.638,0.641,32757.892,575.291,29681.361,9485.618,32768.0,0.0,32768.0,0.0,-948791.989,-56427119.033,-315.948,-669.281
13,100,0.05,0.0001,6765,[0.0005],True,21.641,4.48,2.165,0.543,35383.451,1.173,1.222,1.107,1922.265,3271.484,4.514,135.549,1743.196,3023.208,1.024,0.43,-787.219,-1147148.305,-0.262,-13.606
14,100,0.3,0.0001,9361,[0.0005],True,22.675,4.43,2.146,0.538,34144.618,1.111,1.145,1.077,2107.875,3425.514,5.167,139.497,1921.771,3188.09,1.059,1.928,-935.625,-1167818.571,-0.312,-13.851
15,100,0.0,0.0001,4872,[0.0005],True,20.852,4.5,2.169,0.55,35567.545,1.222,1.449,1.097,1631.107,2927.131,4.449,91.021,1457.084,2742.52,1.053,0.969,-981.397,-1130050.206,-0.327,-13.404
16,100,0.35,0.0001,4872,[0.0005],True,22.327,4.47,2.161,0.535,34413.856,1.143,1.196,1.083,2207.699,3313.761,6.044,170.115,2017.441,3128.299,1.024,0.212,-892.779,-1183320.764,-0.297,-14.035
17,100,0.05,0.0001,2421,[0.0005],True,22.552,4.42,2.145,0.548,34781.346,1.128,1.164,1.083,1877.999,3230.899,5.881,148.878,1674.948,2995.068,1.044,1.083,-1020.269,-1139804.92,-0.34,-13.519
18,100,0.6,0.0001,4872,[0.0005],True,22.088,4.54,2.183,0.518,33743.684,1.15,1.268,1.08,4342.708,5123.882,7.682,160.115,4319.113,5127.298,1.046,0.999,-1076.971,-1264952.892,-0.359,-15.004
19,100,0.9,0.0001,4872,[0.0005],True,22.709,4.6,2.202,0.073,3766.295,1.134,1.178,1.077,32676.049,1627.125,979.187,5528.291,32609.946,2110.095,1.009,0.108,-3183.213,-4858650.15,-1.06,-57.628
20,100,0.55,0.0001,2421,[0.0005],True,22.746,4.4,2.138,0.529,33314.211,1.128,1.16,1.091,3565.601,4817.947,7.747,163.572,3392.44,4723.769,1.053,2.322,-1268.607,-1221037.962,-0.422,-14.483
21,100,0.1,0.0001,4872,[0.0005],True,22.063,4.48,2.163,0.546,35441.659,1.163,1.239,1.094,1631.5,2877.896,5.896,187.149,1446.137,2644.393,1.072,1.438,-852.516,-1136825.006,-0.284,-13.484
22,100,0.95,0.0001,6765,[0.0005],True,20.563,4.61,2.203,0.017,810.346,1.216,1.28,1.125,32677.021,1659.415,742.318,4850.384,32628.797,2025.193,1.009,0.148,-3326.623,-7050107.953,-1.108,-83.621
23,100,0.35,0.0001,9361,[0.0005],True,22.268,4.52,2.175,0.542,34982.384,1.112,1.141,1.075,2070.794,3184.706,4.171,46.989,1895.139,2959.062,1.013,0.142,-1061.028,-1172496.616,-0.353,-13.907
24,100,0.85,0.0001,6765,[0.0005],True,21.428,4.47,2.162,0.31,18327.987,1.177,1.216,1.111,29917.002,7605.463,201.111,2203.05,30030.885,7548.406,1.008,0.096,-1354.217,-2308691.361,-0.451,-27.383
25,100,0.75,0.0001,2804,[0.0005],True,22.783,4.43,2.147,0.466,29114.945,1.109,1.123,1.077,15377.333,10453.87,30.899,524.588,15744.773,10663.529,1.008,0.121,-1270.722,-1469514.105,-0.423,-17.43
26,100,0.65,0.0001,4872,[0.0005],True,21.733,4.47,2.159,0.509,32343.779,1.152,1.21,1.083,5865.62,6323.829,7.313,83.069,5881.684,6358.694,1.025,0.277,-1048.643,-1298960.03,-0.349,-15.407
27,100,0.45,0.0001,4872,[0.0005],True,22.575,4.46,2.158,0.533,34169.74,1.152,1.211,1.087,2719.291,3972.344,5.085,88.948,2520.042,3791.769,1.033,0.322,-906.617,-1189676.431,-0.302,-14.111
28,100,0.05,0.0001,4872,[0.0005],True,22.229,4.45,2.155,0.548,35062.243,1.161,1.294,1.083,1820.314,3101.077,6.564,161.967,1646.537,2949.499,1.107,1.748,-1070.356,-1142805.266,-0.356,-13.555
29,100,1.0,0.0001,6765,[0.0005],True,0.007,7093484.66,22.758,0.058,10734.869,0.666,0.638,0.641,32755.354,641.133,26730.171,12621.662,32768.0,0.0,32768.0,0.0,-544166.351,-59481927.457,-181.208,-705.514
30,100,0.25,0.0001,2421,[0.0005],True,22.784,4.45,2.154,0.542,34606.544,1.104,1.127,1.077,2309.807,3780.164,5.605,122.987,2100.418,3545.905,1.008,0.133,-1043.624,-1166261.425,-0.348,-13.833
31,100,0.85,0.0001,2804,[0.0005],True,22.772,4.43,2.148,0.311,18300.523,1.099,1.113,1.069,30625.591,6253.998,278.452,2709.771,30650.047,6319.702,11.918,597.851,-1532.058,-2294485.975,-0.51,-27.215
32,100,0.8,0.0001,2804,[0.0005],True,22.654,4.41,2.141,0.424,26089.88,1.115,1.144,1.081,22874.282,10947.511,47.306,972.891,23258.87,10934.107,1.012,0.175,-1155.784,-1667902.509,-0.385,-19.783
33,100,0.55,0.0001,6765,[0.0005],True,20.981,4.49,2.166,0.519,33483.798,1.179,1.22,1.111,4193.963,5400.489,6.1,133.734,4094.99,5303.219,1.018,0.181,-974.84,-1247976.997,-0.325,-14.802
34,100,0.75,0.0001,4872,[0.0005],True,22.668,4.48,2.162,0.468,29653.574,1.137,1.193,1.077,15245.782,10636.264,16.588,278.62,15856.341,10791.4,1.025,0.266,-936.845,-1468679.384,-0.312,-17.42
35,100,0.0,0.0001,2804,[0.0005],True,22.963,4.43,2.148,0.544,34674.655,1.117,1.136,1.074,1917.161,3146.996,3.806,50.842,1720.904,2941.825,1.009,0.13,-997.019,-1151757.488,-0.332,-13.661
36,100,0.0,0.0001,2421,[0.0005],True,22.04,4.38,2.132,0.549,35076.151,1.137,1.179,1.091,1745.472,3268.991,3.778,74.355,1545.534,3047.727,1.018,0.562,-839.984,-1117712.727,-0.28,-13.257
