,beam,lr,OSL weight,unnormalized,seed,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,1000,[0.0005],0.8,True,9361,0.0001,20.549,4.44,2.15,0.431,26414.38,1.17,1.228,1.091,22033.627,11246.317,31.961,597.256,22344.15,11244.476,1.123,3.5,-805.069,-1648107.548,-0.268,-19.548
2,1000,[0.0005],0.1,True,2804,0.0001,19.368,4.43,2.146,0.546,34923.635,1.249,1.911,1.105,1703.844,3112.711,3.685,59.391,1539.719,2949.673,9.269,49.122,-865.773,-1136484.687,-0.288,-13.48
3,1000,[0.0005],0.3,True,2421,0.0001,19.178,4.46,2.158,0.544,34750.189,1.285,1.636,1.143,2299.181,3671.792,4.717,78.754,2147.39,3534.231,6.917,51.555,-1108.48,-1166217.409,-0.369,-13.832
4,1000,[0.0005],0.5,True,2804,0.0001,19.812,4.43,2.149,0.525,33328.998,1.239,1.565,1.111,3249.318,4383.194,6.458,134.107,3120.734,4272.5,2.972,16.422,-1220.261,-1226315.316,-0.406,-14.545
5,1000,[0.0005],0.8,True,2421,0.0001,20.59,4.42,2.144,0.442,27181.063,1.194,1.249,1.111,20982.905,11247.421,55.647,893.866,21494.424,11191.866,1.095,0.694,-1391.697,-1593763.751,-0.463,-18.904
6,1000,[0.0005],0.85,True,2421,0.0001,20.448,4.41,2.141,0.318,18665.567,1.226,1.307,1.125,29765.468,7650.328,220.601,2298.078,29951.608,7489.497,1.07,0.508,-1312.958,-2238366.103,-0.437,-26.549
7,1000,[0.0005],0.1,True,6765,0.0001,17.034,4.49,2.165,0.544,35418.532,1.381,1.874,1.167,1844.41,3239.649,3.507,40.723,1638.574,2997.471,7.423,49.116,-989.841,-1148409.107,-0.33,-13.621
8,1000,[0.0005],0.05,True,9361,0.0001,18.789,4.38,2.131,0.546,34931.358,1.303,1.924,1.125,1416.36,2617.959,2.841,54.495,1318.076,2503.323,8.958,48.416,-554.082,-1116107.06,-0.185,-13.238
9,1000,[0.0005],0.6,True,2804,0.0001,20.895,4.44,2.152,0.514,32566.518,1.167,1.256,1.088,4873.712,5467.203,8.173,171.934,4796.568,5452.334,1.5,7.704,-1092.671,-1274231.187,-0.364,-15.114
10,1000,[0.0005],0.95,True,9361,0.0001,20.787,4.52,2.176,0.013,614.601,1.191,1.261,1.095,32508.271,2844.295,319.311,3136.931,32499.992,2864.388,1.044,0.375,-1730.872,-7657777.516,-0.576,-90.829
11,1000,[0.0005],0.5,True,9361,0.0001,20.006,4.42,2.144,0.521,33059.906,1.236,1.54,1.105,3266.846,4368.269,6.062,168.372,3158.604,4270.112,3.065,19.563,-752.528,-1231143.38,-0.251,-14.603
12,1000,[0.0005],1.0,True,2804,0.0001,0.003,364030376.48,28.439,0.053,8294.023,0.666,0.638,0.641,32757.892,575.291,29681.361,9485.618,32768.0,0.0,32768.0,0.0,-948791.989,-56427119.033,-315.948,-669.281
13,1000,[0.0005],0.05,True,6765,0.0001,18.173,4.48,2.165,0.543,35383.451,1.352,1.753,1.15,1922.265,3271.484,4.514,135.549,1770.615,3035.002,6.581,44.491,-787.219,-1147148.305,-0.262,-13.606
14,1000,[0.0005],0.3,True,9361,0.0001,19.051,4.43,2.146,0.538,34144.618,1.275,1.966,1.111,2107.875,3425.514,5.167,139.497,1954.326,3214.607,6.833,35.569,-935.625,-1167818.571,-0.312,-13.851
15,1000,[0.0005],0.0,True,4872,0.0001,13.396,4.5,2.169,0.55,35567.545,1.682,3.195,1.211,1631.107,2927.131,4.449,91.021,1458.098,2729.029,6.454,37.461,-981.397,-1130050.206,-0.327,-13.404
16,1000,[0.0005],0.35,True,4872,0.0001,18.056,4.47,2.161,0.535,34413.856,1.354,2.108,1.125,2207.699,3313.761,6.044,170.115,2040.014,3129.641,5.64,30.146,-892.779,-1183320.764,-0.297,-14.035
17,1000,[0.0005],0.05,True,2421,0.0001,18.776,4.42,2.145,0.548,34781.346,1.294,1.89,1.125,1877.999,3230.899,5.881,148.878,1682.835,3003.618,10.375,59.048,-1020.269,-1139804.92,-0.34,-13.519
18,1000,[0.0005],0.6,True,4872,0.0001,17.533,4.54,2.183,0.518,33743.684,1.405,2.496,1.136,4342.708,5123.882,7.682,160.115,4302.855,5147.583,5.325,28.323,-1076.971,-1264952.892,-0.359,-15.004
19,1000,[0.0005],0.9,True,4872,0.0001,19.135,4.6,2.202,0.073,3766.295,1.301,1.489,1.125,32676.049,1627.125,979.187,5528.291,32562.976,2373.047,1.087,0.618,-3183.213,-4858650.15,-1.06,-57.628
20,1000,[0.0005],0.55,True,2421,0.0001,19.894,4.4,2.138,0.529,33314.211,1.239,1.372,1.13,3565.601,4817.947,7.747,163.572,3426.825,4742.425,3.862,36.482,-1268.607,-1221037.962,-0.422,-14.483
21,1000,[0.0005],0.1,True,4872,0.0001,16.591,4.48,2.163,0.546,35441.659,1.441,2.586,1.158,1631.5,2877.896,5.896,187.149,1473.587,2683.594,6.909,38.554,-852.516,-1136825.006,-0.284,-13.484
22,1000,[0.0005],0.95,True,6765,0.0001,16.197,4.61,2.203,0.017,810.346,1.392,1.545,1.176,32677.021,1659.415,742.318,4850.384,32622.156,2062.816,1.067,1.515,-3326.623,-7050107.953,-1.108,-83.621
