,lr,OSL weight,unnormalized,seed,beam,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,[0.0005],0.8,True,9361,250,0.0001,21.871,4.44,2.15,0.431,26414.38,1.125,1.161,1.077,22033.627,11246.317,31.961,597.256,22446.944,11223.572,1.098,3.488,-805.069,-1648107.548,-0.268,-19.548
2,[0.0005],0.1,True,2804,250,0.0001,21.772,4.43,2.146,0.546,34923.635,1.135,1.218,1.083,1703.844,3112.711,3.685,59.391,1524.005,2930.08,1.444,6.491,-865.773,-1136484.687,-0.288,-13.48
3,[0.0005],0.3,True,2421,250,0.0001,21.506,4.46,2.158,0.544,34750.189,1.174,1.231,1.111,2299.181,3671.792,4.717,78.754,2115.112,3496.811,1.099,2.624,-1108.48,-1166217.409,-0.369,-13.832
4,[0.0005],0.5,True,2804,250,0.0001,21.705,4.43,2.149,0.525,33328.998,1.153,1.197,1.091,3249.318,4383.194,6.458,134.107,3098.709,4262.309,1.126,3.112,-1220.261,-1226315.316,-0.406,-14.545
5,[0.0005],0.8,True,2421,250,0.0001,22.166,4.42,2.144,0.442,27181.063,1.143,1.17,1.091,20982.905,11247.421,55.647,893.866,21453.381,11234.38,1.619,32.482,-1391.697,-1593763.751,-0.463,-18.904
6,[0.0005],0.85,True,2421,250,0.0001,21.777,4.41,2.141,0.318,18665.567,1.167,1.215,1.1,29765.468,7650.328,220.601,2298.078,29921.539,7540.637,1.03,0.275,-1312.958,-2238366.103,-0.437,-26.549
7,[0.0005],0.1,True,6765,250,0.0001,19.948,4.49,2.165,0.544,35418.532,1.231,1.323,1.13,1844.41,3239.649,3.507,40.723,1657.287,3033.422,1.152,3.07,-989.841,-1148409.107,-0.33,-13.621
8,[0.0005],0.05,True,9361,250,0.0001,21.601,4.38,2.131,0.546,34931.358,1.167,1.268,1.091,1416.36,2617.959,2.841,54.495,1292.856,2464.101,1.448,5.979,-554.082,-1116107.06,-0.185,-13.238
9,[0.0005],0.6,True,2804,250,0.0001,22.28,4.44,2.152,0.514,32566.518,1.117,1.141,1.074,4873.712,5467.203,8.173,171.934,4750.878,5429.524,1.028,0.28,-1092.671,-1274231.187,-0.364,-15.114
10,[0.0005],0.95,True,9361,250,0.0001,22.084,4.52,2.176,0.013,614.601,1.13,1.173,1.077,32508.271,2844.295,319.311,3136.931,32499.115,2876.42,1.018,0.268,-1730.872,-7657777.516,-0.576,-90.829
