,beam,lr,seed,OSL weight,unnormalized,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,5,[0.0005],9361,0.8,True,0.0001,23.706,4.44,2.15,0.431,26414.38,1.036,1.049,1.03,22033.627,11246.317,31.961,597.256,22578.172,11211.232,1.06,3.176,-805.069,-1648107.548,-0.268,-19.548
2,5,[0.0005],2804,0.1,True,0.0001,24.005,4.43,2.146,0.546,34923.635,1.051,1.058,1.037,1703.844,3112.711,3.685,59.391,1506.322,2902.487,1.193,10.529,-865.773,-1136484.687,-0.288,-13.48
3,5,[0.0005],2421,0.3,True,0.0001,23.839,4.46,2.158,0.544,34750.189,1.064,1.074,1.048,2299.181,3671.792,4.717,78.754,2072.911,3423.499,1.001,0.026,-1108.48,-1166217.409,-0.369,-13.832
4,5,[0.0005],2804,0.5,True,0.0001,23.941,4.43,2.149,0.525,33328.998,1.054,1.061,1.04,3249.318,4383.194,6.458,134.107,3087.862,4273.563,1.001,0.026,-1220.261,-1226315.316,-0.406,-14.545
5,5,[0.0005],2421,0.8,True,0.0001,23.978,4.42,2.144,0.442,27181.063,1.052,1.063,1.042,20982.905,11247.421,55.647,893.866,21419.152,11287.161,2.616,65.523,-1391.697,-1593763.751,-0.463,-18.904
6,5,[0.0005],2421,0.85,True,0.0001,24.164,4.41,2.141,0.318,18665.567,1.06,1.073,1.045,29765.468,7650.328,220.601,2298.078,29845.176,7669.149,1.001,0.032,-1312.958,-2238366.103,-0.437,-26.549
7,5,[0.0005],6765,0.1,True,0.0001,23.453,4.49,2.165,0.544,35418.532,1.079,1.092,1.062,1844.41,3239.649,3.507,40.723,1649.684,3018.221,1.001,0.032,-989.841,-1148409.107,-0.33,-13.621
8,5,[0.0005],9361,0.05,True,0.0001,24.271,4.38,2.131,0.546,34931.358,1.042,1.058,1.032,1416.36,2617.959,2.841,54.495,1273.948,2436.301,1.342,18.632,-554.082,-1116107.06,-0.185,-13.238
9,5,[0.0005],2804,0.6,True,0.0001,24.069,4.44,2.152,0.514,32566.518,1.042,1.047,1.033,4873.712,5467.203,8.173,171.934,4715.749,5398.456,1.427,16.801,-1092.671,-1274231.187,-0.364,-15.114
10,5,[0.0005],9361,0.95,True,0.0001,23.885,4.52,2.176,0.013,614.601,1.037,1.05,1.031,32508.271,2844.295,319.311,3136.931,32489.026,2940.22,1.001,0.026,-1730.872,-7657777.516,-0.576,-90.829
