,unnormalized,OSL Margin,seed,OSL weight,lr,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,True,0.0001,9361,0.8,[0.0005],500,21.363,4.44,2.15,0.431,26414.38,1.146,1.193,1.083,22033.627,11246.317,31.961,597.256,22406.098,11234.217,1.111,3.495,-805.069,-1648107.548,-0.268,-19.548
2,True,0.0001,2804,0.1,[0.0005],500,20.845,4.43,2.146,0.546,34923.635,1.18,1.513,1.094,1703.844,3112.711,3.685,59.391,1535.224,2946.105,3.724,21.98,-865.773,-1136484.687,-0.288,-13.48
3,True,0.0001,2421,0.3,[0.0005],500,20.54,4.46,2.158,0.544,34750.189,1.215,1.351,1.125,2299.181,3671.792,4.717,78.754,2131.817,3518.933,1.821,12.387,-1108.48,-1166217.409,-0.369,-13.832
4,True,0.0001,2804,0.5,[0.0005],500,20.875,4.43,2.149,0.525,33328.998,1.188,1.331,1.1,3249.318,4383.194,6.458,134.107,3106.02,4268.893,1.666,8.079,-1220.261,-1226315.316,-0.406,-14.545
5,True,0.0001,2421,0.8,[0.0005],500,21.501,4.42,2.144,0.442,27181.063,1.163,1.197,1.102,20982.905,11247.421,55.647,893.866,21452.666,11222.082,1.049,0.421,-1391.697,-1593763.751,-0.463,-18.904
6,True,0.0001,2421,0.85,[0.0005],500,21.043,4.41,2.141,0.318,18665.567,1.198,1.263,1.114,29765.468,7650.328,220.601,2298.078,29948.593,7498.696,1.049,0.41,-1312.958,-2238366.103,-0.437,-26.549
7,True,0.0001,6765,0.1,[0.0005],500,18.456,4.49,2.165,0.544,35418.532,1.293,1.5,1.147,1844.41,3239.649,3.507,40.723,1651.353,3013.095,2.359,15.773,-989.841,-1148409.107,-0.33,-13.621
8,True,0.0001,9361,0.05,[0.0005],500,20.566,4.38,2.131,0.546,34931.358,1.218,1.498,1.107,1416.36,2617.959,2.841,54.495,1302.819,2476.577,3.092,17.215,-554.082,-1116107.06,-0.185,-13.238
9,True,0.0001,2804,0.6,[0.0005],500,21.592,4.44,2.152,0.514,32566.518,1.141,1.189,1.083,4873.712,5467.203,8.173,171.934,4770.35,5435.654,1.182,4.229,-1092.671,-1274231.187,-0.364,-15.114
10,True,0.0001,9361,0.95,[0.0005],500,21.365,4.52,2.176,0.013,614.601,1.159,1.215,1.087,32508.271,2844.295,319.311,3136.931,32497.126,2881.051,1.03,0.309,-1730.872,-7657777.516,-0.576,-90.829
11,True,0.0001,9361,0.5,[0.0005],500,21.051,4.42,2.144,0.521,33059.906,1.188,1.315,1.095,3266.846,4368.269,6.062,168.372,3150.924,4274.603,1.545,7.507,-752.528,-1231143.38,-0.251,-14.603
12,True,0.0001,2804,1.0,[0.0005],500,0.003,364030376.48,28.439,0.053,8294.023,0.666,0.638,0.641,32757.892,575.291,29681.361,9485.618,32768.0,0.0,32768.0,0.0,-948791.989,-56427119.033,-315.948,-669.281
13,True,0.0001,6765,0.05,[0.0005],500,19.38,4.48,2.165,0.543,35383.451,1.278,1.476,1.136,1922.265,3271.484,4.514,135.549,1761.983,3027.906,2.1,13.427,-787.219,-1147148.305,-0.262,-13.606
14,True,0.0001,9361,0.3,[0.0005],500,20.54,4.43,2.146,0.538,34144.618,1.203,1.592,1.098,2107.875,3425.514,5.167,139.497,1941.207,3211.147,3.142,16.238,-935.625,-1167818.571,-0.312,-13.851
15,True,0.0001,4872,0.0,[0.0005],500,15.886,4.5,2.169,0.55,35567.545,1.497,2.543,1.167,1631.107,2927.131,4.449,91.021,1465.986,2732.216,3.107,14.562,-981.397,-1130050.206,-0.327,-13.404
16,True,0.0001,4872,0.35,[0.0005],500,19.61,4.47,2.161,0.535,34413.856,1.272,1.753,1.111,2207.699,3313.761,6.044,170.115,2036.219,3132.538,3.062,14.354,-892.779,-1183320.764,-0.297,-14.035
17,True,0.0001,2421,0.05,[0.0005],500,20.488,4.42,2.145,0.548,34781.346,1.208,1.387,1.111,1877.999,3230.899,5.881,148.878,1690.512,3025.952,2.312,16.055,-1020.269,-1139804.92,-0.34,-13.519
18,True,0.0001,4872,0.6,[0.0005],500,19.229,4.54,2.183,0.518,33743.684,1.299,2.004,1.118,4342.708,5123.882,7.682,160.115,4311.414,5136.131,3.175,15.605,-1076.971,-1264952.892,-0.359,-15.004
19,True,0.0001,4872,0.9,[0.0005],500,20.429,4.6,2.202,0.073,3766.295,1.24,1.367,1.108,32676.049,1627.125,979.187,5528.291,32574.834,2304.827,1.055,0.455,-3183.213,-4858650.15,-1.06,-57.628
