,unnormalized,OSL Margin,OSL weight,beam,lr,seed,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,True,0.0001,0.8,750,[0.0005],9361,20.929,4.44,2.15,0.431,26414.38,1.16,1.215,1.087,22033.627,11246.317,31.961,597.256,22391.027,11231.307,1.118,3.498,-805.069,-1648107.548,-0.268,-19.548
2,True,0.0001,0.1,750,[0.0005],2804,20.044,4.43,2.146,0.546,34923.635,1.217,1.74,1.1,1703.844,3112.711,3.685,59.391,1536.513,2942.144,6.525,36.209,-865.773,-1136484.687,-0.288,-13.48
3,True,0.0001,0.3,750,[0.0005],2421,19.823,4.46,2.158,0.544,34750.189,1.251,1.504,1.136,2299.181,3671.792,4.717,78.754,2144.864,3534.122,3.48,25.082,-1108.48,-1166217.409,-0.369,-13.832
4,True,0.0001,0.5,750,[0.0005],2804,20.256,4.43,2.149,0.525,33328.998,1.217,1.464,1.105,3249.318,4383.194,6.458,134.107,3117.176,4275.017,2.317,12.099,-1220.261,-1226315.316,-0.406,-14.545
5,True,0.0001,0.8,750,[0.0005],2421,20.988,4.42,2.144,0.442,27181.063,1.183,1.23,1.109,20982.905,11247.421,55.647,893.866,21462.226,11207.272,1.071,0.51,-1391.697,-1593763.751,-0.463,-18.904
6,True,0.0001,0.85,750,[0.0005],2421,20.671,4.41,2.141,0.318,18665.567,1.215,1.29,1.118,29765.468,7650.328,220.601,2298.078,29947.062,7497.916,1.061,0.47,-1312.958,-2238366.103,-0.437,-26.549
7,True,0.0001,0.1,750,[0.0005],6765,17.555,4.49,2.165,0.544,35418.532,1.348,1.724,1.156,1844.41,3239.649,3.507,40.723,1635.486,2986.933,5.267,36.962,-989.841,-1148409.107,-0.33,-13.621
8,True,0.0001,0.05,750,[0.0005],9361,19.581,4.38,2.131,0.546,34931.358,1.261,1.699,1.118,1416.36,2617.959,2.841,54.495,1315.577,2498.277,5.651,34.391,-554.082,-1116107.06,-0.185,-13.238
9,True,0.0001,0.6,750,[0.0005],2804,21.181,4.44,2.152,0.514,32566.518,1.154,1.226,1.087,4873.712,5467.203,8.173,171.934,4785.366,5443.762,1.398,6.843,-1092.671,-1274231.187,-0.364,-15.114
10,True,0.0001,0.95,750,[0.0005],9361,21.032,4.52,2.176,0.013,614.601,1.178,1.242,1.091,32508.271,2844.295,319.311,3136.931,32496.238,2885.032,1.035,0.335,-1730.872,-7657777.516,-0.576,-90.829
11,True,0.0001,0.5,750,[0.0005],9361,20.472,4.42,2.144,0.521,33059.906,1.214,1.423,1.1,3266.846,4368.269,6.062,168.372,3155.766,4270.7,2.149,12.02,-752.528,-1231143.38,-0.251,-14.603
12,True,0.0001,1.0,750,[0.0005],2804,0.003,364030376.48,28.439,0.053,8294.023,0.666,0.638,0.641,32757.892,575.291,29681.361,9485.618,32768.0,0.0,32768.0,0.0,-948791.989,-56427119.033,-315.948,-669.281
13,True,0.0001,0.05,750,[0.0005],6765,18.639,4.48,2.165,0.543,35383.451,1.326,1.65,1.143,1922.265,3271.484,4.514,135.549,1767.546,3036.188,4.707,34.138,-787.219,-1147148.305,-0.262,-13.606
14,True,0.0001,0.3,750,[0.0005],9361,19.688,4.43,2.146,0.538,34144.618,1.245,1.799,1.107,2107.875,3425.514,5.167,139.497,1951.823,3221.525,4.522,21.439,-935.625,-1167818.571,-0.312,-13.851
15,True,0.0001,0.0,750,[0.0005],4872,14.421,4.5,2.169,0.55,35567.545,1.6,2.957,1.19,1631.107,2927.131,4.449,91.021,1464.08,2733.437,4.724,24.996,-981.397,-1130050.206,-0.327,-13.404
16,True,0.0001,0.35,750,[0.0005],4872,18.603,4.47,2.161,0.535,34413.856,1.32,1.984,1.121,2207.699,3313.761,6.044,170.115,2041.667,3136.885,4.55,22.712,-892.779,-1183320.764,-0.297,-14.035
17,True,0.0001,0.05,750,[0.0005],2421,19.55,4.42,2.145,0.548,34781.346,1.254,1.646,1.122,1877.999,3230.899,5.881,148.878,1686.502,3015.314,5.628,35.651,-1020.269,-1139804.92,-0.34,-13.519
18,True,0.0001,0.6,750,[0.0005],4872,18.137,4.54,2.183,0.518,33743.684,1.361,2.319,1.128,4342.708,5123.882,7.682,160.115,4305.79,5145.865,4.471,21.105,-1076.971,-1264952.892,-0.359,-15.004
