,unnormalized,OSL weight,beam,OSL Margin,seed,lr,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,True,0.8,100,0.0001,9361,[0.0005],38.162,2.81,1.489,0.108,2845.044,1.056,1.076,1.036,40814.628,6168.017,55.61,1173.645,40784.589,6258.829,1.009,0.151,-182.831,-1292188.707,-0.091,-27.933
2,True,0.1,100,0.0001,2804,[0.0005],38.023,2.81,1.488,0.324,8561.032,1.064,1.076,1.042,2568.68,3865.772,1.137,2.318,2711.494,4083.459,1.011,0.13,-107.104,-636720.421,-0.054,-13.764
3,True,0.3,100,0.0001,2421,[0.0005],38.285,2.81,1.493,0.3,7884.008,1.052,1.064,1.034,6361.269,6910.626,1.218,3.597,6787.05,7326.494,1.006,0.092,-120.507,-689265.164,-0.06,-14.899
4,True,0.5,100,0.0001,2804,[0.0005],37.9,2.78,1.476,0.254,6647.652,1.063,1.074,1.043,18045.967,12859.973,1.394,8.68,18787.382,13137.777,1.01,0.124,-119.103,-777031.764,-0.06,-16.797
5,True,0.8,100,0.0001,2421,[0.0005],37.829,2.81,1.491,0.114,2971.488,1.067,1.09,1.042,40748.806,6275.839,52.062,1136.924,40734.633,6340.976,1.016,0.265,-185.929,-1257099.229,-0.093,-27.174
6,True,0.85,100,0.0001,2421,[0.0005],38.364,2.8,1.485,0.079,2018.101,1.058,1.081,1.037,41501.977,4242.045,114.431,2123.082,41467.524,4417.551,1.01,0.199,-220.34,-1478217.3,-0.11,-31.954
7,True,0.1,100,0.0001,6765,[0.0005],38.123,2.8,1.485,0.325,8564.07,1.059,1.072,1.036,2517.663,3856.386,1.142,2.467,2659.627,4098.344,1.009,0.118,-112.044,-635540.662,-0.056,-13.738
8,True,0.05,100,0.0001,9361,[0.0005],37.776,2.82,1.496,0.333,8818.22,1.059,1.069,1.036,2160.058,3870.774,1.148,2.491,2276.404,4099.857,1.01,0.122,-107.634,-626096.407,-0.054,-13.534
9,True,0.6,100,0.0001,2804,[0.0005],37.939,2.8,1.486,0.216,5710.109,1.064,1.078,1.042,31004.973,14436.666,1.803,16.512,31674.778,14221.766,1.042,1.288,-130.654,-879026.973,-0.065,-19.001
10,True,0.95,100,0.0001,9361,[0.0005],38.564,2.81,1.488,0.022,500.04,1.053,1.066,1.033,41893.088,2249.433,191.307,2802.954,41849.877,2578.366,1.005,0.095,-354.165,-2227868.809,-0.177,-48.159
11,True,0.5,100,0.0001,9361,[0.0005],37.988,2.81,1.49,0.254,6686.859,1.059,1.071,1.038,18497.003,12996.344,1.388,7.274,19238.619,13242.546,1.01,0.12,-124.588,-782731.219,-0.062,-16.92
12,True,1.0,100,0.0001,2804,[0.0005],33.929,5.09,2.347,0.008,165.364,0.978,0.975,0.967,41987.741,1229.794,3883.842,12118.5,41923.816,2029.326,172.701,2657.221,-13228.715,-4607197.335,-6.614,-99.591
13,True,0.05,100,0.0001,6765,[0.0005],38.038,2.8,1.488,0.33,8706.409,1.062,1.074,1.037,2172.906,3626.221,1.136,2.311,2295.429,3872.519,1.008,0.116,-109.247,-626707.172,-0.055,-13.547
14,True,0.3,100,0.0001,9361,[0.0005],37.912,2.81,1.49,0.301,7897.449,1.06,1.071,1.038,5900.521,6323.302,1.18,3.094,6245.645,6665.29,1.01,0.116,-114.956,-683768.172,-0.057,-14.781
15,True,0.0,100,0.0001,4872,[0.0005],38.186,2.82,1.497,0.336,8912.841,1.054,1.065,1.033,1964.625,3779.335,1.174,2.971,2060.81,3971.216,1.005,0.084,-115.401,-619682.933,-0.058,-13.395
16,True,0.35,100,0.0001,4872,[0.0005],38.217,2.81,1.491,0.291,7665.258,1.056,1.069,1.036,7911.276,7642.341,1.224,4.296,8391.918,8044.583,1.01,0.128,-115.175,-704051.386,-0.058,-15.219
