,seed,unnormalized,beam,lr,OSL Margin,OSL weight,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,9361,True,1000,[0.0005],0.0001,0.8,37.242,2.81,1.489,0.108,2845.044,1.086,1.203,1.043,40814.628,6168.017,55.61,1173.645,40751.549,6347.289,1.063,1.462,-182.831,-1292188.707,-0.091,-27.933
2,2804,True,1000,[0.0005],0.0001,0.1,37.62,2.81,1.488,0.324,8561.032,1.079,1.1,1.048,2568.68,3865.772,1.137,2.318,2729.879,4115.3,1.314,9.454,-107.104,-636720.421,-0.054,-13.764
3,2421,True,1000,[0.0005],0.0001,0.3,37.863,2.81,1.493,0.3,7884.008,1.066,1.075,1.04,6361.269,6910.626,1.218,3.597,6807.776,7332.281,1.015,0.194,-120.507,-689265.164,-0.06,-14.899
4,2804,True,1000,[0.0005],0.0001,0.5,37.457,2.78,1.476,0.254,6647.652,1.079,1.091,1.05,18045.967,12859.973,1.394,8.68,18852.981,13145.626,1.033,0.662,-119.103,-777031.764,-0.06,-16.797
5,2421,True,1000,[0.0005],0.0001,0.8,36.908,2.81,1.491,0.114,2971.488,1.096,1.185,1.053,40748.806,6275.839,52.062,1136.924,40742.906,6316.3,1.298,9.436,-185.929,-1257099.229,-0.093,-27.174
6,2421,True,1000,[0.0005],0.0001,0.85,37.54,2.8,1.485,0.079,2018.101,1.081,1.15,1.045,41501.977,4242.045,114.431,2123.082,41477.707,4363.592,1.041,0.605,-220.34,-1478217.3,-0.11,-31.954
7,6765,True,1000,[0.0005],0.0001,0.1,37.635,2.8,1.485,0.325,8564.07,1.076,1.098,1.043,2517.663,3856.386,1.142,2.467,2668.733,4107.848,1.314,9.394,-112.044,-635540.662,-0.056,-13.738
8,9361,True,1000,[0.0005],0.0001,0.05,37.293,2.82,1.496,0.333,8818.22,1.078,1.109,1.043,2160.058,3870.774,1.148,2.491,2283.443,4104.63,1.434,10.795,-107.634,-626096.407,-0.054,-13.534
9,2804,True,1000,[0.0005],0.0001,0.6,37.42,2.8,1.486,0.216,5710.109,1.083,1.125,1.05,31004.973,14436.666,1.803,16.512,31733.957,14202.535,1.204,4.913,-130.654,-879026.973,-0.065,-19.001
10,9361,True,1000,[0.0005],0.0001,0.95,38.171,2.81,1.488,0.022,500.04,1.066,1.077,1.038,41893.088,2249.433,191.307,2802.954,41856.771,2528.709,1.007,0.105,-354.165,-2227868.809,-0.177,-48.159
11,9361,True,1000,[0.0005],0.0001,0.5,37.604,2.81,1.49,0.254,6686.859,1.077,1.089,1.047,18497.003,12996.344,1.388,7.274,19294.478,13250.183,1.024,0.499,-124.588,-782731.219,-0.062,-16.92
12,2804,True,1000,[0.0005],0.0001,1.0,28.268,5.09,2.347,0.008,165.364,0.968,0.971,0.966,41987.741,1229.794,3883.842,12118.5,40657.16,7425.679,358.166,3836.731,-13228.715,-4607197.335,-6.614,-99.591
13,6765,True,1000,[0.0005],0.0001,0.05,37.45,2.8,1.488,0.33,8706.409,1.082,1.112,1.045,2172.906,3626.221,1.136,2.311,2312.572,3911.928,1.427,10.565,-109.247,-626707.172,-0.055,-13.547
14,9361,True,1000,[0.0005],0.0001,0.3,37.574,2.81,1.49,0.301,7897.449,1.076,1.084,1.046,5900.521,6323.302,1.18,3.094,6264.435,6682.289,1.015,0.167,-114.956,-683768.172,-0.057,-14.781
15,4872,True,1000,[0.0005],0.0001,0.0,37.643,2.82,1.497,0.336,8912.841,1.075,1.103,1.04,1964.625,3779.335,1.174,2.971,2072.251,3985.915,1.377,9.504,-115.401,-619682.933,-0.058,-13.395
16,4872,True,1000,[0.0005],0.0001,0.35,37.668,2.81,1.491,0.291,7665.258,1.075,1.084,1.042,7911.276,7642.341,1.224,4.296,8436.525,8056.541,1.02,0.185,-115.175,-704051.386,-0.058,-15.219
17,2421,True,1000,[0.0005],0.0001,0.05,37.607,2.81,1.489,0.332,8710.061,1.074,1.119,1.043,2142.993,3506.384,1.152,2.514,2275.095,3759.103,1.537,11.864,-114.294,-626183.563,-0.057,-13.536
18,4872,True,1000,[0.0005],0.0001,0.6,37.501,2.81,1.49,0.218,5783.636,1.077,1.092,1.043,30707.647,14466.495,2.086,27.429,31479.99,14240.699,1.112,3.2,-132.629,-873166.841,-0.066,-18.875
19,4872,True,1000,[0.0005],0.0001,0.9,37.532,2.81,1.489,0.051,1254.253,1.083,1.101,1.049,41763.245,3091.494,120.89,2170.577,41705.176,3411.283,1.019,0.246,-256.544,-1737316.809,-0.128,-37.555
20,2421,True,1000,[0.0005],0.0001,0.55,37.446,2.8,1.488,0.236,6226.518,1.073,1.088,1.045,24758.029,14590.115,1.548,10.285,25575.096,14617.32,1.104,3.7,-131.09,-824758.99,-0.066,-17.828
21,4872,True,1000,[0.0005],0.0001,0.1,37.507,2.81,1.492,0.328,8630.896,1.077,1.097,1.043,2515.835,3820.922,1.158,2.853,2669.891,4048.195,1.306,9.053,-110.65,-634044.878,-0.055,-13.706
22,6765,True,1000,[0.0005],0.0001,0.95,38.137,2.8,1.487,0.021,493.635,1.071,1.081,1.045,41904.602,2150.526,190.49,2813.122,41847.048,2617.271,1.012,0.161,-397.75,-2230416.05,-0.199,-48.214
23,9361,True,1000,[0.0005],0.0001,0.35,37.369,2.81,1.492,0.289,7650.034,1.078,1.085,1.048,8149.071,7937.635,1.187,3.386,8685.096,8371.878,1.018,0.179,-112.513,-707977.118,-0.056,-15.304
24,6765,True,1000,[0.0005],0.0001,0.85,37.265,2.8,1.483,0.082,2116.052,1.087,1.116,1.053,41474.99,4353.179,108.66,2100.317,41418.482,4602.653,1.04,0.915,-211.476,-1451611.877,-0.106,-31.379
25,2804,True,1000,[0.0005],0.0001,0.75,36.815,2.8,1.484,0.154,4000.44,1.096,1.129,1.059,39369.81,8979.74,11.632,284.177,39484.345,8869.666,1.14,3.459,-156.837,-1080827.22,-0.078,-23.364
26,4872,True,1000,[0.0005],0.0001,0.65,36.888,2.8,1.484,0.203,5322.663,1.095,1.133,1.053,34219.402,13397.745,2.606,45.142,34760.528,13130.324,1.271,6.85,-127.925,-914522.465,-0.064,-19.769
27,4872,True,1000,[0.0005],0.0001,0.45,37.586,2.81,1.49,0.268,7066.767,1.074,1.083,1.042,14017.345,11014.68,1.336,7.057,14777.319,11388.596,1.02,0.199,-120.168,-752355.791,-0.06,-16.263
28,4872,True,1000,[0.0005],0.0001,0.05,37.539,2.82,1.497,0.332,8790.302,1.075,1.093,1.04,2252.796,3959.328,1.182,3.111,2385.168,4192.208,1.265,8.007,-116.296,-627869.597,-0.058,-13.572
29,6765,True,1000,[0.0005],0.0001,1.0,29.66,5.37,2.426,0.008,147.182,0.944,0.943,0.941,41986.435,1249.596,4336.409,12707.561,41022.638,6385.498,43.562,1328.535,-15180.759,-4717887.646,-7.59,-101.984
30,2421,True,1000,[0.0005],0.0001,0.25,37.689,2.81,1.488,0.309,8075.184,1.071,1.084,1.043,4664.263,5498.199,1.186,3.148,4975.642,5848.446,1.24,10.175,-115.881,-670598.752,-0.058,-14.496
31,2804,True,1000,[0.0005],0.0001,0.85,37.863,2.8,1.485,0.08,2062.784,1.075,1.114,1.045,41545.45,4063.725,115.734,2131.291,41462.877,4427.09,1.034,0.641,-240.142,-1469678.968,-0.12,-31.769
32,2804,True,1000,[0.0005],0.0001,0.8,36.807,2.8,1.485,0.12,3131.93,1.097,1.135,1.059,40620.141,6567.394,48.695,1105.7,40604.947,6625.94,1.176,4.469,-179.892,-1224757.612,-0.09,-26.475
33,6765,True,1000,[0.0005],0.0001,0.55,37.614,2.8,1.484,0.236,6240.757,1.077,1.094,1.043,24535.362,14610.149,1.552,10.997,25393.035,14635.37,1.098,3.007,-129.217,-823891.491,-0.065,-17.81
34,4872,True,1000,[0.0005],0.0001,0.75,37.182,2.81,1.49,0.144,3763.642,1.087,1.162,1.045,39620.2,8593.415,16.321,429.36,39686.823,8557.603,1.106,2.072,-159.584,-1128517.982,-0.08,-24.395
35,2804,True,1000,[0.0005],0.0001,0.0,37.319,2.81,1.489,0.334,8812.239,1.085,1.143,1.048,1940.856,3362.234,1.148,2.504,2050.778,3580.514,1.56,11.124,-108.321,-620385.359,-0.054,-13.411
36,2421,True,1000,[0.0005],0.0001,0.0,37.579,2.82,1.494,0.337,8887.65,1.071,1.122,1.042,1963.697,3840.001,1.176,2.906,2086.588,4095.824,1.746,15.566,-118.136,-618671.549,-0.059,-13.374
37,2804,True,1000,[0.0005],0.0001,0.7,36.788,2.8,1.483,0.181,4747.158,1.097,1.135,1.059,37460.352,11196.015,4.564,102.092,37751.581,10943.724,1.21,5.487,-145.165,-980046.354,-0.073,-21.185
38,9361,True,1000,[0.0005],0.0001,0.2,37.419,2.82,1.495,0.315,8340.943,1.076,1.086,1.043,3800.05,5085.675,1.162,2.72,4051.268,5395.836,1.203,8.453,-108.805,-658830.832,-0.054,-14.242
39,9361,True,1000,[0.0005],0.0001,0.1,37.56,2.82,1.496,0.328,8676.183,1.077,1.097,1.043,2545.849,4149.58,1.15,2.515,2694.744,4387.064,1.307,9.189,-108.029,-635752.814,-0.054,-13.743
40,6765,True,1000,[0.0005],0.0001,0.75,37.606,2.8,1.487,0.144,3790.492,1.077,1.129,1.046,39690.96,8402.956,17.388,380.331,39728.345,8423.708,1.176,4.026,-176.141,-1121056.695,-0.088,-24.233
41,2804,True,1000,[0.0005],0.0001,0.25,37.485,2.78,1.476,0.305,7960.859,1.08,1.098,1.05,4651.142,5486.549,1.16,3.019,4926.559,5787.164,1.255,10.334,-107.221,-670305.539,-0.054,-14.49
42,4872,True,1000,[0.0005],0.0001,0.55,37.591,2.8,1.487,0.237,6272.809,1.075,1.09,1.042,24607.699,14588.402,1.684,17.294,25472.365,14595.753,1.204,6.512,-127.253,-823156.137,-0.064,-17.794
43,9361,True,1000,[0.0005],0.0001,0.65,37.139,2.81,1.489,0.196,5203.288,1.084,1.112,1.048,35116.009,12934.213,2.258,26.901,35593.888,12642.522,1.046,1.061,-134.249,-936295.326,-0.067,-20.239
44,2804,True,1000,[0.0005],0.0001,0.45,37.569,2.8,1.487,0.265,7001.77,1.079,1.091,1.048,14327.292,11194.703,1.284,5.254,15111.207,11562.096,1.021,0.218,-117.019,-756074.965,-0.059,-16.344
45,4872,True,1000,[0.0005],0.0001,0.4,37.713,2.81,1.491,0.281,7382.556,1.074,1.083,1.042,10522.781,9175.801,1.273,5.375,11181.371,9612.598,1.018,0.181,-118.42,-726174.632,-0.059,-15.697
46,4872,True,1000,[0.0005],0.0001,0.8,38.133,2.8,1.487,0.122,3162.028,1.072,1.098,1.037,40628.546,6538.276,47.101,1102.844,40598.953,6629.083,1.044,1.204,-202.049,-1221938.171,-0.101,-26.414
47,2804,True,1000,[0.0005],0.0001,0.9,37.856,2.8,1.484,0.049,1202.079,1.074,1.089,1.048,41781.215,2984.455,121.759,2154.408,41731.213,3275.702,1.02,0.357,-281.867,-1757656.813,-0.141,-37.994
48,6765,True,1000,[0.0005],0.0001,0.3,37.828,2.8,1.485,0.299,7850.292,1.073,1.083,1.042,6037.716,6511.915,1.186,3.246,6423.779,6869.301,1.019,0.197,-115.395,-686641.745,-0.058,-14.843
49,9361,True,1000,[0.0005],0.0001,1.0,32.608,5.09,2.347,0.007,139.216,0.964,0.961,0.955,41988.884,1209.322,4125.802,12397.624,41245.59,5647.147,64.707,1626.718,-13745.959,-4541471.093,-6.873,-98.171
50,6765,True,1000,[0.0005],0.0001,0.5,37.381,2.79,1.478,0.257,6741.792,1.084,1.097,1.05,17184.577,12694.889,1.306,6.454,17996.533,13009.105,1.019,0.202,-114.124,-770028.39,-0.057,-16.645
51,6765,True,1000,[0.0005],0.0001,0.25,37.647,2.8,1.487,0.306,8057.687,1.078,1.09,1.043,4760.796,5621.891,1.164,2.8,5092.203,5969.688,1.255,10.623,-112.178,-671723.02,-0.056,-14.52
52,2804,True,1000,[0.0005],0.0001,0.55,37.474,2.78,1.476,0.239,6260.867,1.081,1.097,1.05,23532.431,14324.995,1.557,13.092,24386.079,14428.392,1.148,5.201,-123.745,-812659.32,-0.062,-17.567
53,2421,True,1000,[0.0005],0.0001,0.2,37.807,2.81,1.493,0.315,8296.6,1.066,1.079,1.04,3911.96,5244.366,1.196,3.189,4196.201,5624.923,1.218,9.169,-119.231,-658946.805,-0.06,-14.244
54,2421,True,1000,[0.0005],0.0001,0.4,37.587,2.8,1.488,0.28,7338.452,1.07,1.083,1.042,10505.382,9207.147,1.253,4.376,11116.22,9630.184,1.014,0.171,-121.937,-726902.854,-0.061,-15.713
55,6765,True,1000,[0.0005],0.0001,0.35,37.705,2.8,1.485,0.29,7610.916,1.075,1.084,1.043,7929.973,7694.593,1.22,3.886,8442.319,8103.285,1.018,0.195,-117.458,-705276.667,-0.059,-15.246
56,6765,True,1000,[0.0005],0.0001,0.6,37.38,2.79,1.478,0.223,5893.117,1.086,1.104,1.052,28734.043,14715.668,1.742,18.354,29488.979,14596.443,1.208,6.044,-123.126,-850451.231,-0.062,-18.384
57,4872,True,1000,[0.0005],0.0001,0.7,36.795,2.8,1.484,0.178,4673.779,1.097,1.158,1.052,37460.683,11330.539,4.64,105.36,37710.795,11131.306,1.168,4.896,-137.075,-991880.988,-0.069,-21.441
58,2804,True,1000,[0.0005],0.0001,0.2,37.524,2.81,1.488,0.313,8236.959,1.081,1.093,1.048,3901.823,4902.445,1.178,3.036,4162.905,5221.661,1.199,8.074,-111.331,-660070.652,-0.056,-14.268
