,seed,OSL weight,lr,beam,OSL Margin,unnormalized,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,9361,0.8,[0.0005],250,0.0001,True,37.787,2.81,1.489,0.108,2845.044,1.067,1.112,1.038,40814.628,6168.017,55.61,1173.645,40759.755,6327.425,1.013,0.178,-182.831,-1292188.707,-0.091,-27.933
2,2804,0.1,[0.0005],250,0.0001,True,37.887,2.81,1.488,0.324,8561.032,1.07,1.08,1.044,2568.68,3865.772,1.137,2.318,2720.544,4101.015,1.014,0.154,-107.104,-636720.421,-0.054,-13.764
3,2421,0.3,[0.0005],250,0.0001,True,38.142,2.81,1.493,0.3,7884.008,1.058,1.068,1.036,6361.269,6910.626,1.218,3.597,6794.346,7326.986,1.007,0.095,-120.507,-689265.164,-0.06,-14.899
4,2804,0.5,[0.0005],250,0.0001,True,37.681,2.78,1.476,0.254,6647.652,1.071,1.084,1.048,18045.967,12859.973,1.394,8.68,18822.194,13138.165,1.01,0.132,-119.103,-777031.764,-0.06,-16.797
5,2421,0.8,[0.0005],250,0.0001,True,37.474,2.81,1.491,0.114,2971.488,1.078,1.105,1.048,40748.806,6275.839,52.062,1136.924,40727.704,6358.915,1.024,0.397,-185.929,-1257099.229,-0.093,-27.174
6,2421,0.85,[0.0005],250,0.0001,True,37.973,2.8,1.485,0.079,2018.101,1.066,1.089,1.038,41501.977,4242.045,114.431,2123.082,41475.77,4377.623,1.026,0.553,-220.34,-1478217.3,-0.11,-31.954
7,6765,0.1,[0.0005],250,0.0001,True,37.9,2.8,1.485,0.325,8564.07,1.068,1.079,1.04,2517.663,3856.386,1.142,2.467,2661.474,4091.715,1.01,0.122,-112.044,-635540.662,-0.056,-13.738
8,9361,0.05,[0.0005],250,0.0001,True,37.603,2.82,1.496,0.333,8818.22,1.066,1.075,1.04,2160.058,3870.774,1.148,2.491,2274.961,4092.694,1.012,0.132,-107.634,-626096.407,-0.054,-13.534
9,2804,0.6,[0.0005],250,0.0001,True,37.666,2.8,1.486,0.216,5710.109,1.072,1.096,1.045,31004.973,14436.666,1.803,16.512,31698.605,14209.657,1.062,1.594,-130.654,-879026.973,-0.065,-19.001
10,9361,0.95,[0.0005],250,0.0001,True,38.391,2.81,1.488,0.022,500.04,1.059,1.071,1.036,41893.088,2249.433,191.307,2802.954,41852.154,2565.181,1.006,0.097,-354.165,-2227868.809,-0.177,-48.159
11,9361,0.5,[0.0005],250,0.0001,True,37.79,2.81,1.49,0.254,6686.859,1.068,1.078,1.043,18497.003,12996.344,1.388,7.274,19272.536,13246.923,1.01,0.126,-124.588,-782731.219,-0.062,-16.92
12,2804,1.0,[0.0005],250,0.0001,True,33.196,5.09,2.347,0.008,165.364,0.976,0.976,0.971,41987.741,1229.794,3883.842,12118.5,41847.192,2705.786,361.037,3830.076,-13228.715,-4607197.335,-6.614,-99.591
13,6765,0.05,[0.0005],250,0.0001,True,37.771,2.8,1.488,0.33,8706.409,1.07,1.081,1.04,2172.906,3626.221,1.136,2.311,2295.818,3863.521,1.011,0.134,-109.247,-626707.172,-0.055,-13.547
14,9361,0.3,[0.0005],250,0.0001,True,37.747,2.81,1.49,0.301,7897.449,1.068,1.078,1.042,5900.521,6323.302,1.18,3.094,6247.835,6665.337,1.01,0.122,-114.956,-683768.172,-0.057,-14.781
15,4872,0.0,[0.0005],250,0.0001,True,38.018,2.82,1.497,0.336,8912.841,1.062,1.072,1.037,1964.625,3779.335,1.174,2.971,2066.069,3973.191,1.009,0.134,-115.401,-619682.933,-0.058,-13.395
16,4872,0.35,[0.0005],250,0.0001,True,37.94,2.81,1.491,0.291,7665.258,1.064,1.076,1.038,7911.276,7642.341,1.224,4.296,8413.566,8040.22,1.013,0.141,-115.175,-704051.386,-0.058,-15.219
17,2421,0.05,[0.0005],250,0.0001,True,37.949,2.81,1.489,0.332,8710.061,1.061,1.073,1.038,2142.993,3506.384,1.152,2.514,2275.921,3779.046,1.008,0.112,-114.294,-626183.563,-0.057,-13.536
18,4872,0.6,[0.0005],250,0.0001,True,37.868,2.81,1.49,0.218,5783.636,1.066,1.081,1.038,30707.647,14466.495,2.086,27.429,31438.818,14246.692,1.031,0.969,-132.629,-873166.841,-0.066,-18.875
19,4872,0.9,[0.0005],250,0.0001,True,37.929,2.81,1.489,0.051,1254.253,1.071,1.087,1.043,41763.245,3091.494,120.89,2170.577,41711.24,3377.881,1.013,0.207,-256.544,-1737316.809,-0.128,-37.555
20,2421,0.55,[0.0005],250,0.0001,True,37.744,2.8,1.488,0.236,6226.518,1.063,1.078,1.04,24758.029,14590.115,1.548,10.285,25536.108,14633.862,1.008,0.112,-131.09,-824758.99,-0.066,-17.828
21,4872,0.1,[0.0005],250,0.0001,True,37.874,2.81,1.492,0.328,8630.896,1.064,1.076,1.038,2515.835,3820.922,1.158,2.853,2658.937,4034.939,1.012,0.128,-110.65,-634044.878,-0.055,-13.706
22,6765,0.95,[0.0005],250,0.0001,True,38.355,2.8,1.487,0.021,493.635,1.065,1.076,1.042,41904.602,2150.526,190.49,2813.122,41849.09,2601.605,1.006,0.092,-397.75,-2230416.05,-0.199,-48.214
23,9361,0.35,[0.0005],250,0.0001,True,37.623,2.81,1.492,0.289,7650.034,1.069,1.078,1.043,8149.071,7937.635,1.187,3.386,8673.101,8369.425,1.01,0.136,-112.513,-707977.118,-0.056,-15.304
24,6765,0.85,[0.0005],250,0.0001,True,37.679,2.8,1.483,0.082,2116.052,1.076,1.097,1.049,41474.99,4353.179,108.66,2100.317,41412.999,4624.85,1.03,0.821,-211.476,-1451611.877,-0.106,-31.379
25,2804,0.75,[0.0005],250,0.0001,True,37.299,2.8,1.484,0.154,4000.44,1.084,1.106,1.055,39369.81,8979.74,11.632,284.177,39480.563,8876.944,1.03,0.701,-156.837,-1080827.22,-0.078,-23.364
26,4872,0.65,[0.0005],250,0.0001,True,37.327,2.8,1.484,0.203,5322.663,1.081,1.099,1.05,34219.402,13397.745,2.606,45.142,34742.627,13125.645,1.068,1.867,-127.925,-914522.465,-0.064,-19.769
27,4872,0.45,[0.0005],250,0.0001,True,37.847,2.81,1.49,0.268,7066.767,1.064,1.076,1.037,14017.345,11014.68,1.336,7.057,14747.823,11385.287,1.012,0.135,-120.168,-752355.791,-0.06,-16.263
28,4872,0.05,[0.0005],250,0.0001,True,37.891,2.82,1.497,0.332,8790.302,1.063,1.072,1.037,2252.796,3959.328,1.182,3.111,2374.35,4171.899,1.01,0.136,-116.296,-627869.597,-0.058,-13.572
29,6765,1.0,[0.0005],250,0.0001,True,33.523,5.37,2.426,0.008,147.182,0.961,0.953,0.947,41986.435,1249.596,4336.409,12707.561,41891.991,2340.032,22.526,939.652,-15180.759,-4717887.646,-7.59,-101.984
30,2421,0.25,[0.0005],250,0.0001,True,37.868,2.81,1.488,0.309,8075.184,1.062,1.073,1.04,4664.263,5498.199,1.186,3.148,4967.051,5849.154,1.007,0.109,-115.881,-670598.752,-0.058,-14.496
31,2804,0.85,[0.0005],250,0.0001,True,38.189,2.8,1.485,0.08,2062.784,1.063,1.083,1.039,41545.45,4063.725,115.734,2131.291,41470.683,4398.773,1.027,0.622,-240.142,-1469678.968,-0.12,-31.769
32,2804,0.8,[0.0005],250,0.0001,True,37.235,2.8,1.485,0.12,3131.93,1.085,1.109,1.056,40620.141,6567.394,48.695,1105.7,40607.262,6619.209,1.032,0.847,-179.892,-1224757.612,-0.09,-26.475
33,6765,0.55,[0.0005],250,0.0001,True,37.869,2.8,1.484,0.236,6240.757,1.068,1.082,1.04,24535.362,14610.149,1.552,10.997,25351.333,14645.47,1.01,0.155,-129.217,-823891.491,-0.065,-17.81
34,4872,0.75,[0.0005],250,0.0001,True,37.669,2.81,1.49,0.144,3763.642,1.072,1.097,1.04,39620.2,8593.415,16.321,429.36,39694.922,8538.808,1.028,0.442,-159.584,-1128517.982,-0.08,-24.395
35,2804,0.0,[0.0005],250,0.0001,True,37.823,2.81,1.489,0.334,8812.239,1.071,1.081,1.043,1940.856,3362.234,1.148,2.504,2043.312,3567.531,1.012,0.143,-108.321,-620385.359,-0.054,-13.411
36,2421,0.0,[0.0005],250,0.0001,True,37.975,2.82,1.494,0.337,8887.65,1.059,1.069,1.037,1963.697,3840.001,1.176,2.906,2090.605,4123.936,1.006,0.086,-118.136,-618671.549,-0.059,-13.374
37,2804,0.7,[0.0005],250,0.0001,True,37.326,2.8,1.483,0.181,4747.158,1.083,1.104,1.055,37460.352,11196.015,4.564,102.092,37744.953,10952.631,1.01,0.155,-145.165,-980046.354,-0.073,-21.185
38,9361,0.2,[0.0005],250,0.0001,True,37.643,2.82,1.495,0.315,8340.943,1.066,1.074,1.04,3800.05,5085.675,1.162,2.72,4043.281,5392.575,1.01,0.126,-108.805,-658830.832,-0.054,-14.242
39,9361,0.1,[0.0005],250,0.0001,True,37.837,2.82,1.496,0.328,8676.183,1.066,1.074,1.04,2545.849,4149.58,1.15,2.515,2686.354,4374.258,1.011,0.13,-108.029,-635752.814,-0.054,-13.743
40,6765,0.75,[0.0005],250,0.0001,True,37.932,2.8,1.487,0.144,3790.492,1.065,1.093,1.042,39690.96,8402.956,17.388,380.331,39709.694,8454.288,1.046,1.177,-176.141,-1121056.695,-0.088,-24.233
41,2804,0.25,[0.0005],250,0.0001,True,37.741,2.78,1.476,0.305,7960.859,1.069,1.081,1.048,4651.142,5486.549,1.16,3.019,4909.924,5777.648,1.012,0.146,-107.221,-670305.539,-0.054,-14.49
42,4872,0.55,[0.0005],250,0.0001,True,37.883,2.8,1.487,0.237,6272.809,1.066,1.076,1.037,24607.699,14588.402,1.684,17.294,25440.439,14598.763,1.014,0.154,-127.253,-823156.137,-0.064,-17.794
43,9361,0.65,[0.0005],250,0.0001,True,37.423,2.81,1.489,0.196,5203.288,1.074,1.089,1.043,35116.009,12934.213,2.258,26.901,35589.794,12639.405,1.036,1.027,-134.249,-936295.326,-0.067,-20.239
