,seed,unnormalized,OSL weight,lr,OSL Margin,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,9361,True,0.8,[0.0005],0.0001,5,38.934,2.81,1.489,0.108,2845.044,1.022,1.037,1.0,40814.628,6168.017,55.61,1173.645,40793.079,6242.343,1.002,0.045,-182.831,-1292188.707,-0.091,-27.933
2,2804,True,0.1,[0.0005],0.0001,5,38.596,2.81,1.488,0.324,8561.032,1.027,1.042,1.0,2568.68,3865.772,1.137,2.318,2707.318,4092.593,1.005,0.077,-107.104,-636720.421,-0.054,-13.764
3,2421,True,0.3,[0.0005],0.0001,5,38.771,2.81,1.493,0.3,7884.008,1.02,1.035,1.0,6361.269,6910.626,1.218,3.597,6775.498,7361.006,1.003,0.063,-120.507,-689265.164,-0.06,-14.899
4,2804,True,0.5,[0.0005],0.0001,5,38.926,2.78,1.476,0.254,6647.652,1.027,1.042,1.0,18045.967,12859.973,1.394,8.68,18766.806,13183.742,1.002,0.05,-119.103,-777031.764,-0.06,-16.797
5,2421,True,0.8,[0.0005],0.0001,5,38.782,2.81,1.491,0.114,2971.488,1.027,1.043,1.0,40748.806,6275.839,52.062,1136.924,40773.803,6245.184,1.002,0.05,-185.929,-1257099.229,-0.093,-27.174
6,2421,True,0.85,[0.0005],0.0001,5,38.879,2.8,1.485,0.079,2018.101,1.024,1.039,1.0,41501.977,4242.045,114.431,2123.082,41484.091,4352.105,1.002,0.05,-220.34,-1478217.3,-0.11,-31.954
7,6765,True,0.1,[0.0005],0.0001,5,39.021,2.8,1.485,0.325,8564.07,1.022,1.037,1.0,2517.663,3856.386,1.142,2.467,2641.258,4071.536,1.002,0.05,-112.044,-635540.662,-0.056,-13.738
8,9361,True,0.05,[0.0005],0.0001,5,38.621,2.82,1.496,0.333,8818.22,1.022,1.037,1.0,2160.058,3870.774,1.148,2.491,2258.638,4080.109,1.004,0.074,-107.634,-626096.407,-0.054,-13.534
9,2804,True,0.6,[0.0005],0.0001,5,38.65,2.8,1.486,0.216,5710.109,1.027,1.042,1.0,31004.973,14436.666,1.803,16.512,31593.549,14236.1,1.004,0.067,-130.654,-879026.973,-0.065,-19.001
10,9361,True,0.95,[0.0005],0.0001,5,39.228,2.81,1.488,0.022,500.04,1.022,1.038,1.0,41893.088,2249.433,191.307,2802.954,41857.608,2530.162,1.001,0.032,-354.165,-2227868.809,-0.177,-48.159
11,9361,True,0.5,[0.0005],0.0001,5,38.698,2.81,1.49,0.254,6686.859,1.026,1.04,1.0,18497.003,12996.344,1.388,7.274,19178.977,13265.248,1.002,0.05,-124.588,-782731.219,-0.062,-16.92
12,2804,True,1.0,[0.0005],0.0001,5,29.653,5.09,2.347,0.008,165.364,0.941,0.942,0.938,41987.741,1229.794,3883.842,12118.5,41867.876,2549.814,106.192,2099.04,-13228.715,-4607197.335,-6.614,-99.591
13,6765,True,0.05,[0.0005],0.0001,5,38.703,2.8,1.488,0.33,8706.409,1.024,1.04,1.0,2172.906,3626.221,1.136,2.311,2288.338,3875.779,1.002,0.05,-109.247,-626707.172,-0.055,-13.547
14,9361,True,0.3,[0.0005],0.0001,5,38.652,2.81,1.49,0.301,7897.449,1.024,1.038,1.0,5900.521,6323.302,1.18,3.094,6201.806,6645.733,1.004,0.059,-114.956,-683768.172,-0.057,-14.781
15,4872,True,0.0,[0.0005],0.0001,5,38.772,2.82,1.497,0.336,8912.841,1.02,1.035,1.0,1964.625,3779.335,1.174,2.971,2064.527,3996.16,1.004,0.084,-115.401,-619682.933,-0.058,-13.395
