,seed,lr,beam,unnormalized,OSL weight,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,9361,[0.0005],500,True,0.8,0.0001,37.598,2.81,1.489,0.108,2845.044,1.075,1.132,1.042,40814.628,6168.017,55.61,1173.645,40761.095,6321.746,1.018,0.254,-182.831,-1292188.707,-0.091,-27.933
2,2804,[0.0005],500,True,0.1,0.0001,37.778,2.81,1.488,0.324,8561.032,1.075,1.089,1.047,2568.68,3865.772,1.137,2.318,2722.094,4100.145,1.144,5.771,-107.104,-636720.421,-0.054,-13.764
3,2421,[0.0005],500,True,0.3,0.0001,37.946,2.81,1.493,0.3,7884.008,1.062,1.071,1.038,6361.269,6910.626,1.218,3.597,6804.215,7336.773,1.012,0.164,-120.507,-689265.164,-0.06,-14.899
4,2804,[0.0005],500,True,0.5,0.0001,37.583,2.78,1.476,0.254,6647.652,1.075,1.088,1.05,18045.967,12859.973,1.394,8.68,18841.996,13136.489,1.016,0.196,-119.103,-777031.764,-0.06,-16.797
5,2421,[0.0005],500,True,0.8,0.0001,37.191,2.81,1.491,0.114,2971.488,1.086,1.141,1.05,40748.806,6275.839,52.062,1136.924,40732.366,6343.627,1.084,1.944,-185.929,-1257099.229,-0.093,-27.174
6,2421,[0.0005],500,True,0.85,0.0001,37.784,2.8,1.485,0.079,2018.101,1.073,1.12,1.042,41501.977,4242.045,114.431,2123.082,41484.149,4340.88,1.036,0.591,-220.34,-1478217.3,-0.11,-31.954
7,6765,[0.0005],500,True,0.1,0.0001,37.767,2.8,1.485,0.325,8564.07,1.071,1.081,1.043,2517.663,3856.386,1.142,2.467,2667.06,4102.092,1.014,0.159,-112.044,-635540.662,-0.056,-13.738
8,9361,[0.0005],500,True,0.05,0.0001,37.487,2.82,1.496,0.333,8818.22,1.071,1.083,1.043,2160.058,3870.774,1.148,2.491,2281.195,4104.61,1.132,5.301,-107.634,-626096.407,-0.054,-13.534
9,2804,[0.0005],500,True,0.6,0.0001,37.605,2.8,1.486,0.216,5710.109,1.078,1.103,1.048,31004.973,14436.666,1.803,16.512,31720.556,14204.28,1.074,1.641,-130.654,-879026.973,-0.065,-19.001
10,9361,[0.0005],500,True,0.95,0.0001,38.21,2.81,1.488,0.022,500.04,1.064,1.075,1.038,41893.088,2249.433,191.307,2802.954,41851.7,2567.848,1.006,0.102,-354.165,-2227868.809,-0.177,-48.159
11,9361,[0.0005],500,True,0.5,0.0001,37.642,2.81,1.49,0.254,6686.859,1.074,1.086,1.045,18497.003,12996.344,1.388,7.274,19281.554,13248.317,1.015,0.242,-124.588,-782731.219,-0.062,-16.92
12,2804,[0.0005],500,True,1.0,0.0001,31.33,5.09,2.347,0.008,165.364,0.971,0.974,0.97,41987.741,1229.794,3883.842,12118.5,41453.986,4832.586,471.039,4374.533,-13228.715,-4607197.335,-6.614,-99.591
13,6765,[0.0005],500,True,0.05,0.0001,37.616,2.8,1.488,0.33,8706.409,1.075,1.09,1.043,2172.906,3626.221,1.136,2.311,2302.5,3876.693,1.144,5.882,-109.247,-626707.172,-0.055,-13.547
14,9361,[0.0005],500,True,0.3,0.0001,37.638,2.81,1.49,0.301,7897.449,1.073,1.081,1.044,5900.521,6323.302,1.18,3.094,6253.247,6665.302,1.012,0.132,-114.956,-683768.172,-0.057,-14.781
15,4872,[0.0005],500,True,0.0,0.0001,37.871,2.82,1.497,0.336,8912.841,1.069,1.081,1.038,1964.625,3779.335,1.174,2.971,2070.854,3977.82,1.111,4.452,-115.401,-619682.933,-0.058,-13.395
16,4872,[0.0005],500,True,0.35,0.0001,37.801,2.81,1.491,0.291,7665.258,1.071,1.081,1.04,7911.276,7642.341,1.224,4.296,8426.462,8047.888,1.018,0.182,-115.175,-704051.386,-0.058,-15.219
17,2421,[0.0005],500,True,0.05,0.0001,37.868,2.81,1.489,0.332,8710.061,1.066,1.081,1.042,2142.993,3506.384,1.152,2.514,2269.903,3752.53,1.138,5.703,-114.294,-626183.563,-0.057,-13.536
18,4872,[0.0005],500,True,0.6,0.0001,37.709,2.81,1.49,0.218,5783.636,1.072,1.089,1.041,30707.647,14466.495,2.086,27.429,31459.286,14247.275,1.1,3.192,-132.629,-873166.841,-0.066,-18.875
19,4872,[0.0005],500,True,0.9,0.0001,37.727,2.81,1.489,0.051,1254.253,1.077,1.091,1.047,41763.245,3091.494,120.89,2170.577,41709.584,3386.484,1.016,0.228,-256.544,-1737316.809,-0.128,-37.555
20,2421,[0.0005],500,True,0.55,0.0001,37.512,2.8,1.488,0.236,6226.518,1.069,1.082,1.043,24758.029,14590.115,1.548,10.285,25561.682,14627.368,1.021,0.495,-131.09,-824758.99,-0.066,-17.828
21,4872,[0.0005],500,True,0.1,0.0001,37.688,2.81,1.492,0.328,8630.896,1.072,1.086,1.042,2515.835,3820.922,1.158,2.853,2663.747,4035.454,1.154,6.107,-110.65,-634044.878,-0.055,-13.706
22,6765,[0.0005],500,True,0.95,0.0001,38.246,2.8,1.487,0.021,493.635,1.068,1.079,1.043,41904.602,2150.526,190.49,2813.122,41849.512,2598.011,1.008,0.097,-397.75,-2230416.05,-0.199,-48.214
23,9361,[0.0005],500,True,0.35,0.0001,37.515,2.81,1.492,0.289,7650.034,1.073,1.082,1.046,8149.071,7937.635,1.187,3.386,8679.363,8370.547,1.012,0.141,-112.513,-707977.118,-0.056,-15.304
24,6765,[0.0005],500,True,0.85,0.0001,37.476,2.8,1.483,0.082,2116.052,1.082,1.11,1.05,41474.99,4353.179,108.66,2100.317,41412.219,4625.163,1.03,0.821,-211.476,-1451611.877,-0.106,-31.379
25,2804,[0.0005],500,True,0.75,0.0001,37.047,2.8,1.484,0.154,4000.44,1.091,1.117,1.057,39369.81,8979.74,11.632,284.177,39472.737,8891.578,1.093,2.731,-156.837,-1080827.22,-0.078,-23.364
26,4872,[0.0005],500,True,0.65,0.0001,37.171,2.8,1.484,0.203,5322.663,1.087,1.103,1.05,34219.402,13397.745,2.606,45.142,34759.098,13115.837,1.071,1.869,-127.925,-914522.465,-0.064,-19.769
27,4872,[0.0005],500,True,0.45,0.0001,37.729,2.81,1.49,0.268,7066.767,1.07,1.08,1.04,14017.345,11014.68,1.336,7.057,14760.833,11386.954,1.016,0.174,-120.168,-752355.791,-0.06,-16.263
28,4872,[0.0005],500,True,0.05,0.0001,37.718,2.82,1.497,0.332,8790.302,1.07,1.081,1.038,2252.796,3959.328,1.182,3.111,2384.028,4192.202,1.123,4.966,-116.296,-627869.597,-0.058,-13.572
29,6765,[0.0005],500,True,1.0,0.0001,32.623,5.37,2.426,0.008,147.182,0.958,0.952,0.947,41986.435,1249.596,4336.409,12707.561,41745.429,3393.556,17.451,709.608,-15180.759,-4717887.646,-7.59,-101.984
30,2421,[0.0005],500,True,0.25,0.0001,37.799,2.81,1.488,0.309,8075.184,1.066,1.076,1.042,4664.263,5498.199,1.186,3.148,4972.143,5847.445,1.01,0.128,-115.881,-670598.752,-0.058,-14.496
31,2804,[0.0005],500,True,0.85,0.0001,38.051,2.8,1.485,0.08,2062.784,1.069,1.089,1.043,41545.45,4063.725,115.734,2131.291,41465.965,4413.445,1.027,0.609,-240.142,-1469678.968,-0.12,-31.769
32,2804,[0.0005],500,True,0.8,0.0001,37.048,2.8,1.485,0.12,3131.93,1.09,1.113,1.059,40620.141,6567.394,48.695,1105.7,40601.032,6637.361,1.091,2.583,-179.892,-1224757.612,-0.09,-26.475
33,6765,[0.0005],500,True,0.55,0.0001,37.764,2.8,1.484,0.236,6240.757,1.072,1.089,1.043,24535.362,14610.149,1.552,10.997,25394.218,14635.852,1.08,2.935,-129.217,-823891.491,-0.065,-17.81
34,4872,[0.0005],500,True,0.75,0.0001,37.407,2.81,1.49,0.144,3763.642,1.079,1.122,1.043,39620.2,8593.415,16.321,429.36,39687.852,8553.795,1.058,1.153,-159.584,-1128517.982,-0.08,-24.395
35,2804,[0.0005],500,True,0.0,0.0001,37.646,2.81,1.489,0.334,8812.239,1.077,1.09,1.046,1940.856,3362.234,1.148,2.504,2050.788,3583.663,1.116,4.52,-108.321,-620385.359,-0.054,-13.411
36,2421,[0.0005],500,True,0.0,0.0001,37.791,2.82,1.494,0.337,8887.65,1.063,1.077,1.038,1963.697,3840.001,1.176,2.906,2096.808,4141.875,1.127,5.3,-118.136,-618671.549,-0.059,-13.374
37,2804,[0.0005],500,True,0.7,0.0001,37.096,2.8,1.483,0.181,4747.158,1.09,1.115,1.056,37460.352,11196.015,4.564,102.092,37745.365,10950.489,1.039,1.048,-145.165,-980046.354,-0.073,-21.185
38,9361,[0.0005],500,True,0.2,0.0001,37.569,2.82,1.495,0.315,8340.943,1.07,1.078,1.043,3800.05,5085.675,1.162,2.72,4048.358,5399.693,1.012,0.136,-108.805,-658830.832,-0.054,-14.242
39,9361,[0.0005],500,True,0.1,0.0001,37.712,2.82,1.496,0.328,8676.183,1.071,1.083,1.043,2545.849,4149.58,1.15,2.515,2693.546,4389.937,1.148,6.061,-108.029,-635752.814,-0.054,-13.743
40,6765,[0.0005],500,True,0.75,0.0001,37.739,2.8,1.487,0.144,3790.492,1.072,1.112,1.043,39690.96,8402.956,17.388,380.331,39716.093,8446.979,1.05,1.182,-176.141,-1121056.695,-0.088,-24.233
41,2804,[0.0005],500,True,0.25,0.0001,37.638,2.78,1.476,0.305,7960.859,1.075,1.086,1.05,4651.142,5486.549,1.16,3.019,4923.326,5786.007,1.02,0.252,-107.221,-670305.539,-0.054,-14.49
42,4872,[0.0005],500,True,0.55,0.0001,37.658,2.8,1.487,0.237,6272.809,1.072,1.088,1.04,24607.699,14588.402,1.684,17.294,25473.326,14593.805,1.068,2.332,-127.253,-823156.137,-0.064,-17.794
43,9361,[0.0005],500,True,0.65,0.0001,37.336,2.81,1.489,0.196,5203.288,1.079,1.094,1.047,35116.009,12934.213,2.258,26.901,35597.293,12638.238,1.038,1.028,-134.249,-936295.326,-0.067,-20.239
44,2804,[0.0005],500,True,0.45,0.0001,37.704,2.8,1.487,0.265,7001.77,1.074,1.084,1.048,14327.292,11194.703,1.284,5.254,15093.511,11561.394,1.014,0.162,-117.019,-756074.965,-0.059,-16.344
45,4872,[0.0005],500,True,0.4,0.0001,37.837,2.81,1.491,0.281,7382.556,1.07,1.08,1.041,10522.781,9175.801,1.273,5.375,11171.038,9608.282,1.017,0.178,-118.42,-726174.632,-0.059,-15.697
46,4872,[0.0005],500,True,0.8,0.0001,38.374,2.8,1.487,0.122,3162.028,1.064,1.085,1.036,40628.546,6538.276,47.101,1102.844,40610.932,6599.195,1.036,1.193,-202.049,-1221938.171,-0.101,-26.414
47,2804,[0.0005],500,True,0.9,0.0001,37.97,2.8,1.484,0.049,1202.079,1.071,1.087,1.045,41781.215,2984.455,121.759,2154.408,41729.167,3288.139,1.019,0.356,-281.867,-1757656.813,-0.141,-37.994
48,6765,[0.0005],500,True,0.3,0.0001,37.873,2.8,1.485,0.299,7850.292,1.07,1.081,1.042,6037.716,6511.915,1.186,3.246,6422.493,6866.161,1.016,0.174,-115.395,-686641.745,-0.058,-14.843
49,9361,[0.0005],500,True,1.0,0.0001,34.145,5.09,2.347,0.007,139.216,0.969,0.964,0.957,41988.884,1209.322,4125.802,12397.624,41800.118,3040.98,85.772,1877.936,-13745.959,-4541471.093,-6.873,-98.171
50,6765,[0.0005],500,True,0.5,0.0001,37.538,2.79,1.478,0.257,6741.792,1.08,1.095,1.05,17184.577,12694.889,1.306,6.454,17967.705,13005.96,1.017,0.197,-114.124,-770028.39,-0.057,-16.645
51,6765,[0.0005],500,True,0.25,0.0001,37.722,2.8,1.487,0.306,8057.687,1.073,1.082,1.043,4760.796,5621.891,1.164,2.8,5084.102,5955.158,1.013,0.141,-112.178,-671723.02,-0.056,-14.52
52,2804,[0.0005],500,True,0.55,0.0001,37.638,2.78,1.476,0.239,6260.867,1.077,1.09,1.05,23532.431,14324.995,1.557,13.092,24363.5,14423.366,1.016,0.217,-123.745,-812659.32,-0.062,-17.567
53,2421,[0.0005],500,True,0.2,0.0001,37.867,2.81,1.493,0.315,8296.6,1.062,1.071,1.038,3911.96,5244.366,1.196,3.189,4198.369,5639.136,1.01,0.12,-119.231,-658946.805,-0.06,-14.244
54,2421,[0.0005],500,True,0.4,0.0001,37.662,2.8,1.488,0.28,7338.452,1.067,1.077,1.042,10505.382,9207.147,1.253,4.376,11109.761,9628.58,1.012,0.153,-121.937,-726902.854,-0.061,-15.713
55,6765,[0.0005],500,True,0.35,0.0001,37.787,2.8,1.485,0.29,7610.916,1.071,1.082,1.043,7929.973,7694.593,1.22,3.886,8431.982,8093.312,1.016,0.171,-117.458,-705276.667,-0.059,-15.246
56,6765,[0.0005],500,True,0.6,0.0001,37.576,2.79,1.478,0.223,5893.117,1.081,1.099,1.05,28734.043,14715.668,1.742,18.354,29467.721,14591.252,1.097,3.694,-123.126,-850451.231,-0.062,-18.384
57,4872,[0.0005],500,True,0.7,0.0001,37.147,2.8,1.484,0.178,4673.779,1.088,1.113,1.05,37460.683,11330.539,4.64,105.36,37717.772,11117.575,1.052,1.277,-137.075,-991880.988,-0.069,-21.441
58,2804,[0.0005],500,True,0.2,0.0001,37.689,2.81,1.488,0.313,8236.959,1.076,1.085,1.048,3901.823,4902.445,1.178,3.036,4160.778,5221.518,1.014,0.149,-111.331,-660070.652,-0.056,-14.268
59,4872,[0.0005],500,True,0.3,0.0001,37.816,2.81,1.491,0.301,7907.629,1.07,1.08,1.041,6039.013,6459.041,1.202,3.829,6448.516,6841.103,1.018,0.179,-114.331,-685618.985,-0.057,-14.821
60,2421,[0.0005],500,True,0.5,0.0001,37.7,2.81,1.489,0.253,6668.354,1.065,1.078,1.038,18777.765,13107.559,1.433,7.892,19630.375,13369.643,1.01,0.128,-131.961,-785074.943,-0.066,-16.971
61,2421,[0.0005],500,True,0.6,0.0001,37.956,2.8,1.484,0.217,5744.11,1.066,1.082,1.04,30468.781,14439.032,1.887,17.501,31155.373,14249.085,1.048,1.686,-136.879,-871110.993,-0.068,-18.83
62,9361,[0.0005],500,True,0.7,0.0001,37.424,2.81,1.491,0.171,4503.003,1.079,1.125,1.048,38045.517,10726.376,4.822,88.82,38234.887,10558.658,1.032,0.651,-151.729,-1020802.595,-0.076,-22.066
63,4872,[0.0005],500,True,0.5,0.0001,37.87,2.81,1.49,0.254,6699.073,1.071,1.08,1.04,18784.904,13129.883,1.44,9.664,19660.132,13387.989,1.016,0.18,-123.057,-784118.886,-0.062,-16.95
64,2421,[0.0005],500,True,0.15,0.0001,37.855,2.81,1.493,0.321,8467.719,1.061,1.071,1.038,3179.428,4728.504,1.189,3.086,3404.211,5069.503,1.011,0.158,-118.491,-646779.884,-0.059,-13.981
