,beam,lr,OSL Margin,seed,OSL weight,unnormalized,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,750,[0.0005],0.0001,9361,0.8,True,37.469,2.81,1.489,0.108,2845.044,1.079,1.153,1.043,40814.628,6168.017,55.61,1173.645,40752.094,6346.626,1.028,0.38,-182.831,-1292188.707,-0.091,-27.933
2,750,[0.0005],0.0001,2804,0.1,True,37.698,2.81,1.488,0.324,8561.032,1.077,1.091,1.048,2568.68,3865.772,1.137,2.318,2728.622,4111.77,1.145,5.771,-107.104,-636720.421,-0.054,-13.764
3,750,[0.0005],0.0001,2421,0.3,True,37.93,2.81,1.493,0.3,7884.008,1.064,1.073,1.04,6361.269,6910.626,1.218,3.597,6808.069,7337.025,1.014,0.173,-120.507,-689265.164,-0.06,-14.899
4,750,[0.0005],0.0001,2804,0.5,True,37.563,2.78,1.476,0.254,6647.652,1.076,1.089,1.05,18045.967,12859.973,1.394,8.68,18842.107,13140.37,1.019,0.216,-119.103,-777031.764,-0.06,-16.797
5,750,[0.0005],0.0001,2421,0.8,True,37.087,2.81,1.491,0.114,2971.488,1.09,1.153,1.052,40748.806,6275.839,52.062,1136.924,40754.268,6286.404,1.084,1.944,-185.929,-1257099.229,-0.093,-27.174
6,750,[0.0005],0.0001,2421,0.85,True,37.699,2.8,1.485,0.079,2018.101,1.076,1.13,1.043,41501.977,4242.045,114.431,2123.082,41483.238,4342.972,1.04,0.603,-220.34,-1478217.3,-0.11,-31.954
7,750,[0.0005],0.0001,6765,0.1,True,37.739,2.8,1.485,0.325,8564.07,1.074,1.088,1.043,2517.663,3856.386,1.142,2.467,2667.096,4104.973,1.162,6.487,-112.044,-635540.662,-0.056,-13.738
8,750,[0.0005],0.0001,9361,0.05,True,37.412,2.82,1.496,0.333,8818.22,1.074,1.085,1.043,2160.058,3870.774,1.148,2.491,2281.087,4094.125,1.134,5.302,-107.634,-626096.407,-0.054,-13.534
9,750,[0.0005],0.0001,2804,0.6,True,37.552,2.8,1.486,0.216,5710.109,1.08,1.108,1.048,31004.973,14436.666,1.803,16.512,31726.933,14207.892,1.179,4.785,-130.654,-879026.973,-0.065,-19.001
10,750,[0.0005],0.0001,9361,0.95,True,38.217,2.81,1.488,0.022,500.04,1.065,1.076,1.038,41893.088,2249.433,191.307,2802.954,41852.432,2561.738,1.007,0.105,-354.165,-2227868.809,-0.177,-48.159
11,750,[0.0005],0.0001,9361,0.5,True,37.601,2.81,1.49,0.254,6686.859,1.076,1.088,1.047,18497.003,12996.344,1.388,7.274,19288.238,13248.154,1.023,0.497,-124.588,-782731.219,-0.062,-16.92
12,750,[0.0005],0.0001,2804,1.0,True,29.757,5.09,2.347,0.008,165.364,0.968,0.972,0.967,41987.741,1229.794,3883.842,12118.5,41006.26,6432.945,400.225,4056.485,-13228.715,-4607197.335,-6.614,-99.591
13,750,[0.0005],0.0001,6765,0.05,True,37.524,2.8,1.488,0.33,8706.409,1.078,1.091,1.045,2172.906,3626.221,1.136,2.311,2307.121,3890.193,1.148,5.883,-109.247,-626707.172,-0.055,-13.547
14,750,[0.0005],0.0001,9361,0.3,True,37.576,2.81,1.49,0.301,7897.449,1.075,1.083,1.045,5900.521,6323.302,1.18,3.094,6260.888,6682.171,1.012,0.139,-114.956,-683768.172,-0.057,-14.781
15,750,[0.0005],0.0001,4872,0.0,True,37.719,2.82,1.497,0.336,8912.841,1.073,1.092,1.04,1964.625,3779.335,1.174,2.971,2072.412,3980.8,1.23,6.868,-115.401,-619682.933,-0.058,-13.395
16,750,[0.0005],0.0001,4872,0.35,True,37.709,2.81,1.491,0.291,7665.258,1.073,1.083,1.042,7911.276,7642.341,1.224,4.296,8427.945,8052.321,1.018,0.179,-115.175,-704051.386,-0.058,-15.219
17,750,[0.0005],0.0001,2421,0.05,True,37.772,2.81,1.489,0.332,8710.061,1.07,1.084,1.043,2142.993,3506.384,1.152,2.514,2272.863,3757.22,1.139,5.703,-114.294,-626183.563,-0.057,-13.536
18,750,[0.0005],0.0001,4872,0.6,True,37.547,2.81,1.49,0.218,5783.636,1.076,1.091,1.043,30707.647,14466.495,2.086,27.429,31472.496,14243.034,1.109,3.198,-132.629,-873166.841,-0.066,-18.875
19,750,[0.0005],0.0001,4872,0.9,True,37.69,2.81,1.489,0.051,1254.253,1.079,1.092,1.048,41763.245,3091.494,120.89,2170.577,41708.788,3390.671,1.018,0.245,-256.544,-1737316.809,-0.128,-37.555
20,750,[0.0005],0.0001,2421,0.55,True,37.476,2.8,1.488,0.236,6226.518,1.071,1.087,1.045,24758.029,14590.115,1.548,10.285,25572.767,14617.575,1.104,3.7,-131.09,-824758.99,-0.066,-17.828
21,750,[0.0005],0.0001,4872,0.1,True,37.559,2.81,1.492,0.328,8630.896,1.075,1.088,1.043,2515.835,3820.922,1.158,2.853,2668.171,4047.334,1.154,6.107,-110.65,-634044.878,-0.055,-13.706
22,750,[0.0005],0.0001,6765,0.95,True,38.175,2.8,1.487,0.021,493.635,1.071,1.08,1.045,41904.602,2150.526,190.49,2813.122,41847.773,2614.513,1.012,0.159,-397.75,-2230416.05,-0.199,-48.214
23,750,[0.0005],0.0001,9361,0.35,True,37.414,2.81,1.492,0.289,7650.034,1.077,1.084,1.048,8149.071,7937.635,1.187,3.386,8685.352,8371.798,1.016,0.174,-112.513,-707977.118,-0.056,-15.304
24,750,[0.0005],0.0001,6765,0.85,True,37.316,2.8,1.483,0.082,2116.052,1.085,1.113,1.053,41474.99,4353.179,108.66,2100.317,41413.168,4623.079,1.031,0.822,-211.476,-1451611.877,-0.106,-31.379
25,750,[0.0005],0.0001,2804,0.75,True,36.963,2.8,1.484,0.154,4000.44,1.094,1.122,1.059,39369.81,8979.74,11.632,284.177,39484.732,8868.45,1.14,3.459,-156.837,-1080827.22,-0.078,-23.364
26,750,[0.0005],0.0001,4872,0.65,True,37.093,2.8,1.484,0.203,5322.663,1.09,1.113,1.053,34219.402,13397.745,2.606,45.142,34759.066,13119.449,1.12,2.797,-127.925,-914522.465,-0.064,-19.769
27,750,[0.0005],0.0001,4872,0.45,True,37.666,2.81,1.49,0.268,7066.767,1.072,1.082,1.04,14017.345,11014.68,1.336,7.057,14765.945,11389.057,1.017,0.175,-120.168,-752355.791,-0.06,-16.263
28,750,[0.0005],0.0001,4872,0.05,True,37.626,2.82,1.497,0.332,8790.302,1.072,1.083,1.039,2252.796,3959.328,1.182,3.111,2384.155,4188.999,1.124,4.966,-116.296,-627869.597,-0.058,-13.572
29,750,[0.0005],0.0001,6765,1.0,True,31.318,5.37,2.426,0.008,147.182,0.95,0.947,0.944,41986.435,1249.596,4336.409,12707.561,41392.972,5089.104,43.562,1328.535,-15180.759,-4717887.646,-7.59,-101.984
30,750,[0.0005],0.0001,2421,0.25,True,37.706,2.81,1.488,0.309,8075.184,1.07,1.084,1.042,4664.263,5498.199,1.186,3.148,4972.991,5843.701,1.24,10.175,-115.881,-670598.752,-0.058,-14.496
31,750,[0.0005],0.0001,2804,0.85,True,37.97,2.8,1.485,0.08,2062.784,1.072,1.103,1.043,41545.45,4063.725,115.734,2131.291,41466.094,4412.248,1.028,0.611,-240.142,-1469678.968,-0.12,-31.769
32,750,[0.0005],0.0001,2804,0.8,True,36.929,2.8,1.485,0.12,3131.93,1.093,1.122,1.059,40620.141,6567.394,48.695,1105.7,40603.841,6629.226,1.091,2.583,-179.892,-1224757.612,-0.09,-26.475
33,750,[0.0005],0.0001,6765,0.55,True,37.714,2.8,1.484,0.236,6240.757,1.074,1.09,1.043,24535.362,14610.149,1.552,10.997,25404.25,14631.976,1.082,2.936,-129.217,-823891.491,-0.065,-17.81
34,750,[0.0005],0.0001,4872,0.75,True,37.272,2.81,1.49,0.144,3763.642,1.084,1.133,1.045,39620.2,8593.415,16.321,429.36,39690.305,8549.719,1.104,2.069,-159.584,-1128517.982,-0.08,-24.395
35,750,[0.0005],0.0001,2804,0.0,True,37.527,2.81,1.489,0.334,8812.239,1.08,1.1,1.048,1940.856,3362.234,1.148,2.504,2047.162,3575.313,1.248,7.433,-108.321,-620385.359,-0.054,-13.411
36,750,[0.0005],0.0001,2421,0.0,True,37.723,2.82,1.494,0.337,8887.65,1.067,1.088,1.04,1963.697,3840.001,1.176,2.906,2083.704,4092.092,1.262,7.932,-118.136,-618671.549,-0.059,-13.374
37,750,[0.0005],0.0001,2804,0.7,True,36.959,2.8,1.483,0.181,4747.158,1.093,1.119,1.059,37460.352,11196.015,4.564,102.092,37750.287,10946.584,1.04,1.049,-145.165,-980046.354,-0.073,-21.185
