,seed,lr,unnormalized,OSL weight,OSL Margin,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,9361,[0.0005],True,0.8,0.0001,100,37.685,2.68,1.421,0.197,6565.116,1.066,1.079,1.056,40280.957,7401.97,31.8,723.393,39901.298,8186.117,1.013,0.193,-231.955,-1575258.248,-0.116,-25.435
2,2804,[0.0005],True,0.1,0.0001,100,37.086,2.71,1.439,0.385,13066.824,1.073,1.096,1.056,4346.429,5848.375,1.156,2.435,4451.729,6390.371,1.017,0.203,-166.97,-907852.552,-0.084,-14.659
3,2421,[0.0005],True,0.3,0.0001,100,37.266,2.69,1.429,0.362,12242.518,1.066,1.088,1.051,8682.554,8910.694,1.192,3.028,8672.84,9088.841,1.381,16.426,-174.926,-962893.069,-0.088,-15.547
4,2804,[0.0005],True,0.5,0.0001,100,37.109,2.7,1.434,0.322,10964.682,1.064,1.085,1.047,21185.667,13100.957,1.429,6.832,21302.977,13160.971,1.794,35.088,-193.432,-1086882.404,-0.097,-17.549
5,2421,[0.0005],True,0.8,0.0001,100,37.203,2.68,1.423,0.197,6569.211,1.065,1.079,1.053,40171.66,7746.527,23.713,533.433,39910.172,8239.02,21.743,926.606,-224.458,-1576535.762,-0.112,-25.456
6,2421,[0.0005],True,0.85,0.0001,100,37.039,2.7,1.433,0.154,4998.851,1.068,1.083,1.056,41041.563,5613.58,80.736,1683.047,40774.2,6364.825,22.037,939.674,-225.101,-1855999.521,-0.113,-29.968
7,6765,[0.0005],True,0.1,0.0001,100,37.275,2.71,1.437,0.386,13135.162,1.073,1.092,1.056,4015.803,5518.434,1.157,2.543,4073.167,5930.599,1.013,0.146,-168.554,-901214.983,-0.084,-14.551
8,9361,[0.0005],True,0.05,0.0001,100,37.009,2.72,1.443,0.387,13215.485,1.069,1.082,1.053,3951.639,5649.063,1.144,2.116,4121.696,6430.324,1.016,0.208,-177.774,-903872.493,-0.089,-14.594
9,2804,[0.0005],True,0.6,0.0001,100,37.467,2.7,1.431,0.295,10000.867,1.07,1.093,1.056,29591.4,13768.008,1.927,18.49,29574.01,13878.625,1.01,0.126,-199.523,-1169688.856,-0.1,-18.886
10,9361,[0.0005],True,0.95,0.0001,100,37.504,2.7,1.435,0.063,1912.194,1.068,1.083,1.056,41769.622,3198.422,175.469,2663.143,41800.306,2809.482,1.01,0.155,-337.164,-2768839.181,-0.169,-44.707
11,9361,[0.0005],True,0.5,0.0001,100,37.199,2.7,1.432,0.323,10983.125,1.067,1.08,1.054,20657.557,13151.986,1.306,5.335,20693.044,13278.627,1.011,0.175,-180.172,-1076060.493,-0.09,-17.375
12,2804,[0.0005],True,1.0,0.0001,100,34.322,3.88,1.956,0.012,305.145,1.025,1.028,1.0,41928.489,1995.677,2394.025,9642.754,42000.948,972.02,22.059,940.368,-6016.313,-5720587.192,-3.013,-92.367
13,6765,[0.0005],True,0.05,0.0001,100,37.725,2.72,1.441,0.388,13252.739,1.065,1.077,1.048,3672.45,5236.431,1.161,2.574,3770.187,5829.519,1.011,0.143,-173.91,-898361.835,-0.087,-14.505
14,9361,[0.0005],True,0.3,0.0001,100,37.404,2.71,1.439,0.36,12271.604,1.065,1.078,1.05,9620.235,9345.298,1.204,3.276,9817.565,9658.762,1.013,0.188,-181.7,-975224.694,-0.091,-15.746
15,4872,[0.0005],True,0.0,0.0001,100,37.519,2.7,1.434,0.389,13215.947,1.066,1.079,1.053,3401.347,5001.528,1.147,2.291,3434.979,5445.992,1.009,0.16,-174.661,-891222.287,-0.087,-14.39
