,beam,unnormalized,OSL Margin,lr,seed,OSL weight,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,1000,True,0.0001,[0.0005],9361,0.8,36.813,2.68,1.421,0.197,6565.116,1.086,1.104,1.062,40280.957,7401.97,31.8,723.393,39731.406,8527.533,1.037,0.418,-231.955,-1575258.248,-0.116,-25.435
2,1000,True,0.0001,[0.0005],2804,0.1,35.549,2.71,1.439,0.385,13066.824,1.11,1.165,1.065,4346.429,5848.375,1.156,2.435,4550.399,6543.7,1.045,0.382,-166.97,-907852.552,-0.084,-14.659
3,1000,True,0.0001,[0.0005],2421,0.3,35.911,2.69,1.429,0.362,12242.518,1.099,1.148,1.061,8682.554,8910.694,1.192,3.028,8736.769,9123.096,1.043,0.346,-174.926,-962893.069,-0.088,-15.547
4,1000,True,0.0001,[0.0005],2804,0.5,35.866,2.7,1.434,0.322,10964.682,1.095,1.143,1.057,21185.667,13100.957,1.429,6.832,21352.268,13176.753,1.041,0.361,-193.432,-1086882.404,-0.097,-17.549
5,1000,True,0.0001,[0.0005],2421,0.8,36.352,2.68,1.423,0.197,6569.211,1.084,1.102,1.059,40171.66,7746.527,23.713,533.433,39697.29,8654.123,1.028,0.288,-224.458,-1576535.762,-0.112,-25.456
6,1000,True,0.0001,[0.0005],2421,0.85,35.855,2.7,1.433,0.154,4998.851,1.095,1.116,1.062,41041.563,5613.58,80.736,1683.047,40587.245,6864.626,1.054,0.552,-225.101,-1855999.521,-0.113,-29.968
7,1000,True,0.0001,[0.0005],6765,0.1,35.983,2.71,1.437,0.386,13135.162,1.113,1.165,1.067,4015.803,5518.434,1.157,2.543,4131.071,5969.447,1.056,0.495,-168.554,-901214.983,-0.084,-14.551
8,1000,True,0.0001,[0.0005],9361,0.05,35.67,2.72,1.443,0.387,13215.485,1.103,1.154,1.062,3951.639,5649.063,1.144,2.116,4211.108,6573.088,1.055,0.505,-177.774,-903872.493,-0.089,-14.594
9,1000,True,0.0001,[0.0005],2804,0.6,36.099,2.7,1.431,0.295,10000.867,1.1,1.148,1.062,29591.4,13768.008,1.927,18.49,29484.553,14000.256,1.041,0.389,-199.523,-1169688.856,-0.1,-18.886
10,1000,True,0.0001,[0.0005],9361,0.95,36.627,2.7,1.435,0.063,1912.194,1.087,1.101,1.061,41769.622,3198.422,175.469,2663.143,41771.243,2966.918,1.03,0.319,-337.164,-2768839.181,-0.169,-44.707
11,1000,True,0.0001,[0.0005],9361,0.5,36.152,2.7,1.432,0.323,10983.125,1.094,1.128,1.061,20657.557,13151.986,1.306,5.335,20705.265,13302.473,1.037,0.372,-180.172,-1076060.493,-0.09,-17.375
12,1000,True,0.0001,[0.0005],2804,1.0,32.473,3.88,1.956,0.012,305.145,1.024,1.03,1.0,41928.489,1995.677,2394.025,9642.754,41993.425,1121.104,22.071,940.368,-6016.313,-5720587.192,-3.013,-92.367
13,1000,True,0.0001,[0.0005],6765,0.05,36.37,2.72,1.441,0.388,13252.739,1.099,1.15,1.059,3672.45,5236.431,1.161,2.574,3850.497,5955.155,1.058,0.653,-173.91,-898361.835,-0.087,-14.505
14,1000,True,0.0001,[0.0005],9361,0.3,36.122,2.71,1.439,0.36,12271.604,1.097,1.151,1.059,9620.235,9345.298,1.204,3.276,9911.944,9714.149,1.04,0.382,-181.7,-975224.694,-0.091,-15.746
15,1000,True,0.0001,[0.0005],4872,0.0,36.122,2.7,1.434,0.389,13215.947,1.095,1.14,1.062,3401.347,5001.528,1.147,2.291,3531.464,5648.727,1.05,0.606,-174.661,-891222.287,-0.087,-14.39
16,1000,True,0.0001,[0.0005],4872,0.35,36.05,2.7,1.432,0.351,11923.989,1.095,1.132,1.061,11572.087,10327.747,1.221,3.615,11729.635,10509.2,1.04,0.413,-178.938,-994838.208,-0.09,-16.063
17,1000,True,0.0001,[0.0005],2421,0.05,35.834,2.71,1.436,0.386,13112.422,1.095,1.146,1.061,3816.994,5444.744,1.16,2.472,4025.011,6275.306,1.036,0.351,-172.215,-900236.074,-0.086,-14.536
18,1000,True,0.0001,[0.0005],4872,0.6,36.121,2.69,1.429,0.294,10003.278,1.101,1.129,1.062,29748.662,13774.956,2.601,52.141,29873.647,13872.247,1.04,0.366,-196.051,-1172932.794,-0.098,-18.939
19,1000,True,0.0001,[0.0005],4872,0.9,36.56,2.7,1.431,0.11,3465.435,1.084,1.097,1.056,41611.511,3908.405,133.015,2306.892,41252.597,5211.634,1.04,0.468,-275.856,-2190520.807,-0.138,-35.369
20,1000,True,0.0001,[0.0005],2421,0.55,36.144,2.69,1.426,0.308,10462.676,1.095,1.145,1.059,24874.825,13736.534,1.399,7.059,24818.571,13904.553,1.041,0.364,-184.086,-1116865.738,-0.092,-18.033
21,1000,True,0.0001,[0.0005],4872,0.1,36.056,2.7,1.433,0.381,12936.109,1.094,1.138,1.06,4563.326,6029.136,1.16,2.545,4684.851,6512.559,1.051,0.55,-174.585,-912888.971,-0.087,-14.74
22,1000,True,0.0001,[0.0005],6765,0.95,36.998,2.7,1.434,0.062,1931.297,1.075,1.089,1.056,41773.707,3177.293,175.122,2662.189,41773.346,2982.806,1.017,0.222,-348.295,-2769080.109,-0.174,-44.711
23,1000,True,0.0001,[0.0005],9361,0.35,35.966,2.71,1.436,0.353,11998.511,1.103,1.159,1.062,11679.503,10349.759,1.222,3.575,12040.666,10665.955,1.042,0.369,-179.489,-994910.922,-0.09,-16.064
24,1000,True,0.0001,[0.0005],6765,0.85,36.721,2.7,1.433,0.152,4948.138,1.092,1.114,1.062,41224.129,5052.52,100.322,1862.084,40877.96,6119.276,1.045,0.61,-246.725,-1868855.082,-0.124,-30.175
25,1000,True,0.0001,[0.0005],2804,0.75,36.22,2.7,1.43,0.224,7598.698,1.095,1.134,1.059,39036.183,9390.254,7.995,165.335,38530.225,10189.622,1.045,0.445,-206.659,-1451278.917,-0.103,-23.433
26,1000,True,0.0001,[0.0005],4872,0.65,36.202,2.7,1.431,0.275,9298.752,1.093,1.122,1.061,34175.086,12762.659,1.795,15.104,34006.627,13090.641,1.037,0.364,-194.879,-1247318.342,-0.098,-20.14
