,lr,OSL Margin,unnormalized,seed,OSL weight,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,[0.0005],0.0001,True,9361,0.8,250,37.238,2.68,1.421,0.197,6565.116,1.075,1.092,1.057,40280.957,7401.97,31.8,723.393,39820.304,8348.383,1.025,0.303,-231.955,-1575258.248,-0.116,-25.435
2,[0.0005],0.0001,True,2804,0.1,250,36.453,2.71,1.439,0.385,13066.824,1.088,1.121,1.059,4346.429,5848.375,1.156,2.435,4486.919,6443.516,1.026,0.267,-166.97,-907852.552,-0.084,-14.659
3,[0.0005],0.0001,True,2421,0.3,250,36.78,2.69,1.429,0.362,12242.518,1.079,1.108,1.056,8682.554,8910.694,1.192,3.028,8698.605,9100.09,1.392,16.426,-174.926,-962893.069,-0.088,-15.547
4,[0.0005],0.0001,True,2804,0.5,250,36.511,2.7,1.434,0.322,10964.682,1.075,1.106,1.05,21185.667,13100.957,1.429,6.832,21332.828,13171.702,1.024,0.265,-193.432,-1086882.404,-0.097,-17.549
5,[0.0005],0.0001,True,2421,0.8,250,36.824,2.68,1.423,0.197,6569.211,1.073,1.09,1.056,40171.66,7746.527,23.713,533.433,39766.14,8524.254,1.017,0.218,-224.458,-1576535.762,-0.112,-25.456
6,[0.0005],0.0001,True,2421,0.85,250,36.504,2.7,1.433,0.154,4998.851,1.079,1.101,1.059,41041.563,5613.58,80.736,1683.047,40659.049,6670.974,1.031,0.43,-225.101,-1855999.521,-0.113,-29.968
7,[0.0005],0.0001,True,6765,0.1,250,36.65,2.71,1.437,0.386,13135.162,1.091,1.123,1.062,4015.803,5518.434,1.157,2.543,4090.363,5925.535,1.031,0.334,-168.554,-901214.983,-0.084,-14.551
8,[0.0005],0.0001,True,9361,0.05,250,36.462,2.72,1.443,0.387,13215.485,1.081,1.109,1.056,3951.639,5649.063,1.144,2.116,4172.916,6531.155,1.024,0.25,-177.774,-903872.493,-0.089,-14.594
9,[0.0005],0.0001,True,2804,0.6,250,37.035,2.7,1.431,0.295,10000.867,1.081,1.106,1.059,29591.4,13768.008,1.927,18.49,29546.209,13924.017,1.023,0.265,-199.523,-1169688.856,-0.1,-18.886
10,[0.0005],0.0001,True,9361,0.95,250,36.986,2.7,1.435,0.063,1912.194,1.076,1.09,1.058,41769.622,3198.422,175.469,2663.143,41779.834,2923.763,1.016,0.185,-337.164,-2768839.181,-0.169,-44.707
11,[0.0005],0.0001,True,9361,0.5,250,36.721,2.7,1.432,0.323,10983.125,1.078,1.1,1.057,20657.557,13151.986,1.306,5.335,20697.023,13281.984,1.021,0.258,-180.172,-1076060.493,-0.09,-17.375
12,[0.0005],0.0001,True,2804,1.0,250,32.838,3.88,1.956,0.012,305.145,1.018,1.024,1.0,41928.489,1995.677,2394.025,9642.754,42001.126,968.152,85.204,1879.321,-6016.313,-5720587.192,-3.013,-92.367
13,[0.0005],0.0001,True,6765,0.05,250,37.186,2.72,1.441,0.388,13252.739,1.077,1.094,1.053,3672.45,5236.431,1.161,2.574,3819.135,5912.25,1.023,0.271,-173.91,-898361.835,-0.087,-14.505
14,[0.0005],0.0001,True,9361,0.3,250,36.807,2.71,1.439,0.36,12271.604,1.078,1.098,1.056,9620.235,9345.298,1.204,3.276,9861.305,9675.478,1.023,0.274,-181.7,-975224.694,-0.091,-15.746
15,[0.0005],0.0001,True,4872,0.0,250,36.99,2.7,1.434,0.389,13215.947,1.076,1.094,1.056,3401.347,5001.528,1.147,2.291,3495.506,5583.167,1.019,0.273,-174.661,-891222.287,-0.087,-14.39
16,[0.0005],0.0001,True,4872,0.35,250,36.892,2.7,1.432,0.351,11923.989,1.077,1.095,1.056,11572.087,10327.747,1.221,3.615,11709.509,10502.285,1.022,0.267,-178.938,-994838.208,-0.09,-16.063
17,[0.0005],0.0001,True,2421,0.05,250,36.51,2.71,1.436,0.386,13112.422,1.078,1.112,1.056,3816.994,5444.744,1.16,2.472,3990.132,6230.091,1.259,10.365,-172.215,-900236.074,-0.086,-14.536
18,[0.0005],0.0001,True,4872,0.6,250,36.983,2.69,1.429,0.294,10003.278,1.081,1.099,1.057,29748.662,13774.956,2.601,52.141,29906.756,13803.341,1.026,0.291,-196.051,-1172932.794,-0.098,-18.939
19,[0.0005],0.0001,True,4872,0.9,250,36.979,2.7,1.431,0.11,3465.435,1.073,1.086,1.053,41611.511,3908.405,133.015,2306.892,41319.164,4978.972,1.012,0.158,-275.856,-2190520.807,-0.138,-35.369
20,[0.0005],0.0001,True,2421,0.55,250,36.861,2.69,1.426,0.308,10462.676,1.075,1.103,1.053,24874.825,13736.534,1.399,7.059,24774.364,13897.238,2.26,55.295,-184.086,-1116865.738,-0.092,-18.033
21,[0.0005],0.0001,True,4872,0.1,250,36.961,2.7,1.433,0.381,12936.109,1.075,1.093,1.056,4563.326,6029.136,1.16,2.545,4653.919,6466.671,1.024,0.314,-174.585,-912888.971,-0.087,-14.74
