,lr,beam,unnormalized,seed,OSL Margin,OSL weight,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,[0.0005],5,True,9361,0.0001,0.8,39.275,2.68,1.421,0.197,6565.116,1.033,1.046,1.026,40280.957,7401.97,31.8,723.393,40457.703,6965.705,27.458,835.813,-231.955,-1575258.248,-0.116,-25.435
2,[0.0005],5,True,2804,0.0001,0.1,38.818,2.71,1.439,0.385,13066.824,1.038,1.052,1.03,4346.429,5848.375,1.156,2.435,4300.372,5975.125,1.263,11.636,-166.97,-907852.552,-0.084,-14.659
3,[0.0005],5,True,2421,0.0001,0.3,38.949,2.69,1.429,0.362,12242.518,1.033,1.047,1.024,8682.554,8910.694,1.192,3.028,8704.6,9055.036,5.706,210.102,-174.926,-962893.069,-0.088,-15.547
4,[0.0005],5,True,2804,0.0001,0.5,38.919,2.7,1.434,0.322,10964.682,1.031,1.044,1.021,21185.667,13100.957,1.429,6.832,21517.208,13107.751,1.787,35.088,-193.432,-1086882.404,-0.097,-17.549
5,[0.0005],5,True,2421,0.0001,0.8,39.065,2.68,1.423,0.197,6569.211,1.033,1.047,1.027,40171.66,7746.527,23.713,533.433,40354.552,7296.514,21.736,926.606,-224.458,-1576535.762,-0.112,-25.456
6,[0.0005],5,True,2421,0.0001,0.85,38.709,2.7,1.433,0.154,4998.851,1.037,1.051,1.03,41041.563,5613.58,80.736,1683.047,41197.616,5074.861,22.045,940.368,-225.101,-1855999.521,-0.113,-29.968
7,[0.0005],5,True,6765,0.0001,0.1,39.116,2.71,1.437,0.386,13135.162,1.036,1.049,1.028,4015.803,5518.434,1.157,2.543,3924.997,5562.258,1.029,1.12,-168.554,-901214.983,-0.084,-14.551
8,[0.0005],5,True,9361,0.0001,0.05,38.577,2.72,1.443,0.387,13215.485,1.035,1.049,1.026,3951.639,5649.063,1.144,2.116,3881.509,5788.994,1.057,1.763,-177.774,-903872.493,-0.089,-14.594
9,[0.0005],5,True,2804,0.0001,0.6,39.084,2.7,1.431,0.295,10000.867,1.035,1.049,1.029,29591.4,13768.008,1.927,18.49,29961.604,13605.674,2.741,77.739,-199.523,-1169688.856,-0.1,-18.886
10,[0.0005],5,True,9361,0.0001,0.95,38.885,2.7,1.435,0.063,1912.194,1.035,1.05,1.028,41769.622,3198.422,175.469,2663.143,41912.244,2056.807,43.088,1329.549,-337.164,-2768839.181,-0.169,-44.707
