,OSL Margin,beam,lr,OSL weight,seed,unnormalized,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,0.0001,500,[0.0005],0.8,9361,True,36.988,2.68,1.421,0.197,6565.116,1.081,1.098,1.059,40280.957,7401.97,31.8,723.393,39748.785,8488.708,1.032,0.366,-231.955,-1575258.248,-0.116,-25.435
2,0.0001,500,[0.0005],0.1,2804,True,35.894,2.71,1.439,0.385,13066.824,1.101,1.144,1.062,4346.429,5848.375,1.156,2.435,4520.312,6477.068,1.038,0.353,-166.97,-907852.552,-0.084,-14.659
3,0.0001,500,[0.0005],0.3,2421,True,36.252,2.69,1.429,0.362,12242.518,1.089,1.127,1.059,8682.554,8910.694,1.192,3.028,8721.278,9124.539,1.035,0.305,-174.926,-962893.069,-0.088,-15.547
4,0.0001,500,[0.0005],0.5,2804,True,36.147,2.7,1.434,0.322,10964.682,1.085,1.122,1.056,21185.667,13100.957,1.429,6.832,21316.491,13174.079,1.034,0.336,-193.432,-1086882.404,-0.097,-17.549
5,0.0001,500,[0.0005],0.8,2421,True,36.492,2.68,1.423,0.197,6569.211,1.079,1.097,1.057,40171.66,7746.527,23.713,533.433,39729.906,8594.274,1.022,0.243,-224.458,-1576535.762,-0.112,-25.456
6,0.0001,500,[0.0005],0.85,2421,True,36.09,2.7,1.433,0.154,4998.851,1.088,1.11,1.062,41041.563,5613.58,80.736,1683.047,40583.999,6869.338,1.041,0.458,-225.101,-1855999.521,-0.113,-29.968
7,0.0001,500,[0.0005],0.1,6765,True,36.356,2.71,1.437,0.386,13135.162,1.103,1.139,1.065,4015.803,5518.434,1.157,2.543,4115.449,5952.372,1.041,0.419,-168.554,-901214.983,-0.084,-14.551
8,0.0001,500,[0.0005],0.05,9361,True,36.1,2.72,1.443,0.387,13215.485,1.091,1.128,1.059,3951.639,5649.063,1.144,2.116,4190.896,6552.393,1.036,0.367,-177.774,-903872.493,-0.089,-14.594
9,0.0001,500,[0.0005],0.6,2804,True,36.462,2.7,1.431,0.295,10000.867,1.093,1.129,1.062,29591.4,13768.008,1.927,18.49,29523.078,13964.894,1.033,0.338,-199.523,-1169688.856,-0.1,-18.886
10,0.0001,500,[0.0005],0.95,9361,True,36.762,2.7,1.435,0.063,1912.194,1.082,1.096,1.059,41769.622,3198.422,175.469,2663.143,41778.328,2930.351,1.025,0.29,-337.164,-2768839.181,-0.169,-44.707
