,beam,unnormalized,seed,lr,OSL Margin,OSL weight,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,750,True,9361,[0.0005],0.0001,0.8,36.834,2.68,1.421,0.197,6565.116,1.085,1.101,1.061,40280.957,7401.97,31.8,723.393,39742.753,8503.066,1.037,0.418,-231.955,-1575258.248,-0.116,-25.435
2,750,True,2804,[0.0005],0.0001,0.1,35.663,2.71,1.439,0.385,13066.824,1.107,1.16,1.062,4346.429,5848.375,1.156,2.435,4547.016,6542.096,1.044,0.379,-166.97,-907852.552,-0.084,-14.659
3,750,True,2421,[0.0005],0.0001,0.3,36.087,2.69,1.429,0.362,12242.518,1.096,1.146,1.061,8682.554,8910.694,1.192,3.028,8730.736,9123.802,1.041,0.344,-174.926,-962893.069,-0.088,-15.547
4,750,True,2804,[0.0005],0.0001,0.5,35.914,2.7,1.434,0.322,10964.682,1.093,1.141,1.056,21185.667,13100.957,1.429,6.832,21337.689,13173.498,1.037,0.346,-193.432,-1086882.404,-0.097,-17.549
5,750,True,2421,[0.0005],0.0001,0.8,36.419,2.68,1.423,0.197,6569.211,1.082,1.1,1.059,40171.66,7746.527,23.713,533.433,39713.656,8626.353,1.024,0.249,-224.458,-1576535.762,-0.112,-25.456
6,750,True,2421,[0.0005],0.0001,0.85,35.961,2.7,1.433,0.154,4998.851,1.092,1.114,1.062,41041.563,5613.58,80.736,1683.047,40582.167,6875.735,1.05,0.505,-225.101,-1855999.521,-0.113,-29.968
7,750,True,6765,[0.0005],0.0001,0.1,36.131,2.71,1.437,0.386,13135.162,1.11,1.163,1.067,4015.803,5518.434,1.157,2.543,4126.292,5963.899,1.05,0.47,-168.554,-901214.983,-0.084,-14.551
8,750,True,9361,[0.0005],0.0001,0.05,35.842,2.72,1.443,0.387,13215.485,1.098,1.146,1.061,3951.639,5649.063,1.144,2.116,4199.313,6562.295,1.048,0.462,-177.774,-903872.493,-0.089,-14.594
9,750,True,2804,[0.0005],0.0001,0.6,36.244,2.7,1.431,0.295,10000.867,1.096,1.133,1.062,29591.4,13768.008,1.927,18.49,29501.658,13990.544,1.035,0.356,-199.523,-1169688.856,-0.1,-18.886
10,750,True,9361,[0.0005],0.0001,0.95,36.604,2.7,1.435,0.063,1912.194,1.085,1.1,1.061,41769.622,3198.422,175.469,2663.143,41771.056,2968.78,1.029,0.318,-337.164,-2768839.181,-0.169,-44.707
11,750,True,9361,[0.0005],0.0001,0.5,36.278,2.7,1.432,0.323,10983.125,1.09,1.118,1.059,20657.557,13151.986,1.306,5.335,20690.131,13303.361,1.031,0.342,-180.172,-1076060.493,-0.09,-17.375
12,750,True,2804,[0.0005],0.0001,1.0,32.592,3.88,1.956,0.012,305.145,1.023,1.029,1.0,41928.489,1995.677,2394.025,9642.754,41993.456,1120.539,43.114,1329.548,-6016.313,-5720587.192,-3.013,-92.367
13,750,True,6765,[0.0005],0.0001,0.05,36.507,2.72,1.441,0.388,13252.739,1.095,1.14,1.059,3672.45,5236.431,1.161,2.574,3844.964,5949.227,1.04,0.402,-173.91,-898361.835,-0.087,-14.505
14,750,True,9361,[0.0005],0.0001,0.3,36.317,2.71,1.439,0.36,12271.604,1.092,1.135,1.059,9620.235,9345.298,1.204,3.276,9917.424,9720.025,1.036,0.371,-181.7,-975224.694,-0.091,-15.746
15,750,True,4872,[0.0005],0.0001,0.0,36.324,2.7,1.434,0.389,13215.947,1.092,1.13,1.061,3401.347,5001.528,1.147,2.291,3514.988,5596.102,1.035,0.376,-174.661,-891222.287,-0.087,-14.39
16,750,True,4872,[0.0005],0.0001,0.35,36.276,2.7,1.432,0.351,11923.989,1.091,1.126,1.06,11572.087,10327.747,1.221,3.615,11727.54,10505.059,1.04,0.423,-178.938,-994838.208,-0.09,-16.063
17,750,True,2421,[0.0005],0.0001,0.05,35.92,2.71,1.436,0.386,13112.422,1.093,1.141,1.06,3816.994,5444.744,1.16,2.472,4026.756,6286.686,1.037,0.366,-172.215,-900236.074,-0.086,-14.536
18,750,True,4872,[0.0005],0.0001,0.6,36.215,2.69,1.429,0.294,10003.278,1.098,1.125,1.062,29748.662,13774.956,2.601,52.141,29876.605,13858.717,1.036,0.348,-196.051,-1172932.794,-0.098,-18.939
19,750,True,4872,[0.0005],0.0001,0.9,36.624,2.7,1.431,0.11,3465.435,1.081,1.095,1.056,41611.511,3908.405,133.015,2306.892,41267.431,5159.95,1.032,0.363,-275.856,-2190520.807,-0.138,-35.369
20,750,True,2421,[0.0005],0.0001,0.55,36.331,2.69,1.426,0.308,10462.676,1.09,1.137,1.057,24874.825,13736.534,1.399,7.059,24818.615,13895.164,1.037,0.322,-184.086,-1116865.738,-0.092,-18.033
21,750,True,4872,[0.0005],0.0001,0.1,36.288,2.7,1.433,0.381,12936.109,1.089,1.124,1.059,4563.326,6029.136,1.16,2.545,4679.835,6497.188,1.043,0.516,-174.585,-912888.971,-0.087,-14.74
22,750,True,6765,[0.0005],0.0001,0.95,37.093,2.7,1.434,0.062,1931.297,1.074,1.085,1.056,41773.707,3177.293,175.122,2662.189,41773.629,2981.133,1.013,0.18,-348.295,-2769080.109,-0.174,-44.711
23,750,True,9361,[0.0005],0.0001,0.35,36.19,2.71,1.436,0.353,11998.511,1.099,1.144,1.062,11679.503,10349.759,1.222,3.575,12046.965,10666.057,1.039,0.364,-179.489,-994910.922,-0.09,-16.064
24,750,True,6765,[0.0005],0.0001,0.85,36.817,2.7,1.433,0.152,4948.138,1.089,1.108,1.061,41224.129,5052.52,100.322,1862.084,40868.055,6147.078,1.042,0.605,-246.725,-1868855.082,-0.124,-30.175
25,750,True,2804,[0.0005],0.0001,0.75,36.364,2.7,1.43,0.224,7598.698,1.093,1.13,1.059,39036.183,9390.254,7.995,165.335,38534.456,10183.987,1.041,0.427,-206.659,-1451278.917,-0.103,-23.433
26,750,True,4872,[0.0005],0.0001,0.65,36.389,2.7,1.431,0.275,9298.752,1.088,1.109,1.06,34175.086,12762.659,1.795,15.104,33998.057,13091.676,1.033,0.352,-194.879,-1247318.342,-0.098,-20.14
27,750,True,4872,[0.0005],0.0001,0.45,36.558,2.71,1.436,0.331,11311.441,1.082,1.107,1.054,17894.346,12472.582,1.296,4.937,18165.082,12559.623,1.032,0.354,-187.912,-1056421.74,-0.094,-17.057
28,750,True,4872,[0.0005],0.0001,0.05,36.42,2.7,1.433,0.387,13157.871,1.096,1.121,1.061,3715.159,5279.814,1.144,2.263,3817.828,5732.091,1.034,0.33,-167.804,-896145.816,-0.084,-14.47
29,750,True,6765,[0.0005],0.0001,1.0,31.805,3.91,1.967,0.012,330.462,1.015,1.017,1.0,41939.522,1876.904,2811.686,10431.26,41998.077,1020.603,22.08,940.368,-6969.866,-5739199.218,-3.49,-92.668
30,750,True,2421,[0.0005],0.0001,0.25,36.028,2.69,1.43,0.368,12484.157,1.098,1.148,1.061,6995.045,7857.043,1.175,2.694,7044.462,8117.648,1.041,0.331,-173.692,-943768.977,-0.087,-15.239
31,750,True,2804,[0.0005],0.0001,0.85,36.295,2.7,1.431,0.153,4975.959,1.091,1.109,1.062,41074.175,5514.773,87.12,1659.86,40701.599,6579.865,1.024,0.268,-235.026,-1858835.642,-0.118,-30.014
32,750,True,2804,[0.0005],0.0001,0.8,36.301,2.68,1.422,0.197,6538.749,1.095,1.121,1.062,40175.538,7713.132,24.85,555.628,39597.719,8839.249,1.029,0.266,-215.43,-1574710.036,-0.108,-25.426
33,750,True,6765,[0.0005],0.0001,0.55,36.48,2.7,1.432,0.311,10545.201,1.095,1.133,1.062,24937.075,13698.501,1.465,8.899,24989.208,13805.543,1.033,0.372,-188.665,-1117949.376,-0.094,-18.051
34,750,True,4872,[0.0005],0.0001,0.75,36.302,2.7,1.432,0.224,7606.264,1.097,1.116,1.062,39010.515,9473.22,8.491,200.932,38696.591,9986.66,1.034,0.328,-199.223,-1453422.13,-0.1,-23.468
35,750,True,2804,[0.0005],0.0001,0.0,35.616,2.71,1.44,0.393,13357.586,1.108,1.17,1.065,3225.41,4878.464,1.144,2.195,3417.471,5741.611,1.192,6.877,-166.255,-885760.734,-0.083,-14.302
36,750,True,2421,[0.0005],0.0001,0.0,35.95,2.7,1.43,0.393,13278.191,1.096,1.145,1.061,3010.797,4608.982,1.141,2.111,3091.57,5223.035,1.037,0.316,-171.91,-880155.23,-0.086,-14.211
