,unnormalized,seed,OSL weight,OSL Margin,beam,lr,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,True,9361,0.8,0.0001,100,[0.0005],34.56,3.0,1.585,0.171,5506.774,1.087,1.108,1.071,29972.024,6216.62,54.935,1061.848,30181.059,5859.82,1.002,0.055,-400.602,-1202427.035,-0.2,-24.239
2,True,2804,0.1,0.0001,100,[0.0005],34.453,3.04,1.604,0.36,11221.749,1.079,1.102,1.067,2720.998,3877.368,1.389,4.665,2766.1,3944.01,1.002,0.059,-300.352,-686077.624,-0.15,-13.83
3,True,2421,0.3,0.0001,100,[0.0005],34.116,3.06,1.613,0.341,10720.094,1.085,1.105,1.067,5062.859,5583.366,1.642,10.309,5247.344,5660.695,1.003,0.095,-319.61,-726234.877,-0.16,-14.639
4,True,2804,0.5,0.0001,100,[0.0005],34.393,3.04,1.603,0.308,9679.051,1.08,1.102,1.067,11720.794,8436.877,1.784,12.825,12252.445,8360.49,1.002,0.074,-308.036,-794836.175,-0.154,-16.022
5,True,2421,0.8,0.0001,100,[0.0005],34.356,3.02,1.597,0.169,5414.95,1.089,1.11,1.071,30010.197,6112.475,61.14,1111.329,30256.095,5654.931,1.006,0.148,-416.281,-1227656.066,-0.208,-24.747
6,True,2421,0.85,0.0001,100,[0.0005],34.724,3.01,1.59,0.125,4027.583,1.087,1.109,1.071,30881.805,4234.013,135.086,1825.032,30966.848,4015.012,1.004,0.118,-489.352,-1435441.694,-0.245,-28.936
7,True,6765,0.1,0.0001,100,[0.0005],34.546,3.04,1.606,0.36,11270.556,1.085,1.105,1.067,2729.53,3912.409,1.524,9.998,2765.087,3958.388,1.006,0.109,-306.956,-686537.021,-0.153,-13.839
8,True,9361,0.05,0.0001,100,[0.0005],34.142,3.04,1.604,0.365,11385.338,1.089,1.109,1.071,2316.234,3512.584,1.379,5.164,2356.52,3594.57,1.003,0.055,-292.332,-675493.148,-0.146,-13.617
9,True,2804,0.6,0.0001,100,[0.0005],34.635,3.0,1.586,0.279,8703.458,1.08,1.102,1.066,18218.769,9529.913,2.662,34.829,18926.402,9266.175,1.004,0.067,-317.435,-856895.59,-0.159,-17.273
10,True,9361,0.95,0.0001,100,[0.0005],35.299,2.99,1.582,0.04,1240.266,1.079,1.103,1.067,31473.454,2213.518,304.923,3070.408,31439.821,2464.852,1.002,0.067,-803.029,-2260974.868,-0.402,-45.577
