,unnormalized,seed,OSL Margin,lr,OSL weight,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,True,9361,0.0001,[0.0005],0.8,1000,33.916,3.0,1.585,0.171,5506.774,1.104,1.121,1.077,29972.024,6216.62,54.935,1061.848,30164.255,5890.957,1.028,0.817,-400.602,-1202427.035,-0.2,-24.239
2,True,2804,0.0001,[0.0005],0.1,1000,33.679,3.04,1.604,0.36,11221.749,1.098,1.116,1.077,2720.998,3877.368,1.389,4.665,2803.577,3977.031,1.032,1.079,-300.352,-686077.624,-0.15,-13.83
3,True,2421,0.0001,[0.0005],0.3,1000,33.195,3.06,1.613,0.341,10720.094,1.103,1.122,1.077,5062.859,5583.366,1.642,10.309,5300.267,5690.991,1.006,0.114,-319.61,-726234.877,-0.16,-14.639
4,True,2804,0.0001,[0.0005],0.5,1000,33.636,3.04,1.603,0.308,9679.051,1.098,1.116,1.077,11720.794,8436.877,1.784,12.825,12295.568,8373.533,1.018,0.548,-308.036,-794836.175,-0.154,-16.022
5,True,2421,0.0001,[0.0005],0.8,1000,33.753,3.02,1.597,0.169,5414.95,1.105,1.124,1.08,30010.197,6112.475,61.14,1111.329,30228.429,5708.073,1.01,0.186,-416.281,-1227656.066,-0.208,-24.747
6,True,2421,0.0001,[0.0005],0.85,1000,33.961,3.01,1.59,0.125,4027.583,1.105,1.123,1.08,30881.805,4234.013,135.086,1825.032,30957.625,4049.432,1.011,0.284,-489.352,-1435441.694,-0.245,-28.936
7,True,6765,0.0001,[0.0005],0.1,1000,33.579,3.04,1.606,0.36,11270.556,1.106,1.124,1.077,2729.53,3912.409,1.524,9.998,2807.814,4005.622,1.032,0.993,-306.956,-686537.021,-0.153,-13.839
8,True,9361,0.0001,[0.0005],0.05,1000,33.398,3.04,1.604,0.365,11385.338,1.107,1.125,1.079,2316.234,3512.584,1.379,5.164,2389.141,3625.197,1.022,0.596,-292.332,-675493.148,-0.146,-13.617
9,True,2804,0.0001,[0.0005],0.6,1000,34.065,3.0,1.586,0.279,8703.458,1.096,1.114,1.071,18218.769,9529.913,2.662,34.829,18955.093,9275.007,1.022,0.678,-317.435,-856895.59,-0.159,-17.273
10,True,9361,0.0001,[0.0005],0.95,1000,34.705,2.99,1.582,0.04,1240.266,1.093,1.114,1.071,31473.454,2213.518,304.923,3070.408,31440.603,2460.101,1.004,0.071,-803.029,-2260974.868,-0.402,-45.577
11,True,9361,0.0001,[0.0005],0.5,1000,33.359,3.04,1.603,0.31,9735.118,1.11,1.127,1.08,11360.068,8347.411,1.73,12.0,11953.638,8296.242,1.016,0.401,-302.426,-789988.995,-0.151,-15.925
12,True,2804,0.0001,[0.0005],1.0,1000,33.23,4.92,2.298,0.013,361.839,0.961,0.965,0.964,31609.313,971.106,4067.152,10386.326,31498.227,2081.542,80.745,1578.418,-15687.415,-4917903.252,-7.844,-99.135
13,True,6765,0.0001,[0.0005],0.05,1000,33.821,3.03,1.599,0.362,11274.686,1.101,1.119,1.077,2479.329,3672.891,1.591,12.553,2540.417,3755.691,1.044,1.614,-311.045,-678683.24,-0.156,-13.681
14,True,9361,0.0001,[0.0005],0.3,1000,33.408,3.04,1.604,0.343,10724.939,1.108,1.126,1.08,4655.893,5307.884,1.461,6.729,4859.897,5419.718,1.016,0.401,-293.799,-718765.271,-0.147,-14.489
15,True,4872,0.0001,[0.0005],0.0,1000,33.114,3.06,1.615,0.366,11463.546,1.115,1.133,1.083,2485.81,3890.398,1.39,5.311,2602.728,4052.848,1.01,0.145,-309.656,-678697.367,-0.155,-13.681
16,True,4872,0.0001,[0.0005],0.35,1000,33.11,3.06,1.614,0.334,10534.139,1.115,1.132,1.083,6211.079,6330.535,1.512,8.117,6553.716,6413.419,1.01,0.156,-311.914,-739946.366,-0.156,-14.916
17,True,2421,0.0001,[0.0005],0.05,1000,33.145,3.06,1.616,0.363,11408.106,1.102,1.122,1.077,2594.409,3872.658,1.444,5.89,2723.746,4040.722,1.01,0.15,-310.116,-683102.017,-0.155,-13.77
18,True,4872,0.0001,[0.0005],0.6,1000,33.597,3.02,1.597,0.279,8809.232,1.114,1.131,1.083,18184.809,9625.221,2.938,44.878,19015.992,9343.132,1.025,0.709,-314.989,-861175.136,-0.157,-17.36
19,True,4872,0.0001,[0.0005],0.9,1000,33.693,3.02,1.593,0.079,2523.046,1.117,1.134,1.085,31279.608,3135.513,231.975,2599.289,31296.266,3090.043,1.008,0.141,-569.418,-1777201.446,-0.285,-35.825
20,True,2421,0.0001,[0.0005],0.55,1000,33.91,3.02,1.593,0.294,9209.705,1.095,1.115,1.074,14832.879,9026.159,2.45,26.489,15500.395,8880.047,1.005,0.109,-334.453,-822582.099,-0.167,-16.582
21,True,4872,0.0001,[0.0005],0.1,1000,33.011,3.06,1.614,0.359,11266.054,1.115,1.133,1.081,2969.209,4247.238,1.404,5.755,3111.33,4389.42,1.03,0.885,-309.174,-690876.355,-0.155,-13.927
22,True,6765,0.0001,[0.0005],0.95,1000,34.151,2.99,1.58,0.043,1326.862,1.107,1.129,1.081,31457.505,2323.552,305.392,3071.143,31438.026,2471.575,15.27,637.905,-755.877,-2203946.3,-0.378,-44.427
23,True,9361,0.0001,[0.0005],0.35,1000,33.385,3.04,1.604,0.337,10536.746,1.109,1.126,1.081,5700.842,5963.729,1.508,7.566,5976.765,6065.668,1.017,0.465,-297.327,-732101.462,-0.149,-14.758
24,True,6765,0.0001,[0.0005],0.85,1000,33.933,3.0,1.583,0.128,4129.455,1.104,1.124,1.08,30794.038,4479.924,119.588,1683.775,30877.832,4263.311,1.012,0.293,-470.305,-1409544.925,-0.235,-28.414
25,True,2804,0.0001,[0.0005],0.75,1000,33.621,3.01,1.588,0.207,6596.152,1.107,1.126,1.083,28559.598,7909.841,18.758,517.927,28981.297,7460.865,1.018,0.405,-343.115,-1068010.51,-0.172,-21.529
26,True,4872,0.0001,[0.0005],0.65,1000,33.692,3.02,1.596,0.259,8235.227,1.111,1.13,1.077,22072.617,9901.243,5.884,142.328,22917.765,9483.515,1.038,0.896,-329.577,-910404.742,-0.165,-18.352
27,True,4872,0.0001,[0.0005],0.45,1000,32.954,3.06,1.614,0.319,10063.413,1.116,1.132,1.082,9475.754,7793.458,1.684,12.499,10010.842,7793.572,1.02,0.473,-315.17,-774180.447,-0.158,-15.606
28,True,4872,0.0001,[0.0005],0.05,1000,33.144,3.06,1.614,0.363,11362.307,1.114,1.132,1.083,2714.604,4067.128,1.399,5.512,2841.528,4223.703,1.012,0.162,-310.047,-684650.475,-0.155,-13.801
29,True,6765,0.0001,[0.0005],1.0,1000,31.837,5.42,2.437,0.012,326.457,0.922,0.931,0.929,31605.243,1041.701,7724.856,13204.268,31447.963,2421.173,17.241,707.462,-21018.143,-4848984.284,-10.509,-97.746
30,True,2421,0.0001,[0.0005],0.25,1000,33.293,3.07,1.618,0.346,10920.242,1.1,1.119,1.077,4362.854,5153.388,1.639,8.956,4581.207,5282.769,1.007,0.122,-324.222,-718478.193,-0.162,-14.483
31,True,2804,0.0001,[0.0005],0.85,1000,33.721,3.01,1.588,0.126,4029.132,1.106,1.125,1.083,30754.29,4633.1,123.678,1758.24,30846.149,4407.849,1.01,0.159,-445.809,-1434293.632,-0.223,-28.913
32,True,2804,0.0001,[0.0005],0.8,1000,34.196,3.0,1.585,0.17,5440.919,1.097,1.116,1.077,29987.803,6242.575,54.923,1041.012,30170.039,5935.199,1.008,0.143,-403.361,-1210268.767,-0.202,-24.397
33,True,6765,0.0001,[0.0005],0.55,1000,33.792,3.03,1.597,0.294,9255.778,1.101,1.12,1.071,14875.852,9142.523,3.906,82.406,15552.022,8994.732,1.048,1.794,-331.187,-824048.236,-0.166,-16.611
34,True,4872,0.0001,[0.0005],0.75,1000,34.114,3.0,1.585,0.207,6607.876,1.102,1.124,1.077,28659.717,7776.366,27.272,655.809,29060.252,7350.086,1.008,0.155,-373.417,-1066174.985,-0.187,-21.492
35,True,2804,0.0001,[0.0005],0.0,1000,33.76,3.04,1.604,0.367,11414.9,1.098,1.117,1.077,2238.762,3474.49,1.382,4.553,2296.702,3574.399,1.032,1.101,-301.376,-673677.6,-0.151,-13.58
36,True,2421,0.0001,[0.0005],0.0,1000,33.156,3.07,1.62,0.366,11503.785,1.101,1.12,1.077,2470.689,3807.387,1.572,7.556,2598.62,3998.888,1.008,0.132,-323.118,-681036.051,-0.162,-13.728
37,True,2804,0.0001,[0.0005],0.7,1000,33.325,3.03,1.598,0.238,7546.611,1.109,1.126,1.081,25741.448,9383.434,11.599,383.838,26477.243,8888.312,1.026,0.837,-324.563,-976753.671,-0.162,-19.689
38,True,9361,0.0001,[0.0005],0.2,1000,33.414,3.04,1.604,0.354,11037.148,1.108,1.125,1.081,3310.572,4331.633,1.397,5.386,3438.038,4447.592,1.018,0.487,-292.06,-697622.533,-0.146,-14.063
39,True,9361,0.0001,[0.0005],0.1,1000,33.421,3.04,1.604,0.362,11273.342,1.109,1.127,1.081,2572.675,3733.462,1.392,5.375,2656.787,3842.413,1.02,0.552,-293.504,-682172.146,-0.147,-13.751
