,OSL weight,seed,lr,unnormalized,OSL Margin,beam,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,0.8,9361,[0.0005],True,0.0001,250,34.332,3.0,1.585,0.171,5506.774,1.094,1.114,1.077,29972.024,6216.62,54.935,1061.848,30184.373,5848.012,1.002,0.055,-400.602,-1202427.035,-0.2,-24.239
2,0.1,2804,[0.0005],True,0.0001,250,34.153,3.04,1.604,0.36,11221.749,1.087,1.108,1.069,2720.998,3877.368,1.389,4.665,2774.502,3951.614,1.006,0.107,-300.352,-686077.624,-0.15,-13.83
3,0.3,2421,[0.0005],True,0.0001,250,33.823,3.06,1.613,0.341,10720.094,1.092,1.111,1.071,5062.859,5583.366,1.642,10.309,5269.836,5669.789,1.004,0.097,-319.61,-726234.877,-0.16,-14.639
4,0.5,2804,[0.0005],True,0.0001,250,34.082,3.04,1.603,0.308,9679.051,1.088,1.109,1.071,11720.794,8436.877,1.784,12.825,12271.489,8363.165,1.006,0.109,-308.036,-794836.175,-0.154,-16.022
5,0.8,2421,[0.0005],True,0.0001,250,34.081,3.02,1.597,0.169,5414.95,1.097,1.117,1.077,30010.197,6112.475,61.14,1111.329,30255.315,5661.761,1.008,0.169,-416.281,-1227656.066,-0.208,-24.747
6,0.85,2421,[0.0005],True,0.0001,250,34.282,3.01,1.59,0.125,4027.583,1.097,1.118,1.077,30881.805,4234.013,135.086,1825.032,30969.432,4011.644,1.006,0.124,-489.352,-1435441.694,-0.245,-28.936
7,0.1,6765,[0.0005],True,0.0001,250,34.237,3.04,1.606,0.36,11270.556,1.094,1.113,1.072,2729.53,3912.409,1.524,9.998,2777.738,3969.442,1.007,0.114,-306.956,-686537.021,-0.153,-13.839
8,0.05,9361,[0.0005],True,0.0001,250,33.893,3.04,1.604,0.365,11385.338,1.096,1.116,1.077,2316.234,3512.584,1.379,5.164,2363.03,3593.213,1.006,0.107,-292.332,-675493.148,-0.146,-13.617
9,0.6,2804,[0.0005],True,0.0001,250,34.48,3.0,1.586,0.279,8703.458,1.086,1.107,1.067,18218.769,9529.913,2.662,34.829,18936.406,9264.367,1.005,0.095,-317.435,-856895.59,-0.159,-17.273
10,0.95,9361,[0.0005],True,0.0001,250,35.019,2.99,1.582,0.04,1240.266,1.086,1.108,1.069,31473.454,2213.518,304.923,3070.408,31438.092,2475.218,1.003,0.071,-803.029,-2260974.868,-0.402,-45.577
11,0.5,9361,[0.0005],True,0.0001,250,33.803,3.04,1.603,0.31,9735.118,1.098,1.119,1.077,11360.068,8347.411,1.73,12.0,11913.111,8290.16,1.004,0.102,-302.426,-789988.995,-0.151,-15.925
12,1.0,2804,[0.0005],True,0.0001,250,33.46,4.92,2.298,0.013,361.839,0.957,0.961,0.963,31609.313,971.106,4067.152,10386.326,31491.382,2131.477,1.706,2.231,-15687.415,-4917903.252,-7.844,-99.135
13,0.05,6765,[0.0005],True,0.0001,250,34.332,3.03,1.599,0.362,11274.686,1.09,1.109,1.071,2479.329,3672.891,1.591,12.553,2517.256,3726.265,1.006,0.097,-311.045,-678683.24,-0.156,-13.681
14,0.3,9361,[0.0005],True,0.0001,250,33.859,3.04,1.604,0.343,10724.939,1.097,1.118,1.077,4655.893,5307.884,1.461,6.729,4831.254,5401.778,1.005,0.105,-293.799,-718765.271,-0.147,-14.489
15,0.0,4872,[0.0005],True,0.0001,250,33.846,3.06,1.615,0.366,11463.546,1.1,1.121,1.077,2485.81,3890.398,1.39,5.311,2560.016,4001.988,1.005,0.105,-309.656,-678697.367,-0.155,-13.681
16,0.35,4872,[0.0005],True,0.0001,250,33.776,3.06,1.614,0.334,10534.139,1.101,1.122,1.077,6211.079,6330.535,1.512,8.117,6521.145,6399.053,1.006,0.124,-311.914,-739946.366,-0.156,-14.916
17,0.05,2421,[0.0005],True,0.0001,250,33.855,3.06,1.616,0.363,11408.106,1.091,1.111,1.069,2594.409,3872.658,1.444,5.89,2680.301,3983.603,1.006,0.12,-310.116,-683102.017,-0.155,-13.77
