,OSL weight,unnormalized,OSL Margin,seed,beam,lr,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,0.8,True,0.0001,9361,5,[0.0005],35.776,3.0,1.585,0.171,5506.774,1.051,1.072,1.045,29972.024,6216.62,54.935,1061.848,30162.802,5887.147,1.063,2.773,-400.602,-1202427.035,-0.2,-24.239
2,0.1,True,0.0001,2804,5,[0.0005],35.756,3.04,1.604,0.36,11221.749,1.048,1.07,1.043,2720.998,3877.368,1.389,4.665,2728.509,3911.822,1.002,0.059,-300.352,-686077.624,-0.15,-13.83
3,0.3,True,0.0001,2421,5,[0.0005],35.279,3.06,1.613,0.341,10720.094,1.053,1.074,1.046,5062.859,5583.366,1.642,10.309,5180.989,5627.658,1.002,0.039,-319.61,-726234.877,-0.16,-14.639
4,0.5,True,0.0001,2804,5,[0.0005],35.825,3.04,1.603,0.308,9679.051,1.049,1.071,1.045,11720.794,8436.877,1.784,12.825,12152.794,8365.884,1.004,0.067,-308.036,-794836.175,-0.154,-16.022
5,0.8,True,0.0001,2421,5,[0.0005],35.699,3.02,1.597,0.169,5414.95,1.053,1.074,1.048,30010.197,6112.475,61.14,1111.329,30220.259,5720.584,1.043,1.812,-416.281,-1227656.066,-0.208,-24.747
6,0.85,True,0.0001,2421,5,[0.0005],35.902,3.01,1.59,0.125,4027.583,1.052,1.073,1.045,30881.805,4234.013,135.086,1825.032,30955.372,4052.071,2.527,68.245,-489.352,-1435441.694,-0.245,-28.936
7,0.1,True,0.0001,6765,5,[0.0005],35.829,3.04,1.606,0.36,11270.556,1.05,1.07,1.043,2729.53,3912.409,1.524,9.998,2716.009,3918.28,1.002,0.059,-306.956,-686537.021,-0.153,-13.839
8,0.05,True,0.0001,9361,5,[0.0005],35.439,3.04,1.604,0.365,11385.338,1.056,1.076,1.049,2316.234,3512.584,1.379,5.164,2319.481,3557.356,1.002,0.059,-292.332,-675493.148,-0.146,-13.617
9,0.6,True,0.0001,2804,5,[0.0005],35.903,3.0,1.586,0.279,8703.458,1.046,1.068,1.039,18218.769,9529.913,2.662,34.829,18791.808,9312.714,1.002,0.059,-317.435,-856895.59,-0.159,-17.273
10,0.95,True,0.0001,9361,5,[0.0005],36.349,2.99,1.582,0.04,1240.266,1.045,1.068,1.042,31473.454,2213.518,304.923,3070.408,31439.973,2459.835,16.82,707.47,-803.029,-2260974.868,-0.402,-45.577
11,0.5,True,0.0001,9361,5,[0.0005],35.373,3.04,1.603,0.31,9735.118,1.057,1.078,1.049,11360.068,8347.411,1.73,12.0,11795.708,8277.87,1.002,0.039,-302.426,-789988.995,-0.151,-15.925
12,1.0,True,0.0001,2804,5,[0.0005],30.386,4.92,2.298,0.013,361.839,0.894,0.907,0.917,31609.313,971.106,4067.152,10386.326,31345.621,3012.283,285.924,2988.732,-15687.415,-4917903.252,-7.844,-99.135
13,0.05,True,0.0001,6765,5,[0.0005],35.667,3.03,1.599,0.362,11274.686,1.049,1.069,1.042,2479.329,3672.891,1.591,12.553,2462.09,3677.303,1.001,0.032,-311.045,-678683.24,-0.156,-13.681
14,0.3,True,0.0001,9361,5,[0.0005],35.516,3.04,1.604,0.343,10724.939,1.056,1.077,1.05,4655.893,5307.884,1.461,6.729,4754.107,5354.807,1.002,0.045,-293.799,-718765.271,-0.147,-14.489
15,0.0,True,0.0001,4872,5,[0.0005],35.379,3.06,1.615,0.366,11463.546,1.053,1.074,1.047,2485.81,3890.398,1.39,5.311,2499.015,3948.14,1.004,0.092,-309.656,-678697.367,-0.155,-13.681
16,0.35,True,0.0001,4872,5,[0.0005],35.329,3.06,1.614,0.334,10534.139,1.053,1.074,1.048,6211.079,6330.535,1.512,8.117,6404.141,6365.932,1.004,0.1,-311.914,-739946.366,-0.156,-14.916
17,0.05,True,0.0001,2421,5,[0.0005],35.484,3.06,1.616,0.363,11408.106,1.049,1.07,1.043,2594.409,3872.658,1.444,5.89,2605.834,3916.578,1.0,0.022,-310.116,-683102.017,-0.155,-13.77
18,0.6,True,0.0001,4872,5,[0.0005],35.744,3.02,1.597,0.279,8809.232,1.054,1.075,1.045,18184.809,9625.221,2.938,44.878,18832.035,9369.272,1.002,0.039,-314.989,-861175.136,-0.157,-17.36
19,0.9,True,0.0001,4872,5,[0.0005],35.853,3.02,1.593,0.079,2523.046,1.055,1.075,1.05,31279.608,3135.513,231.975,2599.289,31290.735,3111.877,1.0,0.022,-569.418,-1777201.446,-0.285,-35.825
20,0.55,True,0.0001,2421,5,[0.0005],35.864,3.02,1.593,0.294,9209.705,1.049,1.069,1.043,14832.879,9026.159,2.45,26.489,15376.385,8888.295,1.002,0.039,-334.453,-822582.099,-0.167,-16.582
21,0.1,True,0.0001,4872,5,[0.0005],35.421,3.06,1.614,0.359,11266.054,1.054,1.075,1.047,2969.209,4247.238,1.404,5.755,2999.615,4295.602,1.004,0.097,-309.174,-690876.355,-0.155,-13.927
22,0.95,True,0.0001,6765,5,[0.0005],36.154,2.99,1.58,0.043,1326.862,1.05,1.074,1.045,31457.505,2323.552,305.392,3071.143,31437.042,2479.54,16.82,707.47,-755.877,-2203946.3,-0.378,-44.427
23,0.35,True,0.0001,9361,5,[0.0005],35.393,3.04,1.604,0.337,10536.746,1.055,1.075,1.049,5700.842,5963.729,1.508,7.566,5848.071,6008.741,1.002,0.045,-297.327,-732101.462,-0.149,-14.758
24,0.85,True,0.0001,6765,5,[0.0005],36.091,3.0,1.583,0.128,4129.455,1.048,1.071,1.043,30794.038,4479.924,119.588,1683.775,30881.679,4255.567,3.01,89.845,-470.305,-1409544.925,-0.235,-28.414
25,0.75,True,0.0001,2804,5,[0.0005],35.941,3.01,1.588,0.207,6596.152,1.053,1.076,1.048,28559.598,7909.841,18.758,517.927,28951.793,7473.421,1.003,0.063,-343.115,-1068010.51,-0.172,-21.529
26,0.65,True,0.0001,4872,5,[0.0005],35.664,3.02,1.596,0.259,8235.227,1.052,1.074,1.045,22072.617,9901.243,5.884,142.328,22768.13,9525.707,1.002,0.039,-329.577,-910404.742,-0.165,-18.352
27,0.45,True,0.0001,4872,5,[0.0005],35.391,3.06,1.614,0.319,10063.413,1.053,1.074,1.045,9475.754,7793.458,1.684,12.499,9842.212,7770.336,1.003,0.095,-315.17,-774180.447,-0.158,-15.606
28,0.05,True,0.0001,4872,5,[0.0005],35.443,3.06,1.614,0.363,11362.307,1.052,1.073,1.045,2714.604,4067.128,1.399,5.512,2738.87,4121.621,1.004,0.097,-310.047,-684650.475,-0.155,-13.801
29,1.0,True,0.0001,6765,5,[0.0005],29.423,5.42,2.437,0.012,326.457,0.857,0.875,0.875,31605.243,1041.701,7724.856,13204.268,31314.434,3143.147,301.686,3069.862,-21018.143,-4848984.284,-10.509,-97.746
30,0.25,True,0.0001,2421,5,[0.0005],35.443,3.07,1.618,0.346,10920.242,1.049,1.069,1.043,4362.854,5153.388,1.639,8.956,4447.867,5198.071,1.0,0.022,-324.222,-718478.193,-0.162,-14.483
31,0.85,True,0.0001,2804,5,[0.0005],36.146,3.01,1.588,0.126,4029.132,1.051,1.073,1.043,30754.29,4633.1,123.678,1758.24,30842.538,4409.228,1.002,0.039,-445.809,-1434293.632,-0.223,-28.913
32,0.8,True,0.0001,2804,5,[0.0005],36.066,3.0,1.585,0.17,5440.919,1.051,1.072,1.045,29987.803,6242.575,54.923,1041.012,30167.431,5934.926,1.402,17.822,-403.361,-1210268.767,-0.202,-24.397
33,0.55,True,0.0001,6765,5,[0.0005],35.744,3.03,1.597,0.294,9255.778,1.049,1.07,1.043,14875.852,9142.523,3.906,82.406,15362.888,9006.362,1.018,0.717,-331.187,-824048.236,-0.166,-16.611
34,0.75,True,0.0001,4872,5,[0.0005],35.897,3.0,1.585,0.207,6607.876,1.05,1.072,1.045,28659.717,7776.366,27.272,655.809,29054.707,7333.78,1.002,0.05,-373.417,-1066174.985,-0.187,-21.492
35,0.0,True,0.0001,2804,5,[0.0005],35.766,3.04,1.604,0.367,11414.9,1.049,1.071,1.043,2238.762,3474.49,1.382,4.553,2233.313,3507.98,1.002,0.055,-301.376,-673677.6,-0.151,-13.58
36,0.0,True,0.0001,2421,5,[0.0005],35.38,3.07,1.62,0.366,11503.785,1.05,1.07,1.043,2470.689,3807.387,1.572,7.556,2478.162,3859.856,1.0,0.022,-323.118,-681036.051,-0.162,-13.728
37,0.7,True,0.0001,2804,5,[0.0005],35.624,3.03,1.598,0.238,7546.611,1.055,1.077,1.05,25741.448,9383.434,11.599,383.838,26361.861,8947.358,1.002,0.05,-324.563,-976753.671,-0.162,-19.689
38,0.2,True,0.0001,9361,5,[0.0005],35.454,3.04,1.604,0.354,11037.148,1.055,1.076,1.048,3310.572,4331.633,1.397,5.386,3351.154,4374.992,1.002,0.039,-292.06,-697622.533,-0.146,-14.063
39,0.1,True,0.0001,9361,5,[0.0005],35.508,3.04,1.604,0.362,11273.342,1.055,1.074,1.048,2572.675,3733.462,1.392,5.375,2584.38,3768.512,1.001,0.032,-293.504,-682172.146,-0.147,-13.751
40,0.75,True,0.0001,6765,5,[0.0005],35.728,3.02,1.595,0.205,6597.072,1.049,1.071,1.042,28569.375,7891.716,33.736,773.591,28935.573,7476.713,1.036,1.588,-385.091,-1076542.986,-0.193,-21.701
41,0.25,True,0.0001,2804,5,[0.0005],35.696,3.03,1.599,0.349,10822.879,1.053,1.076,1.049,3918.076,4768.544,1.334,4.256,3991.511,4807.441,1.002,0.045,-280.891,-706729.366,-0.14,-14.246
42,0.55,True,0.0001,4872,5,[0.0005],35.464,3.03,1.602,0.295,9290.043,1.05,1.071,1.042,14636.212,9070.936,2.336,27.927,15197.147,8915.56,1.001,0.045,-322.061,-824297.363,-0.161,-16.616
43,0.65,True,0.0001,9361,5,[0.0005],35.536,3.03,1.601,0.263,8310.175,1.053,1.074,1.049,21815.389,9928.318,5.43,116.13,22442.208,9597.062,1.0,0.022,-338.442,-907528.601,-0.169,-18.294
44,0.45,True,0.0001,2804,5,[0.0005],35.66,3.03,1.598,0.319,9966.22,1.054,1.075,1.048,9142.213,7606.457,1.493,7.43,9480.57,7602.634,1.002,0.05,-285.28,-766896.181,-0.143,-15.459
45,0.4,True,0.0001,4872,5,[0.0005],35.379,3.06,1.614,0.327,10317.89,1.053,1.074,1.045,7630.479,7022.853,1.581,9.751,7905.522,7046.103,1.004,0.1,-312.763,-755486.247,-0.156,-15.229
46,0.8,True,0.0001,4872,5,[0.0005],35.922,3.01,1.592,0.168,5404.049,1.049,1.068,1.042,30065.307,6037.67,70.858,1306.753,30231.537,5752.685,1.002,0.05,-455.304,-1226115.368,-0.228,-24.716
47,0.9,True,0.0001,2804,5,[0.0005],35.934,3.0,1.585,0.08,2552.078,1.053,1.076,1.048,31247.733,3273.176,227.282,2567.055,31268.058,3220.72,16.199,679.63,-518.729,-1756943.342,-0.259,-35.417
48,0.3,True,0.0001,6765,5,[0.0005],35.754,3.05,1.607,0.342,10720.06,1.048,1.068,1.042,4975.564,5534.615,1.85,18.054,5051.112,5556.923,1.016,0.694,-326.9,-725084.01,-0.163,-14.616
49,1.0,True,0.0001,9361,5,[0.0005],29.712,5.07,2.341,0.012,309.129,0.875,0.898,0.908,31604.974,1049.247,6052.462,12106.9,31319.733,3125.666,190.958,2443.985,-17476.817,-4888090.847,-8.738,-98.534
50,0.5,True,0.0001,6765,5,[0.0005],35.707,3.03,1.597,0.306,9618.083,1.049,1.07,1.042,11984.71,8527.27,2.942,53.375,12363.966,8460.057,1.001,0.045,-326.49,-795020.863,-0.163,-16.026
51,0.25,True,0.0001,6765,5,[0.0005],35.669,3.03,1.598,0.346,10773.561,1.05,1.071,1.043,4204.631,5030.874,1.775,17.795,4243.428,5043.2,1.001,0.032,-315.099,-711434.363,-0.158,-14.341
52,0.55,True,0.0001,2804,5,[0.0005],35.775,3.04,1.602,0.296,9303.217,1.05,1.072,1.045,14590.134,9091.544,2.108,20.925,15139.758,8933.729,1.004,0.071,-314.872,-823981.768,-0.157,-16.61
53,0.2,True,0.0001,2421,5,[0.0005],35.399,3.03,1.601,0.352,10988.648,1.052,1.074,1.045,3280.168,4236.965,1.405,5.474,3328.007,4291.378,1.013,0.494,-297.108,-698148.622,-0.149,-14.073
54,0.4,True,0.0001,2421,5,[0.0005],35.504,3.03,1.6,0.328,10252.981,1.053,1.074,1.045,7162.157,6720.527,1.568,8.455,7384.441,6755.432,1.013,0.494,-302.391,-748729.156,-0.151,-15.093
55,0.35,True,0.0001,6765,5,[0.0005],35.583,3.03,1.598,0.334,10418.112,1.049,1.069,1.042,6101.038,6233.279,1.945,22.954,6216.915,6259.486,1.002,0.05,-317.315,-735939.11,-0.159,-14.835
56,0.6,True,0.0001,6765,5,[0.0005],35.574,3.02,1.595,0.28,8791.604,1.054,1.076,1.045,18259.229,9559.148,3.928,70.266,18826.723,9335.184,1.002,0.045,-329.464,-857920.55,-0.165,-17.294
57,0.7,True,0.0001,4872,5,[0.0005],35.711,3.02,1.593,0.235,7486.176,1.051,1.072,1.043,26040.364,9148.184,15.387,419.515,26639.283,8698.574,1.002,0.039,-348.288,-977083.327,-0.174,-19.696
58,0.2,True,0.0001,2804,5,[0.0005],35.493,3.07,1.62,0.353,11102.929,1.053,1.075,1.048,3807.418,4830.4,1.506,6.372,3867.203,4874.114,1.002,0.055,-316.73,-708138.151,-0.158,-14.275
59,0.3,True,0.0001,4872,5,[0.0005],35.251,3.06,1.614,0.34,10717.653,1.053,1.074,1.048,5165.979,5740.049,1.475,7.25,5295.86,5783.178,1.004,0.1,-310.236,-727123.821,-0.155,-14.657
60,0.5,True,0.0001,2421,5,[0.0005],35.573,3.03,1.6,0.307,9657.558,1.052,1.073,1.045,11645.254,8418.178,1.903,15.403,12095.587,8343.406,1.002,0.055,-313.258,-793248.929,-0.157,-15.99
61,0.6,True,0.0001,2421,5,[0.0005],35.45,3.03,1.6,0.282,8870.664,1.053,1.073,1.045,17849.974,9573.822,2.984,41.053,18474.139,9338.807,1.036,1.566,-323.227,-857781.168,-0.162,-17.291
62,0.7,True,0.0001,9361,5,[0.0005],35.859,3.02,1.593,0.238,7554.075,1.052,1.072,1.045,25747.107,9297.936,13.648,345.934,26333.633,8864.393,1.002,0.045,-336.647,-972013.279,-0.168,-19.594
63,0.5,True,0.0001,4872,5,[0.0005],35.358,3.06,1.613,0.309,9753.417,1.053,1.074,1.048,11753.697,8523.756,1.836,15.715,12238.388,8435.681,1.002,0.092,-317.682,-797037.217,-0.159,-16.067
