,OSL weight,beam,lr,seed,unnormalized,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,0.8,500,[0.0005],9361,True,0.0001,34.172,3.0,1.585,0.171,5506.774,1.098,1.116,1.077,29972.024,6216.62,54.935,1061.848,30187.333,5846.742,1.02,0.785,-400.602,-1202427.035,-0.2,-24.239
2,0.1,500,[0.0005],2804,True,0.0001,33.933,3.04,1.604,0.36,11221.749,1.093,1.113,1.071,2720.998,3877.368,1.389,4.665,2789.984,3960.263,1.008,0.112,-300.352,-686077.624,-0.15,-13.83
3,0.3,500,[0.0005],2421,True,0.0001,33.565,3.06,1.613,0.341,10720.094,1.099,1.118,1.075,5062.859,5583.366,1.642,10.309,5294.431,5684.295,1.004,0.102,-319.61,-726234.877,-0.16,-14.639
4,0.5,500,[0.0005],2804,True,0.0001,33.898,3.04,1.603,0.308,9679.051,1.093,1.112,1.072,11720.794,8436.877,1.784,12.825,12286.891,8365.85,1.006,0.109,-308.036,-794836.175,-0.154,-16.022
5,0.8,500,[0.0005],2421,True,0.0001,33.862,3.02,1.597,0.169,5414.95,1.102,1.121,1.077,30010.197,6112.475,61.14,1111.329,30256.16,5660.031,1.008,0.169,-416.281,-1227656.066,-0.208,-24.747
6,0.85,500,[0.0005],2421,True,0.0001,34.077,3.01,1.59,0.125,4027.583,1.1,1.12,1.077,30881.805,4234.013,135.086,1825.032,30958.307,4047.696,1.01,0.274,-489.352,-1435441.694,-0.245,-28.936
7,0.1,500,[0.0005],6765,True,0.0001,33.912,3.04,1.606,0.36,11270.556,1.1,1.119,1.077,2729.53,3912.409,1.524,9.998,2791.393,3985.596,1.029,0.99,-306.956,-686537.021,-0.153,-13.839
8,0.05,500,[0.0005],9361,True,0.0001,33.731,3.04,1.604,0.365,11385.338,1.1,1.12,1.077,2316.234,3512.584,1.379,5.164,2368.45,3597.906,1.006,0.112,-292.332,-675493.148,-0.146,-13.617
9,0.6,500,[0.0005],2804,True,0.0001,34.218,3.0,1.586,0.279,8703.458,1.092,1.111,1.071,18218.769,9529.913,2.662,34.829,18947.221,9273.567,1.021,0.678,-317.435,-856895.59,-0.159,-17.273
10,0.95,500,[0.0005],9361,True,0.0001,34.826,2.99,1.582,0.04,1240.266,1.09,1.111,1.071,31473.454,2213.518,304.923,3070.408,31439.52,2466.053,16.794,706.195,-803.029,-2260974.868,-0.402,-45.577
