,unnormalized,OSL weight,lr,beam,seed,OSL Margin,BLEU,PPL,NLL,OS rate,OS loss,|T|/|G| mean,LR seq,|T|/|G| med,T False EOS R avg,T False EOS R std,T True EOS R avg,T True EOS R std,G False EOS R avg,G False EOS R std,G True EOS R avg,G True EOS R std,T Term LL,T NTerm LL,T Term LL Avg,T NTerm LL Avg
1,True,0.8,[0.0005],750,9361,0.0001,33.992,3.0,1.585,0.171,5506.774,1.101,1.119,1.077,29972.024,6216.62,54.935,1061.848,30163.568,5889.349,1.026,0.814,-400.602,-1202427.035,-0.2,-24.239
2,True,0.1,[0.0005],750,2804,0.0001,33.796,3.04,1.604,0.36,11221.749,1.096,1.115,1.075,2720.998,3877.368,1.389,4.665,2796.924,3967.871,1.032,1.079,-300.352,-686077.624,-0.15,-13.83
3,True,0.3,[0.0005],750,2421,0.0001,33.29,3.06,1.613,0.341,10720.094,1.101,1.12,1.077,5062.859,5583.366,1.642,10.309,5297.985,5688.25,1.006,0.112,-319.61,-726234.877,-0.16,-14.639
4,True,0.5,[0.0005],750,2804,0.0001,33.753,3.04,1.603,0.308,9679.051,1.096,1.114,1.077,11720.794,8436.877,1.784,12.825,12288.815,8371.635,1.018,0.548,-308.036,-794836.175,-0.154,-16.022
5,True,0.8,[0.0005],750,2421,0.0001,33.776,3.02,1.597,0.169,5414.95,1.104,1.122,1.08,30010.197,6112.475,61.14,1111.329,30229.746,5704.281,1.009,0.184,-416.281,-1227656.066,-0.208,-24.747
6,True,0.85,[0.0005],750,2421,0.0001,34.026,3.01,1.59,0.125,4027.583,1.102,1.122,1.077,30881.805,4234.013,135.086,1825.032,30960.045,4041.507,1.011,0.284,-489.352,-1435441.694,-0.245,-28.936
7,True,0.1,[0.0005],750,6765,0.0001,33.691,3.04,1.606,0.36,11270.556,1.104,1.123,1.077,2729.53,3912.409,1.524,9.998,2805.626,4003.689,1.03,0.991,-306.956,-686537.021,-0.153,-13.839
8,True,0.05,[0.0005],750,9361,0.0001,33.49,3.04,1.604,0.365,11385.338,1.106,1.124,1.077,2316.234,3512.584,1.379,5.164,2382.571,3616.89,1.02,0.593,-292.332,-675493.148,-0.146,-13.617
9,True,0.6,[0.0005],750,2804,0.0001,34.144,3.0,1.586,0.279,8703.458,1.095,1.113,1.071,18218.769,9529.913,2.662,34.829,18953.899,9275.119,1.021,0.678,-317.435,-856895.59,-0.159,-17.273
10,True,0.95,[0.0005],750,9361,0.0001,34.774,2.99,1.582,0.04,1240.266,1.092,1.113,1.071,31473.454,2213.518,304.923,3070.408,31439.765,2464.358,1.004,0.071,-803.029,-2260974.868,-0.402,-45.577
11,True,0.5,[0.0005],750,9361,0.0001,33.43,3.04,1.603,0.31,9735.118,1.108,1.126,1.08,11360.068,8347.411,1.73,12.0,11937.491,8295.452,1.014,0.395,-302.426,-789988.995,-0.151,-15.925
12,True,1.0,[0.0005],750,2804,0.0001,33.41,4.92,2.298,0.013,361.839,0.962,0.965,0.964,31609.313,971.106,4067.152,10386.326,31506.429,2020.133,49.222,1224.733,-15687.415,-4917903.252,-7.844,-99.135
13,True,0.05,[0.0005],750,6765,0.0001,33.928,3.03,1.599,0.362,11274.686,1.099,1.117,1.072,2479.329,3672.891,1.591,12.553,2534.69,3747.62,1.042,1.613,-311.045,-678683.24,-0.156,-13.681
14,True,0.3,[0.0005],750,9361,0.0001,33.43,3.04,1.604,0.343,10724.939,1.107,1.125,1.08,4655.893,5307.884,1.461,6.729,4854.832,5416.217,1.015,0.396,-293.799,-718765.271,-0.147,-14.489
15,True,0.0,[0.0005],750,4872,0.0001,33.161,3.06,1.615,0.366,11463.546,1.113,1.131,1.081,2485.81,3890.398,1.39,5.311,2601.999,4051.154,1.01,0.146,-309.656,-678697.367,-0.155,-13.681
16,True,0.35,[0.0005],750,4872,0.0001,33.215,3.06,1.614,0.334,10534.139,1.112,1.13,1.081,6211.079,6330.535,1.512,8.117,6553.039,6413.461,1.01,0.143,-311.914,-739946.366,-0.156,-14.916
17,True,0.05,[0.0005],750,2421,0.0001,33.244,3.06,1.616,0.363,11408.106,1.101,1.121,1.075,2594.409,3872.658,1.444,5.89,2720.119,4038.921,1.009,0.148,-310.116,-683102.017,-0.155,-13.77
